ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Year|Month|RelativeDepth|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|1|bottom|2002-01-01|2002-01-31|31|9.10625|12.7645833333333|9.8625|10.2350520475864|1.08458945134953
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|2|bottom|2002-02-01|2002-02-28|28|7.21875|9.89166666666667|8.81875|8.69807180851064|0.658925940588097
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|3|bottom|2002-03-01|2002-03-31|31|6.17291666666667|10.2270833333333|7.97916666666667|8.12172684703434|0.964763007006562
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|4|bottom|2002-04-01|2002-04-30|30|5.08541666666667|8.98541666666667|7.446875|7.03675384160757|1.19469943718715
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|5|bottom|2002-05-01|2002-05-31|31|5.11458333333333|7.35652173913044|5.97291666666667|6.12540484219112|0.681833140880789
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|6|bottom|2002-06-01|2002-06-30|30|3.35|6.9625|5.346875|5.42749852245863|0.86722887720886
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|7|bottom|2002-07-01|2002-07-31|29|2.82708333333333|6.26551724137931|5.33125|5.08724484740388|0.742762733189833
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|8|bottom|2002-08-01|2002-08-31|31|3.89166666666667|6.775|5.25416666666667|5.24068148021048|0.774756409737313
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|9|bottom|2002-09-01|2002-09-30|30|5.42291666666667|7.35416666666667|6.125|6.19002659574468|0.468507872249565
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|10|bottom|2002-10-01|2002-10-31|31|5.90625|9.075|7.37291666666667|7.40069349119195|0.706665126708133
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|11|bottom|2002-11-01|2002-11-30|30|5.48333333333333|10.9333333333333|8.69375|8.5125|1.28595651073805
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|12|bottom|2002-12-01|2002-12-31|31|8.7875|13.7833333333333|10.16875|10.5244769752221|1.19333867445822
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|1|bottom|2003-01-01|2003-01-31|31|8.48541666666667|12.1884615384615|10.1979166666667|10.3099564789968|0.987166728745231
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|2|bottom|2003-02-01|2003-02-28|28|7.17916666666667|11.5638888888889|10.4109782608696|10.0521201918616|1.09271423677756
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|3|bottom|2003-03-01|2003-03-31|31|5.86666666666667|8.93541666666667|7.55|7.55096230839625|0.793303519402865
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|4|bottom|2003-04-01|2003-04-30|30|6.25833333333333|9.17708333333333|7.78229166666667|7.8165115248227|0.830173823632092
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|5|bottom|2003-05-01|2003-05-31|31|4.40416666666667|9.18888888888889|6.85833333333333|7.12727012546178|1.36878803810271
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|6|bottom|2003-06-01|2003-06-30|30|4.28541666666667|6.98541666666667|6.06511524822695|5.73343823877069|0.822279090520305
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|7|bottom|2003-07-01|2003-07-31|31|4.17708333333333|7.01666666666667|5.60833333333333|5.46614762068177|0.703828755715556
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|8|bottom|2003-08-01|2003-08-31|31|3.19166666666667|7.38958333333333|5.49166666666667|5.47676590025166|1.22955130913484
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|9|bottom|2003-09-01|2003-09-30|28|5.02083333333333|7.35833333333333|6.44538690476191|6.35205144557823|0.610479570103804
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|10|bottom|2003-10-01|2003-10-21|21|6.4952380952381|7.92708333333333|7.33125|7.33171768707483|0.416743005033184
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|11|bottom|2003-11-07|2003-11-29|23|7.37291666666667|10.4368421052632|8.34791666666667|8.42975257004878|0.768546047320554
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|12|bottom|2003-12-09|2003-12-31|23|8.94166666666667|11.2418604651163|9.91041666666667|9.92955168253217|0.745925165069111
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|1|bottom|2004-01-01|2004-01-31|31|8.41666666666667|10.8416666666667|9.74791666666667|9.7307123655914|0.657291274375199
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|2|bottom|2004-02-01|2004-02-29|29|8.77916666666667|12.9|9.58958333333333|9.81113505747126|0.845081488337927
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|3|bottom|2004-03-01|2004-03-31|31|6.80416666666667|10.4729166666667|8.37708333333333|8.68624742621826|1.0409467939077
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|4|bottom|2004-04-01|2004-04-30|30|6.93333333333333|12.0229166666667|8.215625|8.8945286643026|1.66355442490511
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|5|bottom|2004-05-01|2004-05-28|28|5.94375|8.30208333333333|6.95625|6.98983134920635|0.55271031362042
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|6|bottom|2004-06-08|2004-06-30|23|5.01666666666667|8.2375|6.23333333333333|6.40627587991718|0.998418755506061
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|7|bottom|2004-07-01|2004-07-31|31|3.16458333333333|6.84375|5.49791666666667|5.40080073209792|0.78609437197563
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|8|bottom|2004-08-01|2004-08-31|31|4.07916666666667|6.94166666666667|5.86875|5.7516726721574|0.663461282301921
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|9|bottom|2004-09-08|2004-09-29|22|5.4962962962963|7.60909090909091|6.65833333333333|6.56908956994184|0.497640891565114
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|10|bottom|2004-10-12|2004-10-31|19|6.2|7.86041666666667|6.82916666666667|6.97240708958386|0.481307601203413
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|11|bottom|2004-11-01|2004-11-30|30|6.35|9.31875|7.84375|7.77568853427896|0.749080627250283
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|12|bottom|2004-12-01|2004-12-31|31|7.63541666666667|10.9541666666667|9.27083333333333|9.39775938000458|1.10918406669189
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2005|1|bottom|2005-01-01|2005-01-31|31|7.88958333333333|10.4333333333333|9.43958333333333|9.40459134065431|0.7364606525591
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2005|2|bottom|2005-02-01|2005-02-28|28|8.47291666666667|10.2916666666667|9.52083333333333|9.52290558510638|0.439845376846515
Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2005|3|bottom|2005-03-01|2005-03-29|29|7.74285714285714|10.3458333333333|8.79791666666667|8.76879105090312|0.678673371867018
