ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Year|RelativeDepth|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1987|surface|1987-01-13|1987-10-28|4|20|25|23.75|23.125|2.25
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1988|surface|1988-01-19|1988-11-15|5|23|27|24|25|1.87082869338697
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1989|surface|1989-01-10|1989-12-13|11|23|28|25|25.4090909090909|1.90811663451402
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1990|surface|1990-01-09|1990-12-10|11|23.5|32|28.5|27.9181818181818|2.54865383362205
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1991|surface|1991-01-14|1991-12-09|12|20|28.5|26.6|25.7333333333333|2.69590036683086
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1992|surface|1992-03-17|1992-12-14|10|21|25.1|22.75|23.1|1.51877143331927
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1993|surface|1993-01-12|1993-12-15|11|18|30.5|23|23.7636363636364|4.69409687315307
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1994|surface|1994-01-12|1994-12-29|12|20.1|33.4|27.95|26.65|4.97018382685462
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1995|surface|1995-01-11|1995-11-27|10|12.2|18.6|17.1|16.5|1.96807858921674
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1996|surface|1996-01-03|1996-12-12|14|10.2|16.375|15.2625|14.8071428571429|1.67405049354703
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1997|surface|1997-01-14|1997-11-19|13|15.675|19.8|17.6|17.775|1.44124512141412
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1998|surface|1998-01-14|1998-12-15|12|13.9|19.2|16.025|15.8166666666667|1.72881111715186
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|1999|surface|1999-01-12|1999-12-15|12|14.95|20.95|17.7875|17.9479166666667|1.79169353397755
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2000|surface|2000-01-12|2000-12-13|12|16.2|29.55|22.2|22.3041666666667|3.89687860714032
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2001|surface|2001-01-09|2001-12-12|13|22.9|33.5|28.25|28.0007692307692|3.92391696637102
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2002|surface|2002-01-16|2002-12-12|13|21.2666666666667|27.395|23.0866666666667|23.54|1.95265204273573
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2003|surface|2003-01-15|2003-12-08|13|18.9|21.64|20.85|20.5905128205128|0.695331117704266
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2004|surface|2004-01-20|2004-12-16|20|19.24|25.62|22.01|22.04175|2.18571153957024
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2005|surface|2005-01-10|2005-12-12|17|13.4|20.27|18.58|18.2072058823529|2.10537776493632
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2006|surface|2006-01-12|2006-12-06|12|14.82|22.93|20.315|19.5891666666667|2.71540540530351
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2007|surface|2007-01-08|2007-12-06|12|22.18|27.39|24.3|24.6033333333333|1.72011275176596
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2008|surface|2008-01-09|2008-12-30|28|17.8933333333333|30.17|19.975|21.4960119047619|3.73460269258431
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2009|surface|2009-01-08|2009-12-08|15|19.5066666666667|30.09|26.3866666666667|25.213|3.69079658670651
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2010|surface|2010-01-07|2010-12-08|12|25.74|30.94|28.325|28.4366666666667|1.79988551824495
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2011|surface|2011-01-03|2011-12-07|12|30.595|38.08|34.57|34.4795833333333|2.66113822053419
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2012|surface|2012-01-10|2012-12-04|12|30.49|35.33|33.455|33.1375|1.63797061245699
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2013|surface|2013-01-09|2013-12-04|12|32.58|36.34|34.25|34.2804166666667|0.964092739629369
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2014|surface|2014-01-13|2014-12-03|12|29.25|38.91|35.53|34.695|2.62800477376071
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2015|surface|2015-01-07|2015-12-09|12|25.005|29.24|26.865|26.8695833333333|1.35295040951472
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2016|surface|2016-01-07|2016-12-05|12|21.64|29.83|26.58|26.2220833333333|1.94780699334748
Banana River Aquatic Preserve|5061|St. Johns River Water Management District Continuous Water Quality Programs|IRLB04|2017|surface|2017-01-04|2017-12-31|254|18.8239972579167|32.2342591536842|29.5059878339583|26.2419168557206|5.15864147540065
