AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Year|Month|ParameterName|RelativeDepth|EarliestSampleDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|1|Salinity|bottom|2002-01-01T00:00:00Z|2002-01-31T23:30:00Z|1487|7.9|33.4|21.7|21.8499663752522|5.70968560926147
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|2|Salinity|bottom|2002-02-01T00:00:00Z|2002-02-28T23:30:00Z|1343|8.6|28.7|18.3|18.3656738644825|4.06810753678098
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|3|Salinity|bottom|2002-03-01T00:00:00Z|2002-03-31T23:30:00Z|1448|7.6|30.4|15.2|15.2608425414365|3.7697363402108
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|4|Salinity|bottom|2002-04-01T00:00:00Z|2002-04-30T23:30:00Z|1439|9.9|34.7|19.7|20.533148019458|6.21704713925837
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|5|Salinity|bottom|2002-05-01T00:00:00Z|2002-05-31T23:30:00Z|1485|14.6|35.1|24.6|25.1477441077441|5.20428271587604
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|6|Salinity|bottom|2002-06-01T00:00:00Z|2002-06-30T23:30:00Z|1439|14.5|33.8|26.4|25.9766504517026|4.50442646265038
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|7|Salinity|bottom|2002-07-01T00:00:00Z|2002-07-31T23:30:00Z|815|18.7|35|29.2|28.581226993865|3.68994962328299
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|8|Salinity|bottom|2002-08-01T00:00:00Z|2002-08-31T23:30:00Z|1486|13|33.7|23.3|23.1392328398385|3.52870887820119
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|9|Salinity|bottom|2002-09-01T00:00:00Z|2002-09-30T23:30:00Z|1439|14.2|29.8|23.4|22.7645587213343|3.52877427871842
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|10|Salinity|bottom|2002-10-01T00:00:00Z|2002-10-31T23:30:00Z|1487|14|27|20.4|20.5739744451917|3.12829560393809
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|11|Salinity|bottom|2002-11-01T00:00:00Z|2002-11-30T23:30:00Z|1440|5.9|27.7|17.2|17.0925|4.5852574435345
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|12|Salinity|bottom|2002-12-01T00:00:00Z|2002-12-31T23:30:00Z|1486|7.7|27.6|16.8|17.2367429340511|4.50602393927063
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|1|Salinity|bottom|2003-01-01T00:00:00Z|2003-01-31T23:30:00Z|1486|7|33.9|22.2|21.7236204576043|5.65101468329362
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|2|Salinity|bottom|2003-02-01T00:00:00Z|2003-02-28T23:30:00Z|1342|3.3|30.7|17.4|17.9277943368107|5.46522415567423
