AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Year|Month|ParameterName|RelativeDepth|EarliestSampleDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|1|Water Temperature|bottom|2002-01-01T00:00:00Z|2002-01-31T23:30:00Z|1487|5.5|20.3|13.3|13.3838601210491|3.17827761778029
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|2|Water Temperature|bottom|2002-02-01T00:00:00Z|2002-02-28T23:30:00Z|1343|10.4|21.1|15|15.0810126582278|1.73603558145509
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|3|Water Temperature|bottom|2002-03-01T00:00:00Z|2002-03-31T23:30:00Z|817|6.5|24.3|19.2|17.5064871481028|4.38848979368286
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|4|Water Temperature|bottom|2002-04-01T00:00:00Z|2002-04-30T23:30:00Z|1439|18.7|28.6|24.5|24.2403752605976|2.30538225500595
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|5|Water Temperature|bottom|2002-05-01T00:00:00Z|2002-05-31T23:30:00Z|1485|20.5|30.5|26.9|26.556632996633|2.49606255496343
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|6|Water Temperature|bottom|2002-06-01T00:00:00Z|2002-06-30T23:30:00Z|1439|26.1|30.9|28.6|28.4961779013204|1.02077480814383
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|7|Water Temperature|bottom|2002-07-01T00:00:00Z|2002-07-31T23:30:00Z|1488|28.3|33.5|30.1|30.291935483871|0.951833690541331
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|8|Water Temperature|bottom|2002-08-01T00:00:00Z|2002-08-31T23:30:00Z|1486|26.7|32.5|30|29.7968371467026|1.17161580405701
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|9|Water Temperature|bottom|2002-09-01T00:00:00Z|2002-09-30T23:30:00Z|1439|25.5|31.5|28.5|28.4165392633773|0.970054543557622
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|10|Water Temperature|bottom|2002-10-01T00:00:00Z|2002-10-31T23:30:00Z|1487|21.1|30.3|25.6|26.1403496973773|2.42352465397477
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|11|Water Temperature|bottom|2002-11-01T00:00:00Z|2002-11-30T23:30:00Z|1440|13.1|24.1|18.8|18.5450694444444|2.6093866206117
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|12|Water Temperature|bottom|2002-12-01T00:00:00Z|2002-12-31T23:30:00Z|1486|10.6|17.5|14|14.2936069986541|1.290965568342
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|1|Water Temperature|bottom|2003-01-01T00:00:00Z|2003-01-31T23:30:00Z|1486|7|15.8|12.1|11.9317631224764|2.04955128219066
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|2|Water Temperature|bottom|2003-02-01T00:00:00Z|2003-02-28T23:30:00Z|1342|11.5|18.1|14.8|14.9449329359165|1.6485956656734
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|3|Water Temperature|bottom|2003-03-01T00:00:00Z|2003-03-31T23:30:00Z|1486|13.8|22.9|19.9|19.3613728129206|2.00403344116497
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|4|Water Temperature|bottom|2003-04-01T00:00:00Z|2003-04-30T23:30:00Z|1439|13.9|25.8|22.3|21.641000694927|2.18517271733591
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|5|Water Temperature|bottom|2003-05-01T00:00:00Z|2003-05-31T23:30:00Z|1487|24.4|29.9|27|27.0523873570948|1.07296052895279
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|6|Water Temperature|bottom|2003-06-01T00:00:00Z|2003-06-30T23:30:00Z|1439|26.1|31.7|28.7|28.7376650451703|1.1946969502293
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|7|Water Temperature|bottom|2003-07-01T00:00:00Z|2003-07-31T23:30:00Z|1487|26.3|32|28.8|28.7750504371217|0.936871591529823
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|8|Water Temperature|bottom|2003-08-01T00:00:00Z|2003-08-31T23:30:00Z|1487|27|31.4|29.2|29.2097511768662|0.817354087198229
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|9|Water Temperature|bottom|2003-09-01T00:00:00Z|2003-09-30T23:30:00Z|1440|22.4|30.3|27.7|27.6695138888889|1.31749115606048
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|10|Water Temperature|bottom|2003-10-01T00:00:00Z|2003-10-31T23:30:00Z|1488|21.1|26.3|23.8|23.7776209677419|1.14378669405482
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|11|Water Temperature|bottom|2003-11-01T00:00:00Z|2003-11-29T22:30:00Z|1390|13.7|25.9|21.3|21.2758273381295|2.42611300911919
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|12|Water Temperature|bottom|2003-12-09T12:00:00Z|2003-12-31T23:30:00Z|1080|8.8|15.7|13.5|13.1799074074074|1.21075424785293
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|1|Water Temperature|bottom|2004-01-01T00:00:00Z|2004-01-31T23:30:00Z|1488|9.2|17.7|13.4|13.623185483871|1.78610607649167
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|2|Water Temperature|bottom|2004-02-01T00:00:00Z|2004-02-29T23:30:00Z|1392|10.5|16.8|13|13.2772270114943|1.28824472679172
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|3|Water Temperature|bottom|2004-03-01T00:00:00Z|2004-03-31T23:30:00Z|1487|13.5|22.6|18.4|18.5013449899126|2.00776710342652
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|4|Water Temperature|bottom|2004-04-01T00:00:00Z|2004-04-30T23:30:00Z|1437|13.6|26.3|21.7|21.4156576200418|2.31784552366034
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|5|Water Temperature|bottom|2004-05-01T00:00:00Z|2004-05-28T08:30:00Z|1314|21.4|30.7|26.5|26.2716894977169|2.01673252834185
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|6|Water Temperature|bottom|2004-06-08T10:00:00Z|2004-06-30T23:30:00Z|1084|28.8|32.5|30.5|30.5178044280443|0.62535410064217
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|7|Water Temperature|bottom|2004-07-01T00:00:00Z|2004-07-31T23:30:00Z|1487|27.8|33|30.5|30.3743106926698|0.920931512608402
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|8|Water Temperature|bottom|2004-08-01T00:00:00Z|2004-08-31T23:30:00Z|1487|26.7|31.9|30.2|29.7628110289173|1.40490235932333
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|9|Water Temperature|bottom|2004-09-01T00:00:00Z|2004-09-30T23:30:00Z|1430|22.4|32.3|26.9|27.2516783216783|1.91570631914425
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|10|Water Temperature|bottom|2004-10-01T00:00:00Z|2004-10-31T23:30:00Z|1488|21.5|29.3|24.9|25.2088037634409|1.45170971963637
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|11|Water Temperature|bottom|2004-11-01T00:00:00Z|2004-11-30T23:30:00Z|1439|15.9|26.9|20.2|20.4624739402363|2.71410235518445
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|12|Water Temperature|bottom|2004-12-01T00:00:00Z|2004-12-31T23:30:00Z|1487|7.7|20.7|13.4|14.0246133154001|3.22062447994462
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2005|1|Water Temperature|bottom|2005-01-01T00:00:00Z|2005-01-31T23:30:00Z|1487|8.9|19|14.2|14.4078009414929|2.37413007501866
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2005|2|Water Temperature|bottom|2005-02-01T00:00:00Z|2005-02-28T23:30:00Z|1343|11.6|18.5|15.5|15.1082650781832|1.81987255282307
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2005|3|Water Temperature|bottom|2005-03-01T00:00:00Z|2005-03-31T23:30:00Z|1487|12.5|22.1|17.6|17.4547410894418|2.15179415504348
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2005|4|Water Temperature|bottom|2005-04-01T00:00:00Z|2005-04-30T23:30:00Z|1440|15.8|23.5|20|20.1690972222222|1.23083355270348
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2005|5|Water Temperature|bottom|2005-05-01T00:00:00Z|2005-05-31T23:30:00Z|1488|19.3|28.9|26|24.9516129032258|2.50460451946923
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2005|6|Water Temperature|bottom|2005-06-01T00:00:00Z|2005-06-30T23:30:00Z|1438|25.4|31.2|28.6|28.4742002781641|1.07482510765836
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2005|7|Water Temperature|bottom|2005-07-01T00:00:00Z|2005-07-31T23:30:00Z|1487|26.6|33.2|30|29.8761264290518|1.03999511084087
