AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|N_Data|N_Years|EarliestYear|LatestYear|LastSampleDate|SufficientData|Median|Independent|tau|p|SennSlope|SennIntercept|ChiSquared|pChiSquared|Trend
8|Boca Ciega Bay Aquatic Preserve||||Water Temperature||0|0||||FALSE||||    NA|||||
9|Cape Haze Aquatic Preserve|512|Charlotte Harbor Aquatic Preserves Continuous Water Quality Monitoring Program|CHWW1|Water Temperature|bottom|23612|2|2021|2022|2022-01-05T10:30:00Z|FALSE|28.4|||    NA|||||
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255123081321300|Water Temperature|surface|320|5|2008|2017|2017-03-06T00:00:00Z|TRUE|22.2|TRUE|0.0667|0.8875|0.0873266323827335|23.6777777777778|0.64|0.7261|0
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255138081321701|Water Temperature|surface|458|4|2018|2023|2023-02-28T00:00:00Z|FALSE|26|||    NA|||||
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|Water Temperature|surface|1123|13|2007|2023|2023-02-28T00:00:00Z|TRUE|23.9|TRUE|0.2002|0.1164|0.0906342364532022|23.1931800766284|1.0305|0.5973|0
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255443081314700|Water Temperature|surface|252|3|2007|2011|2011-03-06T00:00:00Z|FALSE|23.2|||    NA|||||
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255532081314300|Water Temperature|surface|130|2|2010|2011|2011-03-06T00:00:00Z|FALSE|20.7|||    NA|||||
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|Water Temperature|surface|1081|12|2008|2023|2023-02-28T00:00:00Z|TRUE|25.3|TRUE|0.1927|0.1617|0.106451612903226|25.1366666666667|0.9737|0.6145|0
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255654081350200|Water Temperature|surface|1083|12|2008|2023|2023-02-28T00:00:00Z|TRUE|23.7|TRUE|0.2478|0.0702|0.118688230008984|23.3964632589633|2.2315|0.3277|0
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255732081363700|Water Temperature|surface|261|4|2012|2015|2015-03-06T00:00:00Z|FALSE|23.6|||    NA|||||
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|Water Temperature|bottom|617400|22|2002|2023|2023-02-14T10:00:00Z|TRUE|26.9|TRUE|0.207|0.0000|0.0399503049606935|26.1296201863686|4.6389|0.9474|1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfuwq|Water Temperature|bottom|628216|22|2002|2023|2023-02-14T10:30:00Z|TRUE|26.9|TRUE|0.2457|0.0000|0.0665492678487945|25.9983232579037|3.0617|0.9899|1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbmbwq|Water Temperature|bottom|659894|24|2000|2023|2023-02-14T12:00:00Z|TRUE|26.8|TRUE|0.2279|0.0000|0.0414908143607375|25.9281801025513|3.7408|0.9769|1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbpbwq|Water Temperature|bottom|236179|8|2016|2023|2023-02-14T11:00:00Z|TRUE|27.3|TRUE|0.0837|0.3670|0.0516858668493827|27.0456971176399|8.1622|0.6987|0
11|Cockroach Bay Aquatic Preserve||||Water Temperature||0|0||||FALSE||||    NA|||||
14|Estero Bay Aquatic Preserve|474|Estero Bay Aquatic Preserve Continuous Water Quality Monitoring|EB01|Water Temperature|bottom|616625|19|2004|2022|2022-09-30T23:45:00Z|TRUE|26.8|TRUE|0.2539|0.0000|0.0621365196185803|25.5671932863601|6.9882|0.8|1
