AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Year|ParameterName|RelativeDepth|EarliestSampleDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255123081321300|2008|Water Temperature|surface|2008-01-09T00:00:00Z|2008-03-06T00:00:00Z|58|18.6|27.2|22.7|22.9551724137931|2.13164728442361
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255123081321300|2011|Water Temperature|surface|2011-01-01T00:00:00Z|2011-03-06T00:00:00Z|65|15.5|26.3|20.6|21.0984615384615|2.75303765796145
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255123081321300|2012|Water Temperature|surface|2012-01-01T00:00:00Z|2012-03-06T00:00:00Z|66|16.2|27.2|22.55|22.1166666666667|2.75276550921395
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255123081321300|2016|Water Temperature|surface|2016-01-01T00:00:00Z|2016-03-06T00:00:00Z|66|16.1|27.5|20.6|20.6090909090909|2.51871318016087
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255123081321300|2017|Water Temperature|surface|2017-01-01T00:00:00Z|2017-03-06T00:00:00Z|65|16.8|27|23.5|23.0230769230769|2.12041927094982
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|2007|Water Temperature|surface|2007-01-01T00:00:00Z|2007-03-06T00:00:00Z|90|17.9|27.8|22.4|22.8211111111111|2.56232401728159
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|2008|Water Temperature|surface|2008-01-01T00:00:00Z|2008-03-06T00:00:00Z|102|15.2|28.4|23.35|23.2735294117647|2.48838595230749
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|2011|Water Temperature|surface|2011-01-01T00:00:00Z|2011-03-06T00:00:00Z|85|16.7|26.5|22.1|22.3141176470588|2.7180241835173
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|2012|Water Temperature|surface|2012-01-01T00:00:00Z|2012-03-06T00:00:00Z|66|16.4|27.8|23.15|22.7924242424242|2.75140862418679
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|2013|Water Temperature|surface|2013-01-01T00:00:00Z|2013-03-06T00:00:00Z|65|19|26.5|23.4|23.2261538461538|1.95066310224537
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|2014|Water Temperature|surface|2014-01-01T00:00:00Z|2014-03-06T00:00:00Z|65|16.6|27.8|23.1|23.0276923076923|2.94758946494354
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|2015|Water Temperature|surface|2015-01-01T00:00:00Z|2015-03-06T00:00:00Z|65|17.1|27.9|21.5|22.1046153846154|2.42193303280347
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|2016|Water Temperature|surface|2016-01-01T00:00:00Z|2016-03-06T00:00:00Z|66|17.4|27.5|21.15|21.4|2.23407182585451
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|2017|Water Temperature|surface|2017-01-01T00:00:00Z|2017-03-06T00:00:00Z|65|17.3|27.8|24.1|23.6723076923077|2.0293554774475
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|2018|Water Temperature|surface|2018-01-01T00:00:00Z|2018-03-06T00:00:00Z|65|16.5|27.9|22.6|22.8892307692308|3.47837619609186
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|2019|Water Temperature|surface|2019-01-01T00:00:00Z|2019-03-06T00:00:00Z|65|18|28.9|24.3|23.9430769230769|3.0890415802665
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|2022|Water Temperature|surface|2022-01-01T00:00:00Z|2022-09-27T00:00:00Z|265|16.7|33.4|29.4|28.2384905660377|3.68612642431173
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255432081303900|2023|Water Temperature|surface|2023-01-01T00:00:00Z|2023-02-28T00:00:00Z|59|18.1|28.5|24.3|24.1593220338983|2.40531872173457
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|2008|Water Temperature|surface|2008-01-01T00:00:00Z|2008-03-06T00:00:00Z|127|16.7|31.3|25|24.8842519685039|3.08116204621822
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|2011|Water Temperature|surface|2011-01-01T00:00:00Z|2011-03-06T00:00:00Z|107|16.8|29.4|24.3|23.6785046728972|3.25625748939517
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|2012|Water Temperature|surface|2012-01-01T00:00:00Z|2012-03-06T00:00:00Z|66|14.7|28.4|23.9|23.6848484848485|3.17428331943993
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|2013|Water Temperature|surface|2013-01-01T00:00:00Z|2013-03-06T00:00:00Z|65|18.6|28.6|24.5|24.1630769230769|2.76188167462246
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|2014|Water Temperature|surface|2014-01-01T00:00:00Z|2014-03-06T00:00:00Z|65|17|28.9|24.7|24.1969230769231|3.04887116563088
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|2015|Water Temperature|surface|2015-01-01T00:00:00Z|2015-03-06T00:00:00Z|65|18.5|30.3|23.4|23.4076923076923|2.86117915444772
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|2016|Water Temperature|surface|2016-01-01T00:00:00Z|2016-03-06T00:00:00Z|66|15.4|28.6|21.9|21.9090909090909|2.56747270363603
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|2017|Water Temperature|surface|2017-01-01T00:00:00Z|2017-03-06T00:00:00Z|65|17.5|30.4|25.1|25.2630769230769|2.56634280341021
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|2018|Water Temperature|surface|2018-01-01T00:00:00Z|2018-03-06T00:00:00Z|65|18.6|30.5|25.1|24.5892307692308|3.20025014046378
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|2019|Water Temperature|surface|2019-01-01T00:00:00Z|2019-03-06T00:00:00Z|65|17.7|31.2|26|25.0615384615385|3.39271703007396
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|2022|Water Temperature|surface|2022-01-01T00:00:00Z|2022-09-27T00:00:00Z|268|17.2|34.4|29.55|28.6294776119403|3.55785627859282
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255534081324000|2023|Water Temperature|surface|2023-01-01T00:00:00Z|2023-02-28T00:00:00Z|57|16.6|30.7|25.2|25.1017543859649|3.09818444692499
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255654081350200|2008|Water Temperature|surface|2008-01-01T00:00:00Z|2008-03-06T00:00:00Z|114|18.7|28.2|23.2|23.4657894736842|1.97182943433713
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255654081350200|2011|Water Temperature|surface|2011-01-01T00:00:00Z|2011-03-06T00:00:00Z|122|16.7|26.2|22.1|22.1098360655738|2.54361653888127
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255654081350200|2012|Water Temperature|surface|2012-01-01T00:00:00Z|2012-03-06T00:00:00Z|65|15.8|26.9|22.4|22.4676923076923|2.70006410180317
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255654081350200|2013|Water Temperature|surface|2013-01-01T00:00:00Z|2013-03-06T00:00:00Z|65|19.8|26.4|23|23.0384615384615|2.00341055356955
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255654081350200|2014|Water Temperature|surface|2014-01-01T00:00:00Z|2014-03-06T00:00:00Z|65|18.1|27.1|23|22.8430769230769|2.79620106298088
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255654081350200|2015|Water Temperature|surface|2015-01-01T00:00:00Z|2015-03-06T00:00:00Z|65|17.7|27.6|21.5|22.0584615384615|2.27499260353827
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255654081350200|2016|Water Temperature|surface|2016-01-01T00:00:00Z|2016-03-06T00:00:00Z|66|15.7|27.9|20.9|20.9045454545455|2.58822373412773
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255654081350200|2017|Water Temperature|surface|2017-01-01T00:00:00Z|2017-03-06T00:00:00Z|64|16.9|28|23.95|23.5875|2.09901715473529
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255654081350200|2018|Water Temperature|surface|2018-01-01T00:00:00Z|2018-03-06T00:00:00Z|63|16.8|27.8|22.3|22.5396825396825|3.2807129281527
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255654081350200|2019|Water Temperature|surface|2019-01-01T00:00:00Z|2019-03-06T00:00:00Z|65|17.9|28.9|24.3|23.7169230769231|2.98017245887136
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255654081350200|2022|Water Temperature|surface|2022-01-01T00:00:00Z|2022-09-27T00:00:00Z|270|15.9|33.2|29.2|28.0522222222222|3.76266815216226
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|7|National Water Information System|255654081350200|2023|Water Temperature|surface|2023-01-01T00:00:00Z|2023-02-28T00:00:00Z|59|18|28|23.8|23.7508474576271|2.36142657652734
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|354|Rookery Bay National Estuarine Research Reserve System-Wide Monitoring Program|rkbfbwq|2002|Water Temperature|bottom|2002-01-01T00:00:00Z|2002-12-26T09:30:00Z|15686|8.2|35.6|27.6|26.5383080453908|4.22285847207798
