AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|N_Data|N_Years|EarliestYear|LatestYear|LastSampleDate|SufficientData|Median|Independent|tau|p|SennSlope|SennIntercept|ChiSquared|pChiSquared|Trend
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH|pH|bottom|13034|2|2007|2008|2008-08-25T09:00:00Z|FALSE|7.9|||    NA|||||
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPAH2|pH|bottom|36375|2|2019|2020|2020-12-31T23:45:00Z|FALSE|8.1|||    NA|||||
1|Alligator Harbor Aquatic Preserve|468|Central Panhandle Aquatic Preserves Continuous Water Quality Monitoring|CPFS|pH|bottom|32639|2|2019|2020|2020-12-19T08:30:00Z|FALSE|8.1|||    NA|||||
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|pH|bottom|535865|22|2002|2023|2023-02-24T01:15:00Z|TRUE|8|TRUE|-0.1448|0.0020|-0.00487959730972576|8.05379604290856|7.8253|0.7289|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebwq|pH|bottom|647843|29|1995|2023|2023-02-24T03:00:00Z|TRUE|7.6|TRUE|-0.1046|0.0082|-0.00631428597121762|7.65916796787517|6.4812|0.8394|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaeswq|pH|bottom|654473|29|1995|2023|2023-02-06T11:00:00Z|TRUE|7.5|TRUE|-0.1471|0.0002|-0.00940280352451266|7.63731786781193|1.9445|0.9987|-1
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apalmwq|pH|bottom|197786|7|2017|2023|2023-02-06T09:15:00Z|TRUE|7.1|TRUE|-0.1081|0.3246|-0.0172535239270663|7.13838516007019|10.7513|0.4643|0
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apapcwq|pH|bottom|200043|7|2017|2023|2023-02-06T13:15:00Z|TRUE|8.1|TRUE|-0.0865|0.4367|-0.00607520900781733|8.12512719680218|11.0178|0.4418|0
3|Apalachicola National Estuarine Research Reserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apabpwq|pH|bottom|80495|4|2020|2023|2023-01-31T14:30:00Z|FALSE|7.1|||    NA|||||
3|Apalachicola National Estuarine Research Reserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apacpwq|pH|bottom|545607|22|2002|2023|2023-02-06T12:15:00Z|TRUE|8|TRUE|0.0182|0.6982|0.000665574815294118|8.01564466176213|19.4608|0.0533|0
