AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|Year|ParameterName|RelativeDepth|EarliestSampleDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2002|pH|bottom|2002-01-01T00:00:00Z|2002-12-31T23:30:00Z|17467|7.4|8.7|8|8.02119997709967|0.209523575605906
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2003|pH|bottom|2003-01-01T00:00:00Z|2003-12-31T23:30:00Z|17051|7.2|9|8.1|8.10008797137998|0.299762356319881
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2004|pH|bottom|2004-01-01T00:00:00Z|2004-12-31T23:30:00Z|15672|7.4|9.1|8.2|8.2305832057172|0.227045045001959
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2005|pH|bottom|2005-01-01T00:00:00Z|2005-12-31T23:30:00Z|14867|6.7|9|8.2|8.20316136409498|0.329322962057499
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2006|pH|bottom|2006-01-01T00:00:00Z|2006-12-31T23:45:00Z|14950|7.5|8.6|8.1|8.11777926421405|0.121712717725077
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2007|pH|bottom|2007-01-01T00:00:00Z|2007-12-31T23:45:00Z|29701|7.4|8.7|8|8.01487828692637|0.174639145511609
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2008|pH|bottom|2008-01-01T00:00:00Z|2008-12-31T23:45:00Z|29582|7.4|8.8|8.1|8.10258603204652|0.204921708333644
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2009|pH|bottom|2009-01-01T00:00:00Z|2009-12-31T23:45:00Z|30556|6.8|8.9|8|7.97408364969237|0.260345228689718
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2010|pH|bottom|2010-01-01T00:00:00Z|2010-12-15T09:45:00Z|31499|7.2|8.6|8|7.98815517952951|0.191621662228178
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2011|pH|bottom|2011-01-04T11:15:00Z|2011-12-31T23:45:00Z|27786|7.3|8.4|8|7.97761462607068|0.135597810261731
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2012|pH|bottom|2012-01-01T00:00:00Z|2012-12-21T07:00:00Z|27818|7.1|8.6|7.9|7.93751527787763|0.258410600111991
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2013|pH|bottom|2013-01-01T00:00:00Z|2013-12-31T23:45:00Z|32039|6.4|9.3|7.8|7.82233527887887|0.448864562584153
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2014|pH|bottom|2014-01-01T00:00:00Z|2014-12-31T23:45:00Z|26470|7|8.7|7.9|7.91021533811863|0.237894234962356
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2015|pH|bottom|2015-01-01T00:00:00Z|2015-12-15T10:45:00Z|27487|7.1|8.4|7.9|7.86702077345654|0.193702641942587
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2016|pH|bottom|2016-01-13T09:30:00Z|2016-12-31T23:45:00Z|24931|6.7|8.6|8|7.96516786330272|0.264398580567332
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2017|pH|bottom|2017-01-01T00:00:00Z|2017-12-31T23:45:00Z|33494|7.4|8.5|8.1|8.08507493879501|0.133661861220561
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2018|pH|bottom|2018-01-01T00:00:00Z|2018-12-31T23:45:00Z|25366|7.3|8.7|8.1|8.112824252937|0.170276878282781
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2019|pH|bottom|2019-01-01T00:00:00Z|2019-06-27T23:15:00Z|17084|7.1|8.4|7.9|7.88427183329431|0.183700990922224
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbwq|2020|pH|bottom|2020-07-09T09:15:00Z|2020-12-31T23:45:00Z|16856|7.2|8.5|8|7.96238134788799|0.195941620189389
