ManagedAreaName|Year|Month|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
Big Bend Seagrasses Aquatic Preserve|1982|6|1|1.99|1.99|1.99|1.99||60
Big Bend Seagrasses Aquatic Preserve|1995|9|1|3.88|3.88|3.88|3.88||60
Big Bend Seagrasses Aquatic Preserve|2008|3|1|1.19|1.19|1.19|1.19||60
Big Bend Seagrasses Aquatic Preserve|2008|9|1|3.05|3.05|3.05|3.05||60
Big Bend Seagrasses Aquatic Preserve|2009|3|1|2.87|2.87|2.87|2.87||60
Big Bend Seagrasses Aquatic Preserve|2009|7|1|3.911|3.911|3.911|3.911||60
Big Bend Seagrasses Aquatic Preserve|2009|9|1|2.59|2.59|2.59|2.59||60
Big Bend Seagrasses Aquatic Preserve|2010|9|1|2.73|2.73|2.73|2.73||60
Big Bend Seagrasses Aquatic Preserve|2011|9|1|3.317|3.317|3.317|3.317||60
Big Bend Seagrasses Aquatic Preserve|2012|9|1|1.794|1.794|1.794|1.794||60
Big Bend Seagrasses Aquatic Preserve|2013|6|1|2.822|2.822|2.822|2.822||60
Big Bend Seagrasses Aquatic Preserve|2014|9|1|4.352|4.352|4.352|4.352||60
Big Bend Seagrasses Aquatic Preserve|2014|10|2|0.553|1.309|0.931|0.931|0.53457272657703|60
Big Bend Seagrasses Aquatic Preserve|2015|6|1|0.61|0.61|0.61|0.61||60
Florida Keys National Marine Sanctuary|1982|6|1|0.45|0.45|0.45|0.45||60
Florida Keys National Marine Sanctuary|1995|7|9|0.25|0.69|0.36|0.414444444444445|0.154362488246911|60
Florida Keys National Marine Sanctuary|1996|8|11|0.19|0.34|0.25|0.261818181818182|0.0509545251804355|60
Florida Keys National Marine Sanctuary|1997|7|19|0.29|1.03|0.64|0.608421052631579|0.21990561505374|60
Florida Keys National Marine Sanctuary|2002|5|14|0.18|0.88|0.44|0.471428571428571|0.217462893133771|60
Florida Keys National Marine Sanctuary|2003|10|15|0|0|0|0|0|60
Florida Keys National Marine Sanctuary|2006|5|8|0|0|0|0|0|60
Florida Keys National Marine Sanctuary|2006|6|22|0|0|0|0|0|60
Florida Keys National Marine Sanctuary|2008|6|18|0.42|16.82|1.245|2.29055555555556|3.71507971923369|60
Florida Keys National Marine Sanctuary|2009|6|36|0|0|0|0|0|60
Florida Keys National Marine Sanctuary|2010|3|36|0|0|0|0|0|60
Florida Keys National Marine Sanctuary|2010|4|8|0|0|0|0|0|60
Florida Keys National Marine Sanctuary|2010|9|1|0.9|0.9|0.9|0.9||60
Florida Keys National Marine Sanctuary|2011|5|16|0|11.94|0.71|1.50375|2.84105584833057|60
Florida Keys National Marine Sanctuary|2012|7|30|0|0.375|0|0.0817333333333333|0.125579740660537|60
Florida Keys National Marine Sanctuary|2016|7|16|0.105|2.65|0.308|0.4959375|0.616526773546778|60
