ManagedAreaName|Month|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
Big Bend Seagrasses Aquatic Preserve|3|2|1.19|2.87|2.03|2.03|1.1879393923934|60
Big Bend Seagrasses Aquatic Preserve|6|3|0.61|2.822|1.99|1.80733333333333|1.11725616280839|60
Big Bend Seagrasses Aquatic Preserve|7|1|3.911|3.911|3.911|3.911||60
Big Bend Seagrasses Aquatic Preserve|9|7|1.794|4.352|3.05|3.10185714285714|0.849323736583295|60
Big Bend Seagrasses Aquatic Preserve|10|2|0.553|1.309|0.931|0.931|0.53457272657703|60
Florida Keys National Marine Sanctuary|3|36|0|0|0|0|0|60
Florida Keys National Marine Sanctuary|4|8|0|0|0|0|0|60
Florida Keys National Marine Sanctuary|5|38|0|11.94|0.47|0.806842105263158|1.91891453728989|60
Florida Keys National Marine Sanctuary|6|77|0|16.82|0|0.541298701298701|2.00890016430132|60
Florida Keys National Marine Sanctuary|7|74|0|2.65|0.2915|0.346986486486487|0.388628057322385|60
Florida Keys National Marine Sanctuary|8|11|0.19|0.34|0.25|0.261818181818182|0.0509545251804355|60
Florida Keys National Marine Sanctuary|9|1|0.9|0.9|0.9|0.9||60
Florida Keys National Marine Sanctuary|10|15|0|0|0|0|0|60
