ManagedAreaName|Year|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
Alligator Harbor Aquatic Preserve|1998|142|5.7|9.7|7.6|7.69084507042254|0.713686357555854|69, 5002
Alligator Harbor Aquatic Preserve|1999|871|2.9|11.4|7.6|7.86084959816303|1.32144773068763|69, 5002
Alligator Harbor Aquatic Preserve|2000|267|4.3|12.4|9.1|8.85767790262172|1.63262296489034|69, 5002
Alligator Harbor Aquatic Preserve|2001|172|4.5|11.3|8|8.00872093023256|1.15570519370817|69, 5002
Alligator Harbor Aquatic Preserve|2002|337|4.2|11.7|8|7.95964391691395|1.49822430340175|69, 5002
Alligator Harbor Aquatic Preserve|2003|241|3.1|12|8.5|8.25103734439834|1.29550865278196|69, 5002
Alligator Harbor Aquatic Preserve|2004|233|2.2|10.9|7.4|7.30901287553648|1.77934881657319|69, 95, 5002
Alligator Harbor Aquatic Preserve|2005|103|4.36|11.1|8.1|8.1352427184466|1.35599095134076|69, 557, 5002
Alligator Harbor Aquatic Preserve|2006|69|2.6|11.91|7.4|7.39434782608696|1.14767857544348|69, 557, 5002
Alligator Harbor Aquatic Preserve|2007|156|2.3|9.4|5.4|5.84891025641026|1.83128742787882|69, 557, 5002
Alligator Harbor Aquatic Preserve|2008|219|2|10.7|5|5.30109589041096|1.9422576679115|69, 95, 557, 5002
Alligator Harbor Aquatic Preserve|2009|226|2.9|12|7.2|7.09929203539823|1.46541960123018|69, 95, 557, 5002
Alligator Harbor Aquatic Preserve|2010|113|2.2|10.6|7.8|7.47433628318584|2.16067857896963|69, 95, 5002
Alligator Harbor Aquatic Preserve|2011|87|4.4|9.5|7.1|7.13103448275862|0.928778936427071|69, 95, 5002
Alligator Harbor Aquatic Preserve|2012|119|2.8|9.4|4.9|5.29915966386555|1.75945368053621|69, 5002
Alligator Harbor Aquatic Preserve|2013|122|2.1|18.6|7.55|7.90245901639344|2.12421937493563|69, 5002
Alligator Harbor Aquatic Preserve|2014|186|3.7|9.4|5.4|5.71397849462366|1.1180186526365|69, 95, 5002
Alligator Harbor Aquatic Preserve|2015|174|4.1|10.5|6.75|7.06609195402299|1.32858728597962|69, 95, 5002
Alligator Harbor Aquatic Preserve|2016|223|3.7|11.8|7.1|6.88941704035875|1.22312224941157|69, 95, 469, 5002
Alligator Harbor Aquatic Preserve|2017|307|2.4|15.4|6.52|6.62078175895766|1.33913567429741|69, 95, 469, 557, 5002
Alligator Harbor Aquatic Preserve|2018|111|3.5|9.24|6.59|6.85279279279279|1.34179674058275|95, 469, 557
Alligator Harbor Aquatic Preserve|2019|104|5.06|10.41|6.71|6.97576923076923|1.2570891730291|469, 557, 5002
