ManagedAreaName|Independent|Median|N|EarliestYear|LatestYear|tau|p|SennSlope|SennIntercept|Trend
Apalachicola Bay Aquatic Preserve|TRUE|90.1|2202|2000|2022|0.0992|0|0.453846153846154|-857.540384615385|1
Apalachicola National Estuarine Research Reserve|TRUE|89.5|2672|2000|2022|0.0485|0.0001|0.200000000000003|-357.185|1
Banana River Aquatic Preserve|TRUE|90.3|155|2012|2021|0.0939|0.0749|1.05|-1664.77583333333|0
Boca Ciega Bay Aquatic Preserve|TRUE|87.1|3797|1992|2021|-0.0654|0|-1.292|3289.32500000001|-1
Cape Romano-Ten Thousand Islands Aquatic Preserve|TRUE|73.25|212|2002|2019|-0.0675|0.3232|-0.488888888888889|1087.72678571429|0
Cockroach Bay Aquatic Preserve|TRUE|53.4|3861|1995|2021|0.0672|0|0.928571428571429|440.587500000004|1
Coupon Bight Aquatic Preserve|TRUE|93.463120715|78|1995|2020|-0.0017|0.8746|-0.106949936428571|309.405043612388|0
Florida Keys National Marine Sanctuary|TRUE|93.98133682|17731|1995|2021|0.1598|0|0.268020442222222|-435.442142208089|1
Guana River Marsh Aquatic Preserve|TRUE|81.5|211|2005|2021|-0.0125|0.495|-0.176190476190477|-1018.63333333333|0
Guana Tolomato Matanzas National Estuarine Research Reserve|TRUE|85|503|2004|2022|-0.1649|0|-0.800000000000011|1887.75444444444|-1
Indian River-Malabar to Vero Beach Aquatic Preserve|TRUE|77|459|2012|2021|-0.1314|0.0001|-2.06666666666667|4436.47957142857|-1
Jensen Beach to Jupiter Inlet Aquatic Preserve|TRUE|94.6|61|2005|2019|-0.1344|0.5069|-0.375|3644.48125|0
Loxahatchee River-Lake Worth Creek Aquatic Preserve|TRUE|98.1|269|2003|2019|-0.1176|0.0027|-0.555555555555556|-259.014583333335|-1
Nassau River-St. Johns River Marshes Aquatic Preserve|TRUE|87.3|183|2004|2021|-0.2932|0|-1.34117647058824|2898.44166666667|-1
Pinellas County Aquatic Preserve|TRUE|85.4|10582|1992|2021|-0.0149|0|-0.553333333333333|206.662499999997|-1
Rocky Bayou State Park Aquatic Preserve|TRUE|54.1|257|2001|2018|0.0633|0.1722|0.45|-906|0
Rookery Bay Aquatic Preserve|TRUE|78.95|152|2002|2021|0.023|0.531|0.27|-173.853928571427|0
Rookery Bay National Estuarine Research Reserve|TRUE|77.4|370|2002|2021|-0.0511|0.211|-0.233333333333332|734.264583333332|0
Terra Ceia Aquatic Preserve|TRUE|89.3|2067|1993|2021|-0.0939|0|-0.73125|155.632142857142|-1
