ManagedAreaName|Year|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
Alligator Harbor Aquatic Preserve|1998|88|27.9|31.7|30.6|30.6136363636364|0.57539228361336|5002
Alligator Harbor Aquatic Preserve|1999|524|27|33.9|31.4|31.1135496183206|1.50291863770722|5002
Alligator Harbor Aquatic Preserve|2000|176|28.3|36.5|32.6|32.1715909090909|1.44475001207911|5002
Alligator Harbor Aquatic Preserve|2001|92|29|36.4|32.65|32.7630434782609|1.86156718753132|5002
Alligator Harbor Aquatic Preserve|2002|189|27.1|36.9|30.5|31.5248677248677|2.74293397979547|5002
Alligator Harbor Aquatic Preserve|2003|189|22.5|34.9|26.2|27.0121693121693|3.20267674830908|5002
Alligator Harbor Aquatic Preserve|2004|151|28.3|35|31.2|31.5774834437086|2.16475317100835|5002
Alligator Harbor Aquatic Preserve|2005|84|23.6|31.9|28.75|28.2726190476191|2.48602606343267|69, 557, 5002
Alligator Harbor Aquatic Preserve|2006|97|26.9|37.5|32.4|32.0051546391753|2.38272301920603|557, 5002
Alligator Harbor Aquatic Preserve|2007|142|30.1|40|34.55|34.4464788732394|2.38742752953265|69, 557, 5002
Alligator Harbor Aquatic Preserve|2008|143|30.3|35|32.7|32.4685314685315|0.855917231454858|69, 557, 5002
Alligator Harbor Aquatic Preserve|2009|170|23.7|33.8|29.55|29.5064705882353|2.87252119262651|557, 5002
Alligator Harbor Aquatic Preserve|2010|11|27.9|30.4|30.1|29.5181818181818|0.998817482644535|558
Alligator Harbor Aquatic Preserve|2011|40|28|35|33.05|31.6625|2.4554165660475|558, 5002
Alligator Harbor Aquatic Preserve|2012|78|29.7|34.6|33.6|33.4576923076923|0.665381294997288|558, 5002
Alligator Harbor Aquatic Preserve|2013|112|28.6|34.7|32.1|31.6544642857143|1.45669553187578|5002
Alligator Harbor Aquatic Preserve|2016|44|24|33.3|29.3|29.875|2.03459898340086|95, 5002
Alligator Harbor Aquatic Preserve|2017|103|24.1|33|31.4|31.1632038834951|1.15475166126768|95, 557, 5002
Alligator Harbor Aquatic Preserve|2018|9|29.65|34.63|31.37|31.5644444444444|1.58724691770933|95, 557
Alligator Harbor Aquatic Preserve|2019|16|26.35|30.89|28.635|28.503125|1.61307457463483|557, 5002
Alligator Harbor Aquatic Preserve|2020|4|30.01|33.79|32.355|32.1275|1.68843862784526|5002
Alligator Harbor Aquatic Preserve|2021|7|28.45|30.4|29.56|29.4242857142857|0.815370205139096|5002
Alligator Harbor Aquatic Preserve|2022|1|30.4|30.4|30.4|30.4||5002
Apalachicola Bay Aquatic Preserve|1992|2|11.05|26.6|18.825|18.825|10.9955104474508|115
Apalachicola Bay Aquatic Preserve|1994|10|0|28.9|11.05|12.83|12.3739017470014|115, 119
Apalachicola Bay Aquatic Preserve|1995|512|0.1|35.8|18.2|18.0857421875|9.67577380188793|5002
Apalachicola Bay Aquatic Preserve|1996|1093|0.1|36.8|16.8|16.7176578225069|10.2237105550208|5002
Apalachicola Bay Aquatic Preserve|1997|552|0.1|35.4|13.55|14.9469202898551|9.68442111211385|5002
Apalachicola Bay Aquatic Preserve|1998|1308|0.1|36.3|16.3|15.561620795107|10.7154991951952|5002
Apalachicola Bay Aquatic Preserve|1999|570|0.1|34|22.4|21.2750877192982|7.8110829114075|5002
Apalachicola Bay Aquatic Preserve|2000|573|0.9|35.4|22.4|21.8356020942408|6.80938956287688|129, 5002
Apalachicola Bay Aquatic Preserve|2001|747|0.1|36.1|20.7|19.7887550200803|9.35923119180024|129, 5002
Apalachicola Bay Aquatic Preserve|2002|585|0.1|36.7|21.3|20.8500854700855|8.79755010415673|69, 115, 129, 5002
Apalachicola Bay Aquatic Preserve|2003|510|0.1|35.9|14.2|13.9895294117647|9.42680995602809|69, 129, 5002
Apalachicola Bay Aquatic Preserve|2004|294|0.4|35|19.45|18.8959183673469|8.27987714498081|115, 129, 5002
Apalachicola Bay Aquatic Preserve|2005|612|0.1|35.8|15.85|15.0787581699346|9.22426209630297|69, 129, 5002
Apalachicola Bay Aquatic Preserve|2006|483|0.1|37.2|22.6|20.8813664596273|8.88695396781201|69, 129, 5002
Apalachicola Bay Aquatic Preserve|2007|533|0.6|39|27.1|25.515947467167|8.39984497334222|69, 129, 5002
Apalachicola Bay Aquatic Preserve|2008|467|0.1|35.5|23|21.3875802997859|8.6261713723125|69, 129, 5002
Apalachicola Bay Aquatic Preserve|2009|1077|0|39.9|17.2|17.0422469823584|9.12306035617232|69, 129, 5002
Apalachicola Bay Aquatic Preserve|2010|925|0|34.4|18.7|17.5261621621622|8.62648863341894|129, 5002
Apalachicola Bay Aquatic Preserve|2011|445|0.1|40.3|24.9|24.1503370786517|7.97370854993304|129, 355, 5002
Apalachicola Bay Aquatic Preserve|2012|497|1|37.6|27.7|26.1095171026157|7.67445410007005|129, 355, 5002
Apalachicola Bay Aquatic Preserve|2013|643|0.1|38.7|19.4|18.9771384136858|8.22451827360343|355, 5002
Apalachicola Bay Aquatic Preserve|2014|624|0.1|35.2|20.95|19.7753205128205|9.23387405554525|129, 5002
Apalachicola Bay Aquatic Preserve|2015|450|0.1|35.3|22.5|21.3476888888889|8.54128501210476|129, 5002
Apalachicola Bay Aquatic Preserve|2016|483|0.1|34.5|20.6|19.2252795031056|8.58635432388176|129, 5002
Apalachicola Bay Aquatic Preserve|2017|616|0.1|34.5|20.495|19.2865746753247|8.4424936855284|129, 355, 5002, 5071
Apalachicola Bay Aquatic Preserve|2018|122|0.05|35.62|20.405|19.4204918032787|9.97755960262324|95, 129, 355, 5002
Apalachicola Bay Aquatic Preserve|2019|122|0.04|37.54|21.54|20.232868852459|9.73908131831781|129, 355, 557, 5002
Apalachicola Bay Aquatic Preserve|2020|54|0.03|31.45|13.96|13.4414814814815|9.20829843282419|129, 5002
Apalachicola Bay Aquatic Preserve|2021|10|0.07|25.47|17.675|14.639|9.54332279659449|5002
Apalachicola Bay Aquatic Preserve|2022|2|13.64|14.98|14.31|14.31|0.947523086789974|5002
Apalachicola National Estuarine Research Reserve|1992|2|11.05|26.6|18.825|18.825|10.9955104474508|115
Apalachicola National Estuarine Research Reserve|1994|8|0|28.9|14.35|15.7125|12.202392915209|115, 119
Apalachicola National Estuarine Research Reserve|1995|841|0.1|37.2|20.5|20.2801426872771|9.36057069783354|5002
Apalachicola National Estuarine Research Reserve|1996|1678|0.1|36.8|17.7|17.1315852205006|9.83642925451193|5002
Apalachicola National Estuarine Research Reserve|1997|892|0.1|35.4|17.4|16.9269058295964|8.94188584147083|5002
Apalachicola National Estuarine Research Reserve|1998|2047|0.1|36.3|15.1|15.148070346849|10.2494181194746|5002
Apalachicola National Estuarine Research Reserve|1999|769|0.1|34|23.1|21.9345903771131|7.36123184253442|5002
Apalachicola National Estuarine Research Reserve|2000|858|0.9|35.4|23.3|22.6439393939394|6.42374110680771|115, 129, 5002
Apalachicola National Estuarine Research Reserve|2001|1033|0.1|36.6|21.5|20.7967086156825|9.15173283933122|129, 5002
Apalachicola National Estuarine Research Reserve|2002|838|0.1|36.7|23|22.0789976133652|9.0981433870867|69, 115, 129, 5002
Apalachicola National Estuarine Research Reserve|2003|700|0.1|35.9|15.55|15.3023714285714|9.19634278115701|69, 129, 5002
Apalachicola National Estuarine Research Reserve|2004|360|0.4|35|20.7|20.1025|8.15068870238091|115, 129, 5002
Apalachicola National Estuarine Research Reserve|2005|830|0.1|35.8|16.7|15.7039759036145|9.18655314033193|69, 129, 5002
Apalachicola National Estuarine Research Reserve|2006|671|0.1|37.2|22.4|21.2210134128167|8.22169261279104|69, 129, 5002
Apalachicola National Estuarine Research Reserve|2007|722|0.1|39|27.8|25.6026315789474|9.17768694098274|69, 129, 5002
Apalachicola National Estuarine Research Reserve|2008|610|0.1|35.9|23.8|21.7065573770492|9.36936398912658|69, 129, 5002
Apalachicola National Estuarine Research Reserve|2009|1655|0|39.9|17.6|17.058912386707|9.23133778849817|69, 129, 5002
Apalachicola National Estuarine Research Reserve|2010|1434|0|34.4|17.35|16.2649232914923|9.37385733968023|129, 5002
Apalachicola National Estuarine Research Reserve|2011|644|0.1|40.3|26.1|24.8506211180124|8.0186611425315|129, 355, 558, 5002
Apalachicola National Estuarine Research Reserve|2012|655|0.1|37.6|28.5|26.4502748091603|8.00513647704445|129, 355, 558, 5002
Apalachicola National Estuarine Research Reserve|2013|840|0|38.7|20.8|19.5582142857143|8.38074751256726|355, 5002
Apalachicola National Estuarine Research Reserve|2014|841|0.1|35.2|22.6|21.2373365041617|9.10409037020025|129, 5002
Apalachicola National Estuarine Research Reserve|2015|570|0.1|35.3|23.8|22.389052631579|8.11143141888692|129, 5002
Apalachicola National Estuarine Research Reserve|2016|705|0.1|34.5|21.3|19.7693758865248|8.61844094519642|129, 5002
Apalachicola National Estuarine Research Reserve|2017|789|0.05|34.5|21|19.7830544993663|8.71783239680614|95, 129, 355, 5002, 5071
Apalachicola National Estuarine Research Reserve|2018|161|0.05|37.43|19.11|17.1574534161491|11.3918447408389|95, 129, 355, 5002
Apalachicola National Estuarine Research Reserve|2019|175|0.04|37.54|18.02|16.4313142857143|11.5644258315945|129, 355, 557, 5002
Apalachicola National Estuarine Research Reserve|2020|65|0.01|31.45|11.99|11.176|9.78816485609024|129, 5002
Apalachicola National Estuarine Research Reserve|2021|26|0.05|25.47|0.06|5.66576923076923|9.22628296686241|5002
Apalachicola National Estuarine Research Reserve|2022|8|0.04|14.98|0.05|3.61375|6.61157845320292|5002
Banana River Aquatic Preserve|1991|11|18.4|29|24.4|23.5272727272727|3.29608583295123|3001, 5002
