ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
Alligator Harbor Aquatic Preserve|557|Central Panhandle Aquatic Preserves Seagrass Monitoring|AH01|2017-07-26|2019-06-13|3|29.58|31.81|31.11|30.8333333333333|1.14045312632012
Alligator Harbor Aquatic Preserve|557|Central Panhandle Aquatic Preserves Seagrass Monitoring|AH02|2018-09-20|2019-06-13|2|28.13|31.37|29.75|29.75|2.29102597104442
Alligator Harbor Aquatic Preserve|557|Central Panhandle Aquatic Preserves Seagrass Monitoring|AH03|2005-03-30|2009-06-18|5|28.5|34.8|33.7|32.42|2.68458562910554
Alligator Harbor Aquatic Preserve|557|Central Panhandle Aquatic Preserves Seagrass Monitoring|AH04|2007-09-04|2019-06-13|4|27.08|35.6|29.865|30.6025|3.81046257034497
Alligator Harbor Aquatic Preserve|557|Central Panhandle Aquatic Preserves Seagrass Monitoring|AH05|2005-03-30|2009-06-18|3|26.5|35|28.8|30.1|4.39658958739612
Alligator Harbor Aquatic Preserve|557|Central Panhandle Aquatic Preserves Seagrass Monitoring|AH06|2006-07-27|2009-06-18|4|31.6|35.3|33.75|33.6|1.54704018478297
Alligator Harbor Aquatic Preserve|557|Central Panhandle Aquatic Preserves Seagrass Monitoring|AH07|2005-03-30|2009-06-23|5|28.3|34.8|33.7|32.8|2.58166612868512
Alligator Harbor Aquatic Preserve|557|Central Panhandle Aquatic Preserves Seagrass Monitoring|AH08|2018-09-20|2019-06-13|2|27.27|30.57|28.92|28.92|2.33345237791561
Alligator Harbor Aquatic Preserve|557|Central Panhandle Aquatic Preserves Seagrass Monitoring|AH09|2018-09-20|2019-06-13|2|26.68|30.02|28.35|28.35|2.36173664916307
Alligator Harbor Aquatic Preserve|557|Central Panhandle Aquatic Preserves Seagrass Monitoring|AH10|2019-06-13|2019-06-13|1|26.35|26.35|26.35|26.35|
Alligator Harbor Aquatic Preserve|557|Central Panhandle Aquatic Preserves Seagrass Monitoring|AH11|2009-06-23|2019-06-13|4|26.56|32.6|31.94|30.76|2.81781239025359
Alligator Harbor Aquatic Preserve|557|Central Panhandle Aquatic Preserves Seagrass Monitoring|AH12|2009-06-18|2019-06-13|4|29.14|34.63|31.86|31.8725|2.2418649230793
Alligator Harbor Aquatic Preserve|557|Central Panhandle Aquatic Preserves Seagrass Monitoring|AH13|2017-07-26|2019-06-13|3|29.65|30.9|30.03|30.1933333333333|0.64080678315178
Alligator Harbor Aquatic Preserve|557|Central Panhandle Aquatic Preserves Seagrass Monitoring|AH14|2019-06-13|2019-06-13|1|27.16|27.16|27.16|27.16|
Alligator Harbor Aquatic Preserve|557|Central Panhandle Aquatic Preserves Seagrass Monitoring|AH15|2019-06-13|2019-06-13|1|27.1|27.1|27.1|27.1|
Alligator Harbor Aquatic Preserve|69|Fisheries-Independent Monitoring (FIM) Program|APM2000071003|2000-07-10|2000-07-10|1|34.5|34.5|34.5|34.5|
Alligator Harbor Aquatic Preserve|69|Fisheries-Independent Monitoring (FIM) Program|APM2017050101|2017-05-02|2017-05-02|1|32.4|32.4|32.4|32.4|
Alligator Harbor Aquatic Preserve|69|Fisheries-Independent Monitoring (FIM) Program|APM2017070102|2017-07-03|2017-07-03|1|29.2|29.2|29.2|29.2|
Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS001|1998-11-24|2017-09-14|123|23.3|38.4|31.5|31.2439024390244|2.69891132700939
Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS002|1998-11-24|2017-09-14|162|23.5|38.3|31.3|31.2191358024691|2.50270745196853
Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS003|1998-11-17|2017-09-14|166|24|38.5|31.5|31.2722891566265|2.49332749568327
Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS004|1998-11-24|2017-09-14|99|23.5|37.2|31.4|31.1484848484849|2.69653457261328
Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS005|1998-11-24|2017-09-14|157|23.4|37|31.4|31.1923566878981|2.43388318518734
Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS006|1998-11-24|2017-08-22|132|23.5|39.4|31.5|31.2348484848485|2.73389761331218
Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS007|1998-12-01|2017-09-14|121|22.8|37.3|31|30.7826446280992|2.93287906575179
