ManagedAreaName|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation|tau|SennSlope|SennIntercept|p|Trend
Alligator Harbor Aquatic Preserve|2001-07-18|2016-09-09|87|0.15|0.93|0.4|0.443448275862069|0.209938128129079|-0.0965|-0.014|16.9967857142857|0.0932|0
Biscayne Bay Aquatic Preserve|2000-12-16|2021-01-14|622|0.164|2.125|0.404|0.439056270096463|0.210611956413816|-0.2443|-0.031|83.956375|0|-1
Cape Haze Aquatic Preserve|2007-09-12|2021-11-02|100|0.054|1.387|0.5045|0.55016|0.22613318324752|0.1779|0.015|-33.824|0.0551|0
Estero Bay Aquatic Preserve|1994-11-03|2016-01-08|27|0.01|0.72|0.01|0.207777777777778|0.236778593973574|0.697|0.0283333333333333|-56.6283333333333|0.0041|2
Florida Keys National Marine Sanctuary|1995-03-22|2020-12-16|7716|0|2.15358301|0.129410725|0.154317639686366|0.106453479463397|-0.0707|-0.000888635|2.06156224424076|0|-1
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|1996-08-26|2020-12-21|563|0.01|2.119|0.639|0.687573428063943|0.338825075046957|0.0915|0.00563961038961039|-5.41799999999999|0.0011|1
Jensen Beach to Jupiter Inlet Aquatic Preserve|2001-08-15|2019-04-09|31|0.192|2.152|0.206|0.344161290322581|0.362941693827369|-0.3036|-0.001|12.9051875|0.112|0
Loxahatchee River-Lake Worth Creek Aquatic Preserve|1992-02-10|2019-10-16|737|0.2|4.02|0.72|0.768519674355495|0.510498514834|-0.2493|-0.0301666666666667|54.5074578088578|0|-1
Nature Coast Aquatic Preserve|1997-01-22|2015-11-05|497|0.12|1.66|0.43|0.453923541247485|0.178143704986014|-0.0287|0|2.09875|0.5363|0
Pine Island Sound Aquatic Preserve|1997-05-15|2014-07-29|72|0.01|0.46|0.05|0.0695833333333333|0.103303702400144|0.2777|0.00363636363636364|-6.65333333333333|0|1
St. Joseph Bay Aquatic Preserve|2001-05-14|2016-08-15|40|0.1|0.62|0.225|0.247|0.0914891054183853|0.1869|0.00555555555555556|-10.762380952381|0.1535|0
St. Martins Marsh Aquatic Preserve|1996-12-24|2015-10-21|168|0.16|1.32|0.4|0.416855952380952|0.162033266231211|0.0901|0.0025|-13.3898035714286|0.1801|0
