ManagedAreaName|Year|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
Big Bend Seagrasses Aquatic Preserve|2000|6|0.000018|0.045|0.0000275|0.0075215|0.0183606407813017|514, 5002
Big Bend Seagrasses Aquatic Preserve|2001|14|0.00002|0.051|0.024|0.0210807857142857|0.0204702589182775|514, 5002
Big Bend Seagrasses Aquatic Preserve|2002|5|0.000026|0.048|0.042|0.0354052|0.0199834915667908|514, 5002
Big Bend Seagrasses Aquatic Preserve|2003|2|0.000025|0.000032|0.0000285|0.0000285|0.00000494974746830583|514
Big Bend Seagrasses Aquatic Preserve|2004|1|0.000026|0.000026|0.000026|0.000026||514
Big Bend Seagrasses Aquatic Preserve|2005|1|0.000037|0.000037|0.000037|0.000037||514
Big Bend Seagrasses Aquatic Preserve|2006|4|0.000025|0.000028|0.000027|0.00002675|0.00000125830573921179|514
Big Bend Seagrasses Aquatic Preserve|2007|3|0.000018|0.000025|0.000023|0.000022|0.00000360555127546399|514
Big Bend Seagrasses Aquatic Preserve|2010|7|0.000024|0.000048|0.000026|0.0000298571428571429|0.00000829515062006253|514
Big Bend Seagrasses Aquatic Preserve|2011|2|0.000027|0.000028|0.0000275|0.0000275|0.000000707106781186548|514
Big Bend Seagrasses Aquatic Preserve|2013|1|0.000029|0.000029|0.000029|0.000029||514
Big Bend Seagrasses Aquatic Preserve|2014|8|0.000026|0.000031|0.0000285|0.0000285|0.00000177281052085584|514
Big Bend Seagrasses Aquatic Preserve|2015|6|0.000025|0.000037|0.000028|0.000029|0.00000433589667773576|514
Big Bend Seagrasses Aquatic Preserve|2016|8|0.000019|0.059|0.0000255|0.007396375|0.0208510134864163|514, 5002
Big Bend Seagrasses Aquatic Preserve|2017|7|0.000017|0.022|0.000027|0.00616042857142857|0.0104828983087876|514, 5002
Big Bend Seagrasses Aquatic Preserve|2018|16|0.00002|0.12|0.0295|0.04232025|0.043007709514303|514, 5002
Big Bend Seagrasses Aquatic Preserve|2019|4|0.0213|0.047|0.04|0.037075|0.0110222124215906|477, 5002
Big Bend Seagrasses Aquatic Preserve|2020|10|0.028|0.1875|0.08|0.08042|0.0526448857914993|477, 5002
Big Bend Seagrasses Aquatic Preserve|2021|6|0.028|0.058|0.0407|0.0415166666666667|0.0125574546253079|477, 5002
Cape Haze Aquatic Preserve|2008|4|0.025|0.137|0.0305|0.05575|0.054230219127961|479
Cape Haze Aquatic Preserve|2009|2|0.052|0.376|0.214|0.214|0.229102597104441|479
Cape Haze Aquatic Preserve|2010|8|0.037|0.214|0.058|0.091|0.0729951074681428|479
Cape Haze Aquatic Preserve|2011|10|0.026|0.165|0.107|0.0965|0.0477266522326188|479
Cape Haze Aquatic Preserve|2012|17|0.008|0.244|0.062|0.0780588235294118|0.0683597748937883|479
Cape Haze Aquatic Preserve|2013|13|0.009|0.428|0.082|0.164|0.16580058303074|479
Cape Haze Aquatic Preserve|2014|14|0.017|0.221|0.0695|0.0881428571428572|0.0645551131775217|479
Cape Haze Aquatic Preserve|2015|4|0.034|0.126|0.066|0.073|0.0420713679359253|479
Cape Haze Aquatic Preserve|2016|1|0.027|0.027|0.027|0.027||479
Cape Haze Aquatic Preserve|2020|2|0.042|0.086|0.064|0.064|0.0311126983722081|479, 5002
Cape Haze Aquatic Preserve|2021|3|0.062|0.31|0.14|0.170666666666667|0.126812197100016|476
Florida Keys National Marine Sanctuary|1995|235|0.00030974|0.01068595|0.00418146|0.00439904306382979|0.00136438945693261|297
Florida Keys National Marine Sanctuary|1996|248|0.00309738|0.01502227|0.00534297|0.00562347423387097|0.00153571542316946|297
Florida Keys National Marine Sanctuary|1997|315|0.00294251|0.01014391|0.00557528|0.00570040152380952|0.00113005454025623|297
Florida Keys National Marine Sanctuary|1998|296|0.000005|0.01977675|0.00611732|0.00661226010135135|0.00247368707767726|297, 514
Florida Keys National Marine Sanctuary|1999|392|0.000003|0.0463574|0.00525857|0.00548405227040816|0.00432668733016483|297, 514
Florida Keys National Marine Sanctuary|2000|399|0.000001|0.02103428|0.00747939|0.00686007964912281|0.00447210605254711|297, 514
Florida Keys National Marine Sanctuary|2001|359|0.000002|0.02033427|0.00454282|0.0055850217270195|0.00411900042237738|297, 514
Florida Keys National Marine Sanctuary|2002|355|0.000002|0.04026976|0.00585404|0.00734616287323944|0.00611169087321964|297, 514
Florida Keys National Marine Sanctuary|2003|346|0.000002|0.03144611|0.00405679|0.00494941667630058|0.00399944462831865|297, 514
Florida Keys National Marine Sanctuary|2004|342|0.000002|0.02383431|0.004193115|0.00475801403508772|0.0029887945429929|297, 514
Florida Keys National Marine Sanctuary|2005|336|0.000004|0.03116894|0.00474203|0.00555340339285714|0.0041812287834031|297, 514
Florida Keys National Marine Sanctuary|2006|342|0.000003|0.03811747|0.00814592|0.00947005798245614|0.0057433416592908|297, 514
Florida Keys National Marine Sanctuary|2007|339|0.000003|0.01821378|0.0062127|0.00648810020648968|0.00287744043729186|297, 514
Florida Keys National Marine Sanctuary|2008|346|0.000004|0.04960031|0.005901185|0.00748182124277457|0.00605656199475193|297, 514
Florida Keys National Marine Sanctuary|2009|350|0.000002|0.01958618|0.00512577|0.00522195002857143|0.0024205540824948|297, 514
Florida Keys National Marine Sanctuary|2010|452|0.000003|0.02970827|0.005039605|0.00623280592920354|0.00373738550963468|297, 514
Florida Keys National Marine Sanctuary|2011|364|0.000004|0.05196947|0.00417494|0.00480561634615385|0.00348085189233902|297, 514
Florida Keys National Marine Sanctuary|2012|274|0.000004|0.02700565|0.004531355|0.00482340795620438|0.00230635616725981|297, 514
Florida Keys National Marine Sanctuary|2013|269|0.000007|0.03111399|0.00428208|0.0048585617472119|0.0032449928416827|297, 514
Florida Keys National Marine Sanctuary|2014|269|0.000001|0.02180201|0.00515771|0.00567440252788104|0.00357649573518793|297, 514
Florida Keys National Marine Sanctuary|2015|275|0.000005|0.01330651|0.00529839|0.0054363096|0.00212743042076316|297, 514
Florida Keys National Marine Sanctuary|2016|279|0.000007|0.01504697|0.00504309|0.00542533315412186|0.00262533292652887|297, 514
Florida Keys National Marine Sanctuary|2017|267|0.000004|0.01879659|0.00513823|0.00565874722846442|0.00241459175858039|297, 514
Florida Keys National Marine Sanctuary|2018|268|0.000007|0.009889|0.0057195|0.0058406472761194|0.00178164441686675|297, 514
Florida Keys National Marine Sanctuary|2019|215|0.000008|0.021545|0.005642|0.00573690558139535|0.00193243794137652|297, 514
Florida Keys National Marine Sanctuary|2020|354|0.004061|0.06333504|0.007190755|0.00863833316384181|0.00532705376797451|297, 5002
Florida Keys National Marine Sanctuary|2021|50|0.00508|0.032|0.015|0.0152616|0.00292764679479989|297, 5002
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2007|6|0.031|0.197|0.119|0.123833333333333|0.064993589427471|479
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2008|22|0.061|0.409|0.144|0.164318181818182|0.0937252247205508|479
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2009|15|0.008|0.606|0.198|0.240333333333333|0.161128461025298|479
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2010|36|0.035|0.439|0.1325|0.162972222222222|0.107207538677121|479
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2011|49|0.019|0.494|0.181|0.200918367346939|0.113823847225785|479
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2012|47|0.064|0.442|0.148|0.171787234042553|0.0991075253077078|479
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2013|40|0.013|0.568|0.158|0.190675|0.121869915410044|479
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2014|49|0.015|0.454|0.132|0.154551020408163|0.101643179231829|479
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2015|46|0.015|0.602|0.1325|0.18145652173913|0.143595064372273|479
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2016|2|0.028|0.091|0.0595|0.0595|0.0445477272147525|479
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2020|69|0.043|0.37|0.094|0.125492753623188|0.0791817758274491|476, 479, 5002
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2021|18|0.036|0.54|0.058|0.107444444444444|0.127339852004377|476, 5002
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2022|1|0.16|0.16|0.16|0.16||476
Lemon Bay Aquatic Preserve|2008|2|0.029|0.033|0.031|0.031|0.00282842712474619|479
Lemon Bay Aquatic Preserve|2009|2|0.016|0.018|0.017|0.017|0.00141421356237309|479
Lemon Bay Aquatic Preserve|2011|1|0.041|0.041|0.041|0.041||479
Lemon Bay Aquatic Preserve|2012|6|0.008|0.062|0.0085|0.0235|0.0241640228438892|479
Lemon Bay Aquatic Preserve|2013|7|0.008|0.064|0.044|0.0368571428571429|0.0219121623109828|479
Lemon Bay Aquatic Preserve|2014|8|0.023|0.085|0.0325|0.04075|0.0219333405702695|479
Lemon Bay Aquatic Preserve|2015|7|0.022|0.039|0.026|0.0281428571428571|0.00649175301000101|479
Lemon Bay Aquatic Preserve|2016|2|0.008|0.056|0.032|0.032|0.0339411254969543|479
Lemon Bay Aquatic Preserve|2020|11|0.039|0.21|0.1|0.097|0.0537884746019071|479, 5002
Lemon Bay Aquatic Preserve|2021|39|0.028|0.22|0.11|0.114384615384615|0.0564528752634095|476, 5002
Lemon Bay Aquatic Preserve|2022|1|0.045|0.045|0.045|0.045||476
Nature Coast Aquatic Preserve|1997|12|0.005|0.018|0.008|0.00941666666666667|0.00407784108061948|479
Nature Coast Aquatic Preserve|1998|30|0.007|0.069|0.023|0.0247333333333333|0.0133337356261149|479
Nature Coast Aquatic Preserve|1999|23|0.004|0.034|0.008|0.00952173913043478|0.00617818423764688|479
Nature Coast Aquatic Preserve|2000|40|0.006|0.053|0.01|0.01395|0.00984742579925306|479
Nature Coast Aquatic Preserve|2001|47|0.005|0.023|0.007|0.0078936170212766|0.00325866098502992|479
Nature Coast Aquatic Preserve|2002|33|0.003|0.026|0.009|0.0096969696969697|0.00574175957614937|479
Nature Coast Aquatic Preserve|2003|27|0.004|0.05|0.007|0.0103333333333333|0.00960368519011162|479
Nature Coast Aquatic Preserve|2004|35|0.004|0.086|0.01|0.0144|0.0146913339801955|479
Nature Coast Aquatic Preserve|2007|59|0.004|0.049|0.008|0.0100169491525424|0.00758740227551389|479
Nature Coast Aquatic Preserve|2008|107|0.003|0.02|0.008|0.00903738317757009|0.00407922771465583|479
Nature Coast Aquatic Preserve|2009|98|0.004|0.03|0.011|0.0114897959183673|0.00473470385309134|479
Nature Coast Aquatic Preserve|2015|18|0.005|0.025|0.008|0.00927777777777778|0.00468797655529617|479
