ManagedAreaName|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation|tau|SennSlope|SennIntercept|p|Trend
Apalachicola Bay Aquatic Preserve|2001-03-12|2022-01-06|1523|1|863|9|11.8411030860144|23.5721771190238|-0.0322|0|262.5|0.048|-1
Apalachicola National Estuarine Research Reserve|1999-06-15|2022-01-12|2216|0|914|10|17.5275270758123|55.6593894972735|-0.1242|-0.294117647058824|748.133333333333|0|-1
Big Bend Seagrasses Aquatic Preserve|1998-10-12|2021-12-28|1578|0.00013|24800|4|48.0324027376426|876.163584647371|-0.2597|-0.0588235294117647|119.006535947712|0|-1
Biscayne Bay Aquatic Preserve|2002-07-16|2021-08-17|952|0|26.9|1.38|2.26224789915966|2.99596514320888|0.009|0|14.6541666666667|0.3706|0
Cape Haze Aquatic Preserve|2003-04-08|2021-11-08|296|1.6|177|8.78|13.0466891891892|20.2727428892987|0.1616|0.440833333333334|-625.185|0.0001|1
Florida Keys National Marine Sanctuary|2001-08-20|2020-12-09|580|0.09|50|3|4.71743103448276|5.84463985015025|0.2784|0.15125|-322.122197802198|0|1
Fort Pickens State Park Aquatic Preserve|1997-01-07|2012-09-25|240|1.07|64|12|16.2857083333333|13.0670209106524|-0.4089|-1.67291666666667|3457.97222222222|0|-2
Gasparilla Sound-Charlotte Harbor Aquatic Preserve|2001-06-26|2021-11-08|2550|0.57|212|6.14|8.26735294117647|10.9274030348503|0.1098|0.163636363636364|-244.250666666667|0|1
Guana Tolomato Matanzas National Estuarine Research Reserve|2004-04-22|2021-12-01|991|2|460|13|17.6458752774975|24.4272358122613|-0.0096|0|10.5|0.3799|0
Jensen Beach to Jupiter Inlet Aquatic Preserve|1994-03-18|2021-10-14|281|1|110|6.8|9.46619217081851|10.0858792423621|-0.1641|-0.1|299.92|0.0105|-1
Lemon Bay Aquatic Preserve|2003-06-24|2020-12-16|186|1|277|10.1|13.4876344086022|22.9547711297014|0.1127|0.306|-286.878214285714|0.0276|1
Loxahatchee River-Lake Worth Creek Aquatic Preserve|1994-03-18|2021-12-13|2759|0.5|120|4.1|5.6996375498369|5.78569538427359|0.0028|0|4.35|0.6562|0
Matlacha Pass Aquatic Preserve|2003-05-29|2021-11-02|113|0.05|107.5|3.4|10.0712389380531|20.3196759910167|0.4748|0.646428571428571|-1490.95763888889|0|2
Nassau River-St. Johns River Marshes Aquatic Preserve|1983-10-26|2021-10-12|380|2|287|24.35|35.7676889473684|31.8289689163045|-0.2916|-0.8125|2045.92647152605|0|-1
North Fork St. Lucie Aquatic Preserve|2002-05-28|2021-12-08|197|2|27|8|9.27766497461929|4.75977068447819|-0.0953|-0.08125|341.481370192308|0.1411|0
Pellicer Creek Aquatic Preserve|2009-01-15|2021-12-01|725|2|460|13|18.4179310344828|26.868216525281|-0.0358|-0.333333333333333|268.625|0.0326|-1
Pinellas County Aquatic Preserve|1999-08-16|2021-12-16|1170|1|930|9|12.4296581196581|28.8474786391309|0.0296|0.111111111111111|-311.857683982684|0.0102|1
St. Andrews State Park Aquatic Preserve|2003-06-01|2015-06-15|248|2|40|5|7.25604838709677|5.91402331504777|-0.2138|-0.285714285714286|423.458333333333|0|-1
St. Martins Marsh Aquatic Preserve|2005-12-15|2021-02-02|122|1.19|20.5|4.675|5.11040983606557|2.80711062813352|-0.1278|-0.09|172.89|0.034|-1
