AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|ActivityType|EarliestSampleDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebnut|Chlorophyll a corrected for pheophytin|Surface|Lab|2014-05-06|2014-05-06|3|0.79|0.92|0.85|0.853333333333333|0.0650640709864771
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaesnut|Chlorophyll a corrected for pheophytin|Surface|Lab|2014-04-01|2014-05-07|7|0.79|0.92|0.79|0.835714285714286|0.061605503773917
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_11251|Chlorophyll a corrected for pheophytin|Surface|Lab|2001-09-10|2001-09-10|1|6.7|6.7|6.7|6.7|
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A1|Chlorophyll a corrected for pheophytin|Surface|Lab|2000-08-15|2003-02-18|27|0.85|26|3.1|8.19481481481482|8.22929073042908
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A10|Chlorophyll a corrected for pheophytin|Surface|Lab|2000-08-15|2003-02-18|28|0.85|88|3|10.9732142857143|18.3188906856387
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A2|Chlorophyll a corrected for pheophytin|Surface|Lab|2000-08-15|2003-02-18|36|0.85|17|0.925|2.80555555555556|3.71765628507643
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A3|Chlorophyll a corrected for pheophytin|Surface|Lab|2000-08-15|2003-02-18|26|0.85|9.7|1|2.57153846153846|2.78835821559238
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A4|Chlorophyll a corrected for pheophytin|Surface|Lab|2000-08-16|2003-02-18|32|0.85|11|0.85|2.2015625|2.50459205277156
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A5|Chlorophyll a corrected for pheophytin|Surface|Lab|2000-08-16|2003-02-18|27|0.85|90|1|6.64444444444445|17.1378760315214
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A6|Chlorophyll a corrected for pheophytin|Surface|Lab|2000-08-16|2003-02-19|27|0.85|10|1|2.42666666666667|2.58399660633261
