AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|ActivityType|EarliestSampleDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation
1|Alligator Harbor Aquatic Preserve|103|EPA STOrage and RETrieval Data Warehouse (STORET)|21FLKWAT_WQX-FRA-AL-HARBOR-1|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2020-12-08|2021-08-02|17|1|20|3|5.94117647058824|5.59542880657164
1|Alligator Harbor Aquatic Preserve|103|EPA STOrage and RETrieval Data Warehouse (STORET)|21FLKWAT_WQX-FRA-AL-HARBOR-2|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2020-12-08|2021-08-02|18|0|9|3.5|3.83333333333333|2.20293921306753
1|Alligator Harbor Aquatic Preserve|103|EPA STOrage and RETrieval Data Warehouse (STORET)|21FLKWAT_WQX-FRA-AL-HARBOR-3|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2020-12-08|2021-08-02|18|0|21|6|7.11111111111111|6.23923910225946
1|Alligator Harbor Aquatic Preserve|103|EPA STOrage and RETrieval Data Warehouse (STORET)|21FLKWAT_WQX-FRA-AL-HARBOR-4|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2020-12-08|2021-08-02|16|0|30|7.5|8.625|8.55472578948813
1|Alligator Harbor Aquatic Preserve|103|EPA STOrage and RETrieval Data Warehouse (STORET)|21FLKWAT_WQX-FRA-AL-HARBOR-5|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2020-12-08|2021-08-02|17|0|23|5|7.41176470588235|6.49094391758059
1|Alligator Harbor Aquatic Preserve|103|EPA STOrage and RETrieval Data Warehouse (STORET)|21FLKWAT_WQX-FRA-AL-HARBOR-6|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2020-12-08|2021-08-02|18|0|25|4|6.77777777777778|7.60460816607122
1|Alligator Harbor Aquatic Preserve|103|EPA STOrage and RETrieval Data Warehouse (STORET)|21FLKWAT_WQX-FRA-AL-HARBOR-7|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2020-12-08|2021-08-02|18|0|7|3|3.22222222222222|1.55508863207046
1|Alligator Harbor Aquatic Preserve|103|EPA STOrage and RETrieval Data Warehouse (STORET)|21FLTLHR_WQX-G2TLHR0025|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2021-01-20|2021-08-19|9|0.63|16.7|5.2|6.50555555555556|6.20986133321653
1|Alligator Harbor Aquatic Preserve|514|Florida LAKEWATCH Program|Franklin-Alligator Harbor-1-1|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2017-02-01|2019-10-15|33|1|24|9|9.72727272727273|6.98334056555639
1|Alligator Harbor Aquatic Preserve|514|Florida LAKEWATCH Program|Franklin-Alligator Harbor-2-1|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2017-02-01|2019-10-15|33|1|28|7|7.45454545454545|5.17258946932596
1|Alligator Harbor Aquatic Preserve|514|Florida LAKEWATCH Program|Franklin-Alligator Harbor-3-1|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2017-02-01|2019-10-15|33|0|25|12|11.4545454545455|7.46278646473164
1|Alligator Harbor Aquatic Preserve|514|Florida LAKEWATCH Program|Franklin-Alligator Harbor-4-1|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2017-02-01|2019-10-15|33|1|39|16|14.4242424242424|10.5268415937257
1|Alligator Harbor Aquatic Preserve|514|Florida LAKEWATCH Program|Franklin-Alligator Harbor-5-1|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2017-02-01|2019-10-15|33|1|26|11|10.4545454545455|6.67594051937117
1|Alligator Harbor Aquatic Preserve|514|Florida LAKEWATCH Program|Franklin-Alligator Harbor-6-1|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2017-02-01|2019-10-15|33|1|47|14|15.3636363636364|11.9237635150835
1|Alligator Harbor Aquatic Preserve|514|Florida LAKEWATCH Program|Franklin-Alligator Harbor-7-1|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2017-02-01|2019-10-15|33|1|13|5|6|3.20156211871642
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-AL-HARBOR-1|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2001-06-16|2017-01-05|67|0|19|3|4.21940298507463|3.82777880072291
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-AL-HARBOR-2|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2001-06-16|2017-01-05|67|0.3|22|3|4.4134328358209|4.37343549593307
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-AL-HARBOR-3|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2001-06-16|2017-01-05|67|0|22|4|5.51641791044776|4.65873558782317
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-AL-HARBOR-4|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2001-06-16|2017-01-05|66|0|37|6|8.14242424242424|7.42784906449651
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-AL-HARBOR-5|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2001-06-16|2017-01-05|66|0|32|7|8.26666666666667|7.06593852078315
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-AL-HARBOR-6|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2001-06-16|2017-01-05|66|0.5|24|8|9.33333333333333|6.6329789880875
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-AL-HARBOR-7|Chlorophyll a uncorrected for pheophytin|Surface|Lab|2006-07-03|2017-01-05|48|0.2|9|2|2.72291666666667|2.01697472882969
