AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|ActivityType|EarliestSampleDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation
2|Apalachicola Bay Aquatic Preserve|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|1|Dissolved Oxygen Saturation|All|Field|2000-07-25|2012-11-14|274|1.7|134.8|91.2|91.1062043795621|14.9286409407899
2|Apalachicola Bay Aquatic Preserve|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|10|Dissolved Oxygen Saturation|All|Field|2000-07-26|2020-12-01|329|6.36|158|89|89.9561398176292|17.8176658360809
2|Apalachicola Bay Aquatic Preserve|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|13|Dissolved Oxygen Saturation|All|Field|2014-03-20|2020-12-02|51|6.6|165.4|105.3|102.201960784314|23.1375754148621
2|Apalachicola Bay Aquatic Preserve|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|2|Dissolved Oxygen Saturation|All|Field|2000-07-25|2012-11-15|267|10.36|127.1|89.8|89.462808988764|10.9170399320013
2|Apalachicola Bay Aquatic Preserve|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|3|Dissolved Oxygen Saturation|All|Field|2000-07-25|2020-12-02|324|6.66|147.2|99.4|99.8054320987654|12.5282788530645
2|Apalachicola Bay Aquatic Preserve|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|4|Dissolved Oxygen Saturation|All|Field|2000-07-25|2020-12-01|316|6.37|127.1|91.95|90.7190189873418|15.4383157231575
2|Apalachicola Bay Aquatic Preserve|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|5|Dissolved Oxygen Saturation|All|Field|2000-07-25|2020-12-01|330|6.04|144|89.65|88.1386060606061|17.214280824723
2|Apalachicola Bay Aquatic Preserve|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|6|Dissolved Oxygen Saturation|All|Field|2000-07-26|2020-12-02|327|9.58|178.3|99.2|100.44626911315|14.7653679583599
2|Apalachicola Bay Aquatic Preserve|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|7|Dissolved Oxygen Saturation|All|Field|2000-07-26|2020-12-01|326|6.4|150|87.5|87.4496932515338|16.9913367038188
2|Apalachicola Bay Aquatic Preserve|129|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring|8|Dissolved Oxygen Saturation|All|Field|2000-07-26|2020-12-01|325|9.4|132.5|84.1|83.9840307692308|17.9772769140925
