AreaID|ManagedAreaName|Month|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
1|Alligator Harbor Aquatic Preserve|1|Salinity|All|All|373|24.1|36.7|31.53|31.8566487935657|2.57626924089686|Central Panhandle Aquatic Preserve WQ Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 5002
1|Alligator Harbor Aquatic Preserve|2|Salinity|All|All|704|23.9|36.6|30.9|30.93984375|1.83229123127453|Central Panhandle Aquatic Preserve WQ Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 5002
1|Alligator Harbor Aquatic Preserve|3|Salinity|All|All|523|3.1|34.5|30.9|30.5849713193117|2.20919112577666|Central Panhandle Aquatic Preserve WQ Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 557, 5002
1|Alligator Harbor Aquatic Preserve|4|Salinity|All|All|924|0.3|36.4|31.3|30.774816017316|2.87551498401912|Central Panhandle Aquatic Preserve WQ Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 5002
1|Alligator Harbor Aquatic Preserve|5|Salinity|All|All|806|23.9|38|31.9|31.4835483870968|2.47904175326394|Central Panhandle Aquatic Preserve WQ Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 5002
1|Alligator Harbor Aquatic Preserve|6|Salinity|All|All|1135|22.5|40|32.1|31.5150396475771|2.98788620893515|Central Panhandle Aquatic Preserve WQ Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Franklin County Coastal Waters Seagrass Monitoring, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 557, 558, 5002
1|Alligator Harbor Aquatic Preserve|7|Salinity|All|All|1095|21.5|37.5|31.1|30.4028401826484|3.23663208662916|Central Panhandle Aquatic Preserve WQ Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Franklin County Coastal Waters Seagrass Monitoring, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 557, 558, 5002
1|Alligator Harbor Aquatic Preserve|8|Salinity|All|All|721|3.19|35.3|30.5|30.284507628294|2.59107025565371|Central Panhandle Aquatic Preserve WQ Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Franklin County Coastal Waters Seagrass Monitoring, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 557, 558, 5002
1|Alligator Harbor Aquatic Preserve|9|Salinity|All|All|987|18.4|36.2|30.3|29.9964539007092|2.96907935899542|Central Panhandle Aquatic Preserve WQ Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Franklin County Coastal Waters Seagrass Monitoring, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 557, 558, 5002
1|Alligator Harbor Aquatic Preserve|10|Salinity|All|All|720|19.5|37.7|31.3|31.2446805555556|2.61893711427416|Central Panhandle Aquatic Preserve WQ Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 557, 5002
1|Alligator Harbor Aquatic Preserve|11|Salinity|All|All|396|29|36.7|31.4|31.732196969697|1.40085632819499|Central Panhandle Aquatic Preserve WQ Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 5002
1|Alligator Harbor Aquatic Preserve|12|Salinity|All|All|460|26.5|36|31.2|31.4858043478261|1.44745016763294|Central Panhandle Aquatic Preserve WQ Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 5002
