AreaID|ManagedAreaName|Year|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|1995|Salinity|All|Lab|8|8|34.3|21.75|21.6375|9.85972145361405|Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|1996|Salinity|All|Lab|7|0.5|32.2|17.3|15|12.9254271367203|Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|1997|Salinity|All|Lab|1|19|19|19|19||Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|1998|Salinity|All|Lab|6|3.6|21.3|8.05|9.46666666666667|6.55581167107984|Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|1999|Salinity|All|Lab|4|24|32.4|27.5|27.85|3.45301800362137|Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|2000|Salinity|All|Lab|2|19.7|27.3|23.5|23.5|5.37401153701776|Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|2001|Salinity|All|Lab|8|13|37.6|20.45|23.825|8.2199669794262|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
2|Apalachicola Bay Aquatic Preserve|2002|Salinity|All|Lab|8|0.1|33.9|16.6|18.275|11.9291659389917|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
2|Apalachicola Bay Aquatic Preserve|2003|Salinity|All|Lab|1|1.3|1.3|1.3|1.3||Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|2004|Salinity|All|Lab|4|9.6|31.6|15.7|18.15|9.53047742770529|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program, Florida STORET / WIN|355, 5002
2|Apalachicola Bay Aquatic Preserve|2005|Salinity|All|Lab|3|0.1|9.7|0.5|3.43333333333333|5.43077649451101|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
2|Apalachicola Bay Aquatic Preserve|2006|Salinity|All|Lab|5|15.4|33.5|24.5|23.86|6.7195982022737|Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|2007|Salinity|All|Lab|2|16.8|27.4|22.1|22.1|7.4953318805774|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring, Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|129, 355
2|Apalachicola Bay Aquatic Preserve|2008|Salinity|All|Lab|3|21.9|33.3|22.5|25.9|6.41560597293818|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring, Florida STORET / WIN|129, 5002
2|Apalachicola Bay Aquatic Preserve|2009|Salinity|All|Lab|10|3.1|33.5|23.55|18.12|10.6324242035598|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring, Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 129, 355, 5002
2|Apalachicola Bay Aquatic Preserve|2010|Salinity|All|Lab|3|6|19.7|19.3|15|7.79679421300832|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring, Florida STORET / WIN|129, 5002
2|Apalachicola Bay Aquatic Preserve|2011|Salinity|All|Lab|2|19.3|27.6|23.45|23.45|5.86898628384835|Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|2012|Salinity|All|Lab|1|22.2|22.2|22.2|22.2||Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|2013|Salinity|All|Lab|3|7.9|32.4|22.8|21.0333333333333|12.3451744958641|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
2|Apalachicola Bay Aquatic Preserve|2014|Salinity|All|Lab|2|0.1|19.1|9.6|9.6|13.4350288425444|Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|2015|Salinity|All|Lab|3|16.3|31.3|31.1|26.2333333333333|8.60310021639486|Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|2016|Salinity|All|Lab|1|22.1|22.1|22.1|22.1||Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|2017|Salinity|All|Lab|4|18.3|31.2|25.95|25.35|6.13106842238773|Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|2021|Salinity|All|Lab|1|22.03|22.03|22.03|22.03||NRDA Oyster Cultch Recovery Project|4044
3|Apalachicola National Estuarine Research Reserve|1995|Salinity|All|Lab|6|8|23.2|16.1|16.1333333333333|5.39505946831605|Florida STORET / WIN|5002
3|Apalachicola National Estuarine Research Reserve|1996|Salinity|All|Lab|10|0.5|32.2|9.75|11.7|9.91228194379747|Florida STORET / WIN|5002
3|Apalachicola National Estuarine Research Reserve|1997|Salinity|All|Lab|3|7.4|19|13.9|13.4333333333333|5.8140634098136|Florida STORET / WIN|5002
3|Apalachicola National Estuarine Research Reserve|1998|Salinity|All|Lab|10|0.1|28.2|8.05|10.58|9.57506019708376|Florida STORET / WIN|5002
3|Apalachicola National Estuarine Research Reserve|1999|Salinity|All|Lab|7|13.5|32.4|27.5|23.9142857142857|7.74778001998606|Florida STORET / WIN|5002
3|Apalachicola National Estuarine Research Reserve|2000|Salinity|All|Lab|4|19.7|27.3|23.4|23.45|3.12996272608264|Florida STORET / WIN|5002
3|Apalachicola National Estuarine Research Reserve|2001|Salinity|All|Lab|9|18.5|33.4|23.4|24.3222222222222|4.51491355891167|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
3|Apalachicola National Estuarine Research Reserve|2002|Salinity|All|Lab|19|0.1|36.4|17.7|17.3631578947368|11.7638906322278|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
3|Apalachicola National Estuarine Research Reserve|2003|Salinity|All|Lab|4|1.3|19.4|11.15|10.75|9.63414068127857|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
3|Apalachicola National Estuarine Research Reserve|2005|Salinity|All|Lab|2|0.1|2.4|1.25|1.25|1.62634559672906|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program, Florida STORET / WIN|355, 5002
3|Apalachicola National Estuarine Research Reserve|2006|Salinity|All|Lab|1|24.5|24.5|24.5|24.5||Florida STORET / WIN|5002
3|Apalachicola National Estuarine Research Reserve|2007|Salinity|All|Lab|5|0.1|27.6|25.5|19.18|11.8058036575237|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring, Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program, Florida STORET / WIN|129, 355, 5002
3|Apalachicola National Estuarine Research Reserve|2008|Salinity|All|Lab|3|0.1|33.3|21.9|18.4333333333333|16.8693015069781|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 129, 5002
3|Apalachicola National Estuarine Research Reserve|2009|Salinity|All|Lab|12|3.1|25.7|20.75|17.0416666666667|8.84785113442635|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring, Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 129, 355, 5002
3|Apalachicola National Estuarine Research Reserve|2010|Salinity|All|Lab|7|0|19.7|8.3|10.1285714285714|7.92269194270783|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 129, 5002
3|Apalachicola National Estuarine Research Reserve|2011|Salinity|All|Lab|7|1.2|31.7|29.1|24.8714285714286|10.8042760494344|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
3|Apalachicola National Estuarine Research Reserve|2012|Salinity|All|Lab|3|14.4|24.2|22.2|20.2666666666667|5.1781592611017|Florida STORET / WIN|5002
3|Apalachicola National Estuarine Research Reserve|2013|Salinity|All|Lab|4|1.4|32.4|15.35|16.125|14.0701516220212|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
3|Apalachicola National Estuarine Research Reserve|2014|Salinity|All|Lab|9|0.1|32|18.1|17.5444444444444|11.4160097134585|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN|69, 5002
3|Apalachicola National Estuarine Research Reserve|2015|Salinity|All|Lab|4|16.3|31.3|30.15|26.975|7.17931055185663|Florida STORET / WIN|5002
3|Apalachicola National Estuarine Research Reserve|2016|Salinity|All|Lab|1|28.3|28.3|28.3|28.3||Florida STORET / WIN|5002
3|Apalachicola National Estuarine Research Reserve|2017|Salinity|All|Lab|11|0.1|31.4|22.2|19.06|12.5546644718208|Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network, NRDA Oyster Cultch Recovery Project|69, 95, 4044, 5002
3|Apalachicola National Estuarine Research Reserve|2021|Salinity|All|Lab|1|22.03|22.03|22.03|22.03||NRDA Oyster Cultch Recovery Project|4044
5|Big Bend Seagrasses Aquatic Preserve|1995|Salinity|All|Lab|6|17.9|31.4|23|23.5833333333333|5.02132120727868|Florida STORET / WIN|5002
