AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|ActivityType|EarliestSampleDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS005|Salinity|Bottom|Lab|1998-11-24|2016-12-21|30|25.3|35|31.5|31.55|2.21028161725745
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS006|Salinity|Bottom|Lab|1999-01-13|2017-07-12|73|23.5|39.4|32|31.5698630136986|2.79437355986726
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_16SEAS354|Salinity|Bottom|Lab|2001-06-19|2013-06-17|6|18.2|33.5|27.35|26.4|6.54644941934176
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_16SEAS355|Salinity|Bottom|Lab|1995-10-09|2017-10-10|36|12.7|34.4|23.7|23.2027777777778|4.95836874737253
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_16SEAS403|Salinity|Bottom|Lab|2003-03-17|2015-03-10|8|1.8|27.2|12.45|13.3875|7.45528336148265
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_16SEAS410|Salinity|Bottom|Lab|1995-11-20|2013-12-04|10|0.1|25.4|8.5|10.62|9.64431899559989
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLHILL_025|Salinity|Bottom|Lab|1999-06-22|2013-04-22|9|30.7|34.63|32.41|32.65|1.28495136094718
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLHILL_028|Salinity|Bottom|Lab|2000-05-23|2013-10-14|10|24.43|34.1|29.15|29.095|2.90031894797796
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLHILL_032|Salinity|Bottom|Lab|1999-06-01|2015-11-09|18|18.7|29.92|25.255|24.9155555555556|3.23236795776395
35|Pinellas County Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLHILL_033|Salinity|Bottom|Lab|2000-11-01|2014-03-04|11|25.38|31.42|26.62|27.2090909090909|1.80458557317438
