AreaID|ManagedAreaName|ParameterName|RelativeDepth|ActivityType|SufficientData|N_Data|N_Years|EarliestYear|LatestYear|LastSampleDate|Median|Independent|tau|p|SennSlope|SennIntercept|ChiSquared|pChiSquared|Trend
1|Alligator Harbor Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|FALSE|19|4|2019|2022|2022-12-07T14:30:00Z|12||||||||
2|Apalachicola Bay Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|TRUE|1330|14|1992|2022|2022-09-01T11:40:00Z|9|TRUE|-0.2061|0.0064|-0.366666666666667|16.6374613491728|10.5961|0.4777|-1
3|Apalachicola National Estuarine Research Reserve|Total Suspended Solids, TSS|All|Lab|TRUE|2054|27|1992|2023|2023-03-01T12:20:00Z|10|TRUE|-0.2686|0|-0.261904761904762|15.9444444444444|10.5107|0.4851|-1
4|Banana River Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|TRUE|2357|24|1997|2022|2022-11-30T10:18:00Z|10|TRUE|-0.263|0|-0.335406698564593|14.5965414650709|4.1936|0.9639|-1
5|Big Bend Seagrasses Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|TRUE|2671|33|1990|2022|2022-10-27T10:02:00Z|4|TRUE|-0.3627|0|-0.0833333333333333|5.37588016790294|8.8194|0.6386|-1
7|Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|FALSE|0|0|Inf|-Inf||||||||||
6|Biscayne Bay Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|TRUE|1291|26|1994|2022|2022-11-02T11:30:00Z|9|TRUE|-0.0122|0.0146|0.313124999999999|37.5407520933014|37.6712|0.0001|1
8|Boca Ciega Bay Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|TRUE|2544|19|2002|2022|2022-12-19T13:04:00Z|12|TRUE|-0.2372|0|-0.266064425770308|16.1260854341737|4.132|0.9659|-1
9|Cape Haze Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|TRUE|333|17|2003|2023|2023-04-10T10:20:00Z|8.97|TRUE|0.2042|0.0031|0.373333333333333|5.67814393939394|5.1771|0.9223|1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|FALSE|45|8|1989|2017|2017-05-23T00:00:00Z|13||||||||
11|Cockroach Bay Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|TRUE|154|11|2000|2020|2020-06-02T13:20:00Z|7|TRUE|-0.0899|0.162|-0.333333333333333|5.41428571428571|14.4141|0.2109|0
13|Coupon Bight Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|FALSE|0|0|Inf|-Inf||||||||||
14|Estero Bay Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|TRUE|5023|32|1992|2023|2023-02-14T10:40:00Z|14.5|TRUE|0.0442|0.2355|0.0672683066361556|16.5383806818182|12.2094|0.3481|0
15|Florida Keys National Marine Sanctuary|Total Suspended Solids, TSS|All|Lab|TRUE|488|14|2007|2022|2022-12-13T10:45:00Z|16|TRUE|-0.519|0|-5.025|58.5143973214286|9.0816|0.6144|-2
16|Fort Clinch State Park Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|FALSE|22|2|2013|2014|2014-09-17T00:00:00Z|17.5||||||||
17|Fort Pickens State Park Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|TRUE|244|13|1997|2012|2012-07-23T00:00:00Z|11.3|TRUE|-0.5931|0|-1.6075|21.5503525641026|7.3303|0.7717|-2
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|TRUE|4976|28|1996|2023|2023-04-10T09:10:00Z|7.17|TRUE|-0.0112|0.7886|-0.0128623394268775|9.65226858108108|4.2073|0.9635|0
19|Guana River Marsh Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|TRUE|1689|27|1997|2023|2023-03-22T11:50:00Z|23.5|TRUE|-0.3654|0|-0.775714285714286|33.3879683123249|5.6971|0.8928|-1
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Total Suspended Solids, TSS|All|Lab|TRUE|4520|27|1997|2023|2023-03-22T11:50:00Z|19.7|TRUE|-0.366|0|-0.75311986863711|34.991691925707|5.8077|0.8859|-1
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Total Suspended Solids, TSS|All|Lab|TRUE|3168|25|1997|2023|2023-03-22T10:00:00Z|9.2|TRUE|-0.3966|0|-0.44423214189257|15.466568689976|4.7198|0.944|-1
