AreaID|ManagedAreaName|Month|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|1|Total Suspended Solids, TSS|Bottom|Lab|2|12|17|14.5|14.5|3.53553390593274|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program, Florida STORET / WIN|355, 5002
2|Apalachicola Bay Aquatic Preserve|3|Total Suspended Solids, TSS|Bottom|Lab|1|28|28|28|28||Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|4|Total Suspended Solids, TSS|Bottom|Lab|3|15|29|16|20|7.81024967590665|Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|5|Total Suspended Solids, TSS|Bottom|Lab|2|9|11|10|10|1.4142135623731|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program, Florida STORET / WIN|355, 5002
2|Apalachicola Bay Aquatic Preserve|6|Total Suspended Solids, TSS|Bottom|Lab|2|8|36|22|22|19.7989898732233|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|355
2|Apalachicola Bay Aquatic Preserve|7|Total Suspended Solids, TSS|Bottom|Lab|4|8|38|11.5|17.25|13.9851111305321|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program, Florida STORET / WIN|355, 5002
2|Apalachicola Bay Aquatic Preserve|8|Total Suspended Solids, TSS|Bottom|Lab|1|5|5|5|5||Florida STORET / WIN|5002
2|Apalachicola Bay Aquatic Preserve|9|Total Suspended Solids, TSS|Bottom|Lab|4|5|10|6|6.75|2.3629078131263|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program, Florida STORET / WIN|355, 5002
2|Apalachicola Bay Aquatic Preserve|10|Total Suspended Solids, TSS|Bottom|Lab|1|22|22|22|22||Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|355
2|Apalachicola Bay Aquatic Preserve|11|Total Suspended Solids, TSS|Bottom|Lab|1|4|4|4|4||Florida STORET / WIN|5002
5|Big Bend Seagrasses Aquatic Preserve|1|Total Suspended Solids, TSS|Bottom|Lab|18|0|14|3.5|3.55555555555556|2.89466491451433|Florida STORET / WIN|5002
5|Big Bend Seagrasses Aquatic Preserve|2|Total Suspended Solids, TSS|Bottom|Lab|14|2|4|4|3.71428571428571|0.611249845502127|Florida STORET / WIN|5002
