AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|ActivityType|EarliestSampleDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbnut|Total Suspended Solids, TSS|Bottom|Lab|2019-10-02|2019-10-02|1|22|22|22|22|
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebnut|Total Suspended Solids, TSS|Bottom|Lab|2017-09-05|2019-06-04|2|8|10|9|9|1.4142135623731
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaegnut|Total Suspended Solids, TSS|Bottom|Lab|2015-01-06|2015-01-06|1|12|12|12|12|
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaesnut|Total Suspended Solids, TSS|Bottom|Lab|2013-07-09|2019-07-09|6|5|38|10.5|18|14.8727939540626
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apanhnut|Total Suspended Solids, TSS|Bottom|Lab|2013-09-04|2013-09-04|1|7|7|7|7|
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_10029|Total Suspended Solids, TSS|Bottom|Lab|2001-03-12|2001-03-12|1|28|28|28|28|
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_10039|Total Suspended Solids, TSS|Bottom|Lab|2001-04-23|2001-04-23|1|15|15|15|15|
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_10052|Total Suspended Solids, TSS|Bottom|Lab|2001-04-23|2001-04-23|1|29|29|29|29|
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_G2TLHR0027|Total Suspended Solids, TSS|Bottom|Lab|2020-08-05|2021-11-22|2|4|5|4.5|4.5|0.707106781186548
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_G2TLHR0035|Total Suspended Solids, TSS|Bottom|Lab|2018-07-05|2018-07-05|1|13|13|13|13|
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_G2TLHR0051|Total Suspended Solids, TSS|Bottom|Lab|2022-01-06|2022-09-01|4|5|17|12.5|11.75|5.7373048260195
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_10456|Total Suspended Solids, TSS|Bottom|Lab|2001-08-23|2001-08-23|1|4|4|4|4|
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_10462|Total Suspended Solids, TSS|Bottom|Lab|2001-08-23|2001-08-23|1|4|4|4|4|
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_13405|Total Suspended Solids, TSS|Bottom|Lab|2002-03-13|2002-03-13|1|9|9|9|9|
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_13407|Total Suspended Solids, TSS|Bottom|Lab|2002-03-13|2002-03-13|1|20|20|20|20|
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_14057|Total Suspended Solids, TSS|Bottom|Lab|2002-08-20|2002-08-20|1|4|4|4|4|
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_14060|Total Suspended Solids, TSS|Bottom|Lab|2002-08-05|2002-08-05|1|4|4|4|4|
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_14067|Total Suspended Solids, TSS|Bottom|Lab|2002-08-26|2002-08-26|1|4|4|4|4|
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_14070|Total Suspended Solids, TSS|Bottom|Lab|2002-08-14|2002-08-14|1|4|4|4|4|
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_14077|Total Suspended Solids, TSS|Bottom|Lab|2002-08-21|2002-08-21|1|4|4|4|4|
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_14079|Total Suspended Solids, TSS|Bottom|Lab|2002-08-26|2002-08-26|1|4|4|4|4|
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3525|Total Suspended Solids, TSS|Bottom|Lab|1998-11-02|1999-09-20|7|4|4|4|4|0
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3526|Total Suspended Solids, TSS|Bottom|Lab|1999-01-05|2011-07-14|6|3|4|4|3.83333333333333|0.408248290463863
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3528|Total Suspended Solids, TSS|Bottom|Lab|1999-10-11|2001-12-10|5|4|6|4|4.6|0.894427190999916
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_3564|Total Suspended Solids, TSS|Bottom|Lab|1998-10-22|2011-02-16|9|4|5|4|4.11111111111111|0.333333333333333
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_44061|Total Suspended Solids, TSS|Bottom|Lab|2015-10-12|2016-05-17|2|2|3|2.5|2.5|0.707106781186548
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_6976|Total Suspended Solids, TSS|Bottom|Lab|1999-11-01|2003-05-05|18|4|4|4|4|0
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_6977|Total Suspended Solids, TSS|Bottom|Lab|1999-12-16|2000-08-22|6|4|4|4|4|0
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_9683|Total Suspended Solids, TSS|Bottom|Lab|2001-10-22|2001-10-22|1|4|4|4|4|
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_9693|Total Suspended Solids, TSS|Bottom|Lab|2001-10-03|2002-04-09|3|4|4|4|4|0
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_9695|Total Suspended Solids, TSS|Bottom|Lab|2001-09-27|2004-11-01|2|4|4|4|4|0
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGW_9717|Total Suspended Solids, TSS|Bottom|Lab|2001-09-25|2001-09-25|1|4|4|4|4|
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGWMS_43663|Total Suspended Solids, TSS|Bottom|Lab|2014-09-03|2014-09-03|1|2|2|2|2|
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGWMS_44324|Total Suspended Solids, TSS|Bottom|Lab|2014-10-22|2014-10-22|1|2|2|2|2|
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLGWMS_9717|Total Suspended Solids, TSS|Bottom|Lab|2015-12-03|2015-12-03|1|2|2|2|2|
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_S292|Total Suspended Solids, TSS|Bottom|Lab|2000-05-22|2001-03-21|2|4|4|4|4|0
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLPNS_22030021|Total Suspended Solids, TSS|Bottom|Lab|2011-02-24|2012-03-01|2|2|4|3|3|1.4142135623731
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSUW_AUC050C1|Total Suspended Solids, TSS|Bottom|Lab|2000-11-16|2001-07-09|2|1|1|1|1|0
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSUW_ECN010C1|Total Suspended Solids, TSS|Bottom|Lab|1991-12-13|2001-10-18|4|1|4|1|1.75|1.5
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSUW_SRE010C1|Total Suspended Solids, TSS|Bottom|Lab|1995-10-03|1997-09-09|7|4|12|6|7|3
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSUW_SRE020C1|Total Suspended Solids, TSS|Bottom|Lab|1995-11-16|1997-09-09|7|2|66|7|15.8571428571429|22.5715792641142
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSUW_SRE040C1|Total Suspended Solids, TSS|Bottom|Lab|1996-08-22|1997-09-09|6|4|49|16|22.1666666666667|18.9147208984607
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSUW_SRE050C1|Total Suspended Solids, TSS|Bottom|Lab|1996-04-03|1997-07-14|4|0|24|13|12.5|10.1159939369957
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSUW_SRE060C1|Total Suspended Solids, TSS|Bottom|Lab|1996-02-07|1997-10-02|6|2|14|7|6.66666666666667|4.45720390678581
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSUW_SRE070C1|Total Suspended Solids, TSS|Bottom|Lab|1996-04-03|1997-10-02|5|4|39|18|23|15.1327459504216
5|Big Bend Seagrasses Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSUW_SRE080C1|Total Suspended Solids, TSS|Bottom|Lab|1995-12-06|1997-05-07|4|6|30|19.5|18.75|11.1766124861993
