AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|ActivityType|EarliestSampleDate|LastSampleDate|N_Data|Min|Max|Median|Mean|StandardDeviation
1|Alligator Harbor Aquatic Preserve|103|EPA STOrage and RETrieval Data Warehouse (STORET)|21FLTLHR_WQX-G2TLHR0025|Turbidity|Surface|Field|2021-01-20|2021-08-19|3|0.4|5|3.3|2.9|2.3259406699226
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS001|Turbidity|Surface|Field|1999-07-27|2007-07-07|4|2.8|7.1|5.8|5.375|1.83007285829463
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS005|Turbidity|Surface|Field|1999-04-20|2011-06-02|20|1.4|8.6|3.85|4.525|2.38103803104091
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS006|Turbidity|Surface|Field|1999-04-06|2004-05-05|5|2.7|11|4.1|6.04|3.47821793451762
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS007|Turbidity|Surface|Field|1999-04-06|1999-04-20|2|6.7|14|10.35|10.35|5.1618795026618
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS009|Turbidity|Surface|Field|1998-11-17|2004-11-17|6|3.4|14|12|10.0833333333333|4.59931154268404
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS010|Turbidity|Surface|Field|1999-02-02|2010-07-07|19|1.1|12|4.7|4.84736842105263|3.00173439143525
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS011|Turbidity|Surface|Field|1999-02-02|2010-03-24|17|0.4|24|5.6|6.98823529411765|6.11349760294191
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS013|Turbidity|Surface|Field|2008-07-02|2011-09-09|8|2.5|6|4.15|4.2|0.976875485558786
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLSEAS_18SEAS014|Turbidity|Surface|Field|1999-02-02|2010-01-25|21|0.72|15|2.6|4.14857142857143|3.66302373144686
