AreaID|ManagedAreaName|Month|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|Programs|ProgramIDs
1|Alligator Harbor Aquatic Preserve|1|Water Temperature|Surface|Field|264|6.9|19.8|13.9|14.1015151515152|2.99663816319862|Central Panhandle Aquatic Preserve WQ Monitoring, EPA STOrage and RETrieval Data Warehouse (STORET), Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 103, 469, 5002
1|Alligator Harbor Aquatic Preserve|2|Water Temperature|Surface|Field|499|9.9|21.8|15.5|15.5596993987976|2.51958945742267|Central Panhandle Aquatic Preserve WQ Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 5002
1|Alligator Harbor Aquatic Preserve|3|Water Temperature|Surface|Field|366|10.7|29.5|18.1|18.0145628415301|3.04400658832052|Central Panhandle Aquatic Preserve WQ Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring, EPA STOrage and RETrieval Data Warehouse (STORET), Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 103, 469, 557, 5002
1|Alligator Harbor Aquatic Preserve|4|Water Temperature|Surface|Field|608|13.7|27.5|22.1|21.9754934210526|2.79058928427289|Central Panhandle Aquatic Preserve WQ Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 5002
1|Alligator Harbor Aquatic Preserve|5|Water Temperature|Surface|Field|509|20|30|25.4|25.4082514734774|2.00033724706384|Central Panhandle Aquatic Preserve WQ Monitoring, EPA STOrage and RETrieval Data Warehouse (STORET), Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 103, 469, 5002
1|Alligator Harbor Aquatic Preserve|6|Water Temperature|Surface|Field|720|25.6|33.6|28.9|28.9022222222222|1.24884171338748|Central Panhandle Aquatic Preserve WQ Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring, EPA STOrage and RETrieval Data Warehouse (STORET), Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Franklin County Coastal Waters Seagrass Monitoring, Harmful Algal Bloom Marine Observation Network|69, 95, 103, 469, 557, 558, 5002
1|Alligator Harbor Aquatic Preserve|7|Water Temperature|Surface|Field|732|24.59|33.4|29.85|29.7733606557377|1.60328114863518|Central Panhandle Aquatic Preserve WQ Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Franklin County Coastal Waters Seagrass Monitoring, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 557, 558, 5002
1|Alligator Harbor Aquatic Preserve|8|Water Temperature|Surface|Field|483|9.8|34|30.2|30.1086956521739|1.76226200727473|Central Panhandle Aquatic Preserve WQ Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring, EPA STOrage and RETrieval Data Warehouse (STORET), Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Franklin County Coastal Waters Seagrass Monitoring, Harmful Algal Bloom Marine Observation Network|69, 95, 103, 469, 557, 558, 5002
1|Alligator Harbor Aquatic Preserve|9|Water Temperature|Surface|Field|631|23.5|32|28|27.8790808240888|1.60192536282446|Central Panhandle Aquatic Preserve WQ Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Franklin County Coastal Waters Seagrass Monitoring, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 557, 558, 5002
1|Alligator Harbor Aquatic Preserve|10|Water Temperature|Surface|Field|471|15.6|33.5|24.9|24.3590233545648|2.81951374664826|Central Panhandle Aquatic Preserve WQ Monitoring, Central Panhandle Aquatic Preserves Seagrass Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 557, 5002
1|Alligator Harbor Aquatic Preserve|11|Water Temperature|Surface|Field|294|12.2|24.5|18.4|18.778231292517|2.28695714218959|Central Panhandle Aquatic Preserve WQ Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 5002
1|Alligator Harbor Aquatic Preserve|12|Water Temperature|Surface|Field|314|10.7|29.1|16.1|17.1980891719745|3.52378447694326|Central Panhandle Aquatic Preserve WQ Monitoring, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 469, 5002
2|Apalachicola Bay Aquatic Preserve|1|Water Temperature|Surface|Field|2853|1.2|28|13.2|13.2043568173852|3.17254431458986|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring, Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program, EPA STOrage and RETrieval Data Warehouse (STORET), Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network|69, 95, 103, 129, 355, 5002
2|Apalachicola Bay Aquatic Preserve|2|Water Temperature|Surface|Field|2892|7|26.6|14.5|14.5271784232365|2.84443321903969|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring, Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program, Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network, NRDA Oyster Cultch Recovery Project, Oyster Sentinel|69, 95, 129, 355, 456, 4044, 5002
2|Apalachicola Bay Aquatic Preserve|3|Water Temperature|Surface|Field|3455|8.9|29|17.9|17.7155803183792|2.8368162551338|Apalachicola National Estuarine Research Reserve Juvenile Fish and Benthic Macroinvertebrate  Monitoring, Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program, EPA STOrage and RETrieval Data Warehouse (STORET), Fisheries-Independent Monitoring (FIM) Program, Florida STORET / WIN, Harmful Algal Bloom Marine Observation Network, NRDA Oyster Cultch Recovery Project|69, 95, 103, 129, 355, 4044, 5002
