AreaID,ManagedAreaName,ParameterName,RelativeDepth,ActivityType,N_Total,N_AnalysisUse,N_H,perc_H,N_I,perc_I,N_Q,perc_Q,N_S,perc_S,N_U,perc_U
2,Apalachicola Bay Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,5,0,0,0,0,0,0,0,0,0,0,0
3,Apalachicola National Estuarine Research Reserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,9,0,0,0,0,0,0,0,0,0,0,0
4,Banana River Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,18,0,0,0,0,0,0,0,0,0,0,0
5,Big Bend Seagrasses Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,43,43,0,0,0,0,0,0,0,0,0,0
7,Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,25,25,0,0,0,0,0,0,0,0,0,0
6,Biscayne Bay Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,390,390,0,0,0,0,0,0,0,0,0,0
8,Boca Ciega Bay Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,12,0,0,0,0,0,0,0,0,0,0,0
9,Cape Haze Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,1,0,0,0,0,0,0,0,0,0,0,0
10,Cape Romano-Ten Thousand Islands Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,1,0,0,0,0,0,0,0,0,0,0,0
14,Estero Bay Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,1,0,0,0,0,0,0,0,0,0,0,0
15,Florida Keys National Marine Sanctuary,Chlorophyll a uncorrected for pheophytin,Surface,Field,2993,2993,0,0,0,0,0,0,0,0,0,0
16,Fort Clinch State Park Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,16,0,0,0,0,0,0,0,0,0,0,0
17,Fort Pickens State Park Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,6,0,0,0,0,0,0,0,0,0,0,0
18,Gasparilla Sound-Charlotte Harbor Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,61,61,0,0,0,0,0,0,0,0,0,0
19,Guana River Marsh Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,2,0,0,0,0,0,0,0,0,0,0,0
20,Guana Tolomato Matanzas National Estuarine Research Reserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,2,0,0,0,0,0,0,0,0,0,0,0
21,Indian River-Malabar to Vero Beach Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,4,0,0,0,0,0,0,0,0,0,0,0
25,Lemon Bay Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,16,0,0,0,0,0,0,0,0,0,0,0
26,Lignumvitae Key Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,8,0,0,0,0,0,0,0,0,0,0,0
28,Matlacha Pass Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,4,0,0,0,0,0,0,0,0,0,0,0
29,Mosquito Lagoon Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,9,0,0,0,0,0,0,0,0,0,0,0
30,Nassau River-St. Johns River Marshes Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,49,0,0,0,0,0,0,0,0,0,0,0
48,Nature Coast Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,12,0,0,0,0,0,0,0,0,0,0,0
34,Pine Island Sound Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,15,0,0,0,0,0,0,0,0,0,0,0
35,Pinellas County Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,1273,1273,0,0,0,0,0,0,0,0,0,0
39,Rookery Bay National Estuarine Research Reserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,1,0,0,0,0,0,0,0,0,0,0,0
12,Southeast Florida Coral Reef Ecosystem Conservation Area,Chlorophyll a uncorrected for pheophytin,Surface,Field,55,55,0,0,0,0,0,0,0,0,0,0
40,St. Andrews State Park Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,4,0,0,0,0,0,0,0,0,0,0,0
41,St. Joseph Bay Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,2,0,0,0,0,0,0,0,0,0,0,0
43,St. Martins Marsh Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,1,0,0,0,0,0,0,0,0,0,0,0
44,Terra Ceia Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,328,0,0,0,0,0,0,0,0,0,0,0
45,Tomoka Marsh Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,1,0,0,0,0,0,0,0,0,0,0,0
47,Yellow River Marsh Aquatic Preserve,Chlorophyll a uncorrected for pheophytin,Surface,Field,1,0,0,0,0,0,0,0,0,0,0,0
