AreaID|ManagedAreaName|Month|ParameterName|RelativeDepth|ActivityType|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
1|Alligator Harbor Aquatic Preserve|1|Chlorophyll a uncorrected for pheophytin|Surface|Sample|55|0|12|2|2.70909090909091|2.07875253967665|514, 5002
1|Alligator Harbor Aquatic Preserve|2|Chlorophyll a uncorrected for pheophytin|Surface|Sample|54|0|5|1|1.22777777777778|0.912888152992585|514, 5002
1|Alligator Harbor Aquatic Preserve|3|Chlorophyll a uncorrected for pheophytin|Surface|Sample|67|0.5|16|4|4.68507462686567|3.47084190866604|514, 5002
1|Alligator Harbor Aquatic Preserve|4|Chlorophyll a uncorrected for pheophytin|Surface|Sample|55|0.5|14|5|5.73818181818182|3.79997519042052|514, 5002
1|Alligator Harbor Aquatic Preserve|5|Chlorophyll a uncorrected for pheophytin|Surface|Sample|68|0.6|16|5.5|6.47352941176471|4.09421206484934|514, 5002
1|Alligator Harbor Aquatic Preserve|6|Chlorophyll a uncorrected for pheophytin|Surface|Sample|54|1|32|6|9.75925925925926|8.41592198378626|514, 5002
1|Alligator Harbor Aquatic Preserve|7|Chlorophyll a uncorrected for pheophytin|Surface|Sample|72|1|31|11.5|12.3194444444444|7.62838728990325|514, 5002
1|Alligator Harbor Aquatic Preserve|8|Chlorophyll a uncorrected for pheophytin|Surface|Sample|54|2|37|13|14.2962962962963|8.7472467466284|514, 5002
1|Alligator Harbor Aquatic Preserve|9|Chlorophyll a uncorrected for pheophytin|Surface|Sample|55|3.9|47|12|14.4545454545455|8.7250346106035|514, 5002
1|Alligator Harbor Aquatic Preserve|10|Chlorophyll a uncorrected for pheophytin|Surface|Sample|54|2|28|10.15|10.5425925925926|6.28450030591442|514, 5002
1|Alligator Harbor Aquatic Preserve|11|Chlorophyll a uncorrected for pheophytin|Surface|Sample|49|1|26|4|6.15714285714286|5.04161845706978|514, 5002
1|Alligator Harbor Aquatic Preserve|12|Chlorophyll a uncorrected for pheophytin|Surface|Sample|41|0|7.2|2|2.72439024390244|1.85940588465844|514, 5002
2|Apalachicola Bay Aquatic Preserve|1|Chlorophyll a uncorrected for pheophytin|Surface|Sample|193|0.4|33.5|4.6|7.16341968911917|6.75488162330167|355, 5002
2|Apalachicola Bay Aquatic Preserve|2|Chlorophyll a uncorrected for pheophytin|Surface|Sample|224|2.2|40|8.95|11.6704464285714|8.16169280212263|355, 5002
2|Apalachicola Bay Aquatic Preserve|3|Chlorophyll a uncorrected for pheophytin|Surface|Sample|230|1|65.1|11.77|14.6065652173913|12.3358613774505|355, 5002
2|Apalachicola Bay Aquatic Preserve|4|Chlorophyll a uncorrected for pheophytin|Surface|Sample|246|0.8|38.2|9.05|13.0333333333333|10.1006110679294|355, 5002
2|Apalachicola Bay Aquatic Preserve|5|Chlorophyll a uncorrected for pheophytin|Surface|Sample|250|0.8|94.1|12|13.66884|9.53719220710061|355, 5002
2|Apalachicola Bay Aquatic Preserve|6|Chlorophyll a uncorrected for pheophytin|Surface|Sample|236|2.48|39.4|14|14.624279661017|6.53542835124239|355, 5002
2|Apalachicola Bay Aquatic Preserve|7|Chlorophyll a uncorrected for pheophytin|Surface|Sample|257|0.46|52.3|11.6|12.8584883268483|8.02280717581645|103, 355, 5002
