AreaID|ManagedAreaName|Month|ParameterName|RelativeDepth|ActivityType|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
1|Alligator Harbor Aquatic Preserve|1|Colored dissolved organic matter, CDOM|Surface|Field|56|3|26|7|9.5|5.84963091298774|514
1|Alligator Harbor Aquatic Preserve|2|Colored dissolved organic matter, CDOM|Surface|Field|13|0|9|4|3.61538461538462|2.29268625337403|514
1|Alligator Harbor Aquatic Preserve|3|Colored dissolved organic matter, CDOM|Surface|Field|6|15|39|23.5|24.1666666666667|8.32866535926775|514
1|Alligator Harbor Aquatic Preserve|4|Colored dissolved organic matter, CDOM|Surface|Field|56|3|14|6|6.98214285714286|3.25012487272592|514
1|Alligator Harbor Aquatic Preserve|5|Colored dissolved organic matter, CDOM|Surface|Field|13|5|13|7|8.15384615384615|2.26738299389972|514
1|Alligator Harbor Aquatic Preserve|6|Colored dissolved organic matter, CDOM|Surface|Field|6|4|20|9.5|11.1666666666667|5.81090928054007|514
1|Alligator Harbor Aquatic Preserve|7|Colored dissolved organic matter, CDOM|Surface|Field|82|2|21|9|9.98780487804878|4.24116773588673|514
1|Alligator Harbor Aquatic Preserve|9|Colored dissolved organic matter, CDOM|Surface|Field|6|9|24|11.5|13|5.69209978830308|514
1|Alligator Harbor Aquatic Preserve|10|Colored dissolved organic matter, CDOM|Surface|Field|40|3|13|8|7.925|2.48469675186288|514
1|Alligator Harbor Aquatic Preserve|11|Colored dissolved organic matter, CDOM|Surface|Field|6|6|11|8.5|8.66666666666667|2.06559111797729|514
5|Big Bend Seagrasses Aquatic Preserve|1|Colored dissolved organic matter, CDOM|Surface|Field|197|0|440|14.4|21.5240862944162|35.206453688262|514, 5002, 5008
5|Big Bend Seagrasses Aquatic Preserve|2|Colored dissolved organic matter, CDOM|Surface|Field|139|0|220|16.8|27.3876400719425|37.7790411527107|477, 514, 540, 5002
5|Big Bend Seagrasses Aquatic Preserve|3|Colored dissolved organic matter, CDOM|Surface|Field|135|2|550|19.9|35.4727273333333|66.4170261425832|477, 514, 540, 5002, 5008
5|Big Bend Seagrasses Aquatic Preserve|4|Colored dissolved organic matter, CDOM|Surface|Field|186|0|119|8.35|14.7615333333333|19.1358448230134|514, 5002, 5008
5|Big Bend Seagrasses Aquatic Preserve|5|Colored dissolved organic matter, CDOM|Surface|Field|109|1|460|9.9|21.718702293578|46.487086874945|477, 514, 540, 5002, 5008
5|Big Bend Seagrasses Aquatic Preserve|6|Colored dissolved organic matter, CDOM|Surface|Field|89|2|150|8|25.3161457303371|33.3206058174807|477, 514, 540, 5002, 5008
5|Big Bend Seagrasses Aquatic Preserve|7|Colored dissolved organic matter, CDOM|Surface|Field|181|0|750|10|22.874564640884|63.0906298622657|514, 5002, 5008
5|Big Bend Seagrasses Aquatic Preserve|8|Colored dissolved organic matter, CDOM|Surface|Field|101|2|540|19.5|37.1177834653465|67.845987545806|477, 514, 540, 5002
5|Big Bend Seagrasses Aquatic Preserve|9|Colored dissolved organic matter, CDOM|Surface|Field|70|2|477.28891|28.65|53.8435764285714|86.4059347457668|477, 514, 540, 5002, 5008
5|Big Bend Seagrasses Aquatic Preserve|10|Colored dissolved organic matter, CDOM|Surface|Field|136|0|700|10|26.7966985294118|70.0583121205122|514, 5002, 5008
5|Big Bend Seagrasses Aquatic Preserve|11|Colored dissolved organic matter, CDOM|Surface|Field|81|1|260|12.1|19.6394822222222|34.0519944729932|477, 514, 540, 5002, 5008
5|Big Bend Seagrasses Aquatic Preserve|12|Colored dissolved organic matter, CDOM|Surface|Field|94|1|260|17.75|28.5550155319149|45.0870538971083|477, 514, 540, 5002, 5008
11|Cockroach Bay Aquatic Preserve|1|Colored dissolved organic matter, CDOM|Surface|Field|17|22|68|49|45.7058823529412|13.8463203861276|514
11|Cockroach Bay Aquatic Preserve|2|Colored dissolved organic matter, CDOM|Surface|Field|8|28|56|42|42.875|8.69215574115946|514
11|Cockroach Bay Aquatic Preserve|3|Colored dissolved organic matter, CDOM|Surface|Field|5|27|95|32|54.2|33.3421654965601|514
11|Cockroach Bay Aquatic Preserve|4|Colored dissolved organic matter, CDOM|Surface|Field|18|20|65|43.5|44.5555555555556|12.9306849926477|514
11|Cockroach Bay Aquatic Preserve|5|Colored dissolved organic matter, CDOM|Surface|Field|13|9|39|32|27.0769230769231|10.5866388942347|514
11|Cockroach Bay Aquatic Preserve|6|Colored dissolved organic matter, CDOM|Surface|Field|6|30|110|67.5|68.1666666666667|40.1169124767431|514, 5002
