AreaID|ManagedAreaName|ParameterName|RelativeDepth|ActivityType|SufficientData|N_Data|N_Years|EarliestYear|LatestYear|LastSampleDate|Median|Independent|tau|p|SennSlope|SennIntercept|ChiSquared|pChiSquared|Trend
1|Alligator Harbor Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|13291|25|1998|2022|2022-06-07|7.3|TRUE|-0.1836|0|-0.0399999999999999|7.81773062819115|5.1113|0.9257|-1
2|Apalachicola Bay Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|70109|31|1992|2022|2022-05-26|7.5|TRUE|-0.1758|0|-0.0273759050542055|7.84774798112773|12.3992|0.3344|-1
3|Apalachicola National Estuarine Research Reserve|Dissolved Oxygen|All|Field|TRUE|106231|31|1992|2022|2022-06-22|7.55|TRUE|-0.2096|0|-0.0317962889853928|8.12539611698729|19.6272|0.0507|-1
4|Banana River Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|48487|33|1990|2022|2022-04-11|6.4|TRUE|-0.0074|0.8281|-0.00167749622307128|6.6353592867254|8.3762|0.6793|0
5|Big Bend Seagrasses Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|230984|38|1982|2022|2022-07-21|6.7|TRUE|-0.073|0.0409|-0.00919226118500607|6.6894628770043|8.0735|0.7067|-1
7|Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|Dissolved Oxygen|All|Field|FALSE|0|0||||||||||||
6|Biscayne Bay Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|21437|35|1970|2022|2022-03-10|5.95|TRUE|-0.2254|0|-0.0192789099738899|6.31383793461324|8.4575|0.6718|-1
8|Boca Ciega Bay Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|40645|34|1974|2021|2021-12-16|6.43|TRUE|-0.0034|0.838|-0.000914046363223885|6.56923196522753|11.8091|0.3782|0
9|Cape Haze Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|9901|33|1989|2022|2022-01-05|6.9|TRUE|-0.1967|0|-0.0304305555555555|7.69474169625763|10.1201|0.5196|-1
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|17757|32|1989|2022|2022-05-11|5.8|TRUE|-0.135|0.0005|-0.0202092352092352|6.12791275788128|10.2624|0.5069|-1
11|Cockroach Bay Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|27479|32|1989|2022|2022-06-28|5.3|TRUE|-0.1437|0.0002|-0.0239738059851911|6.0982565944376|14.0597|0.2297|-1
13|Coupon Bight Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|157|19|1995|2021|2021-10-28|6.01188|TRUE|-0.2221|0.0522|-0.0360000000000001|6.47223130417957|14.2878|0.2175|0
14|Estero Bay Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|14914|33|1971|2022|2022-07-05|5.9|TRUE|0.0229|0.5223|0.0038720538720539|5.27362556685483|9.8376|0.5451|0
15|Florida Keys National Marine Sanctuary|Dissolved Oxygen|All|Field|TRUE|52229|41|1970|2022|2022-03-09|6.29|TRUE|-0.1122|0.0011|-0.00812499999999997|6.6484514392579|12.2154|0.3477|-1
16|Fort Clinch State Park Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|1429|24|1994|2022|2022-05-17|7.16|TRUE|-0.1261|0.0139|-0.0312132352941177|7.62862286602286|10.4075|0.4941|-1
17|Fort Pickens State Park Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|1486|29|1982|2019|2019-09-27|7.57|TRUE|0.033|0.5383|0.00461185897435899|7.87326403061224|10.7489|0.4645|0
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|68459|35|1971|2022|2022-07-05|6.5|TRUE|-0.0685|0.0488|-0.00641865970141954|6.71930363913186|10.619|0.4757|-1
19|Guana River Marsh Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|14219|29|1986|2022|2022-06-14|5.7|TRUE|-0.1389|0.0005|-0.0269137677372972|6.41177075289575|16.3794|0.1276|-1
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Dissolved Oxygen|All|Field|TRUE|41456|29|1986|2022|2022-06-14|5.95|TRUE|-0.2064|0|-0.0379509349346306|6.54431623232425|22.9636|0.0179|-1
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|81022|32|1991|2022|2022-06-29|6.1|TRUE|-0.2|0|-0.0273236314430213|6.52111122186839|9.4235|0.5829|-1
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|13392|31|1992|2022|2022-06-15|6.2|TRUE|-0.0307|0.428|-0.00591988821611533|6.47702590683808|7.4256|0.7636|0
23|Jensen Beach to Jupiter Inlet Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|13095|33|1972|2022|2022-07-06|6.34|TRUE|0.1284|0.0013|0.0108643939393939|5.82176180284148|12.9427|0.2971|1
25|Lemon Bay Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|19171|35|1971|2022|2022-07-06|6.1|TRUE|-0.0318|0.3457|-0.00518739917489915|6.3592737429147|16.2651|0.1316|0
26|Lignumvitae Key Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|370|10|1997|2022|2022-01-24|6.97|TRUE|0.1425|0.5035|0.0175|5.80210784313725|10.0054|0.5299|0
27|Loxahatchee River-Lake Worth Creek Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|12521|32|1991|2022|2022-06-14|5.76|TRUE|-0.2037|0|-0.0201654411764706|6.10562057376855|9.3744|0.5874|-1
28|Matlacha Pass Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|11426|33|1989|2022|2022-07-05|6.6|TRUE|0.0101|0.811|0.00122486418809952|6.7076756333744|9.31|0.5933|0
29|Mosquito Lagoon Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|8867|31|1991|2022|2022-04-06|5.3|TRUE|-0.0134|0.7604|-0.00317460317460321|5.58269885737996|10.0615|0.5249|0
30|Nassau River-St. Johns River Marshes Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|36789|37|1982|2022|2022-07-19|6.31|TRUE|-0.1026|0.0113|-0.0143155880687526|7.05071915809772|8.9691|0.6247|-1
48|Nature Coast Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|9562|34|1982|2022|2022-07-27|7.19|TRUE|-0.0177|0.6701|-0.00276137422689144|7.36318193818782|14.3779|0.2128|0
31|North Fork St. Lucie Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|9599|30|1989|2022|2022-07-06|6.3|TRUE|-0.1788|0|-0.0294829721362229|6.83371909789205|11.3387|0.4153|-1
33|Pellicer Creek Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|3574|21|2002|2022|2022-03-15|5.5|TRUE|0.0053|0.9035|0.000158730158730148|5.03100187617261|13.0295|0.2914|0
34|Pine Island Sound Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|35937|36|1985|2022|2022-07-05|6.9|TRUE|-0.0588|0.1227|-0.00762933160790306|7.20702507443085|7.9868|0.7145|0
35|Pinellas County Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|132823|36|1974|2022|2022-07-26|6.6|TRUE|0.0089|0.8787|0.000362384326200103|6.83107828645072|16.4662|0.1247|0
37|Rocky Bayou State Park Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|1005|23|1994|2022|2022-04-16|6.54|TRUE|0.1397|0.0035|0.035714285714286|5.72248075765394|16.7531|0.1154|1
38|Rookery Bay Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|5754|32|1989|2022|2022-05-10|5.8|TRUE|-0.1437|0.0003|-0.0216428571428572|6.08056791169261|3.6067|0.98|-1
39|Rookery Bay National Estuarine Research Reserve|Dissolved Oxygen|All|Field|TRUE|23738|33|1989|2022|2022-05-11|5.8|TRUE|-0.1204|0.0017|-0.0163746279761905|6.1320943356743|15.7914|0.1491|-1
12|Southeast Florida Coral Reef Ecosystem Conservation Area|Dissolved Oxygen|All|Field|TRUE|588|17|1970|2018|2018-06-01|6.477|TRUE|-0.0364|0.8353|-0.00592857142857138|6.70090257812499|8.6523|0.654|0
40|St. Andrews State Park Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|1770|24|1983|2022|2022-06-21|7.1|TRUE|0.0732|0.3142|0.0104166666666667|6.4673014414099|12.3937|0.3348|0
41|St. Joseph Bay Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|9344|29|1991|2022|2022-06-01|7.2|TRUE|-0.1354|0.0008|-0.0267153361344539|7.46367154761905|15.3545|0.1668|-1
42|St. Joseph Bay State Buffer Preserve|Dissolved Oxygen|All|Field|FALSE|4|1|2017|2017|2017-09-20|6||||||||
43|St. Martins Marsh Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|15184|29|1991|2022|2022-07-20|7.3|TRUE|-0.1099|0.0082|-0.024780580075662|7.85419257537636|6.4438|0.8422|-1
44|Terra Ceia Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|33029|34|1989|2022|2022-06-22|6.58|TRUE|-0.0205|0.5716|-0.0024618025751073|6.66610145546008|9.2505|0.5988|0
45|Tomoka Marsh Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|999|23|1997|2022|2022-05-03|5.35|TRUE|0.0684|0.7746|0.00280460767302872|4.98709838935574|11.0061|0.4428|0
47|Yellow River Marsh Aquatic Preserve|Dissolved Oxygen|All|Field|TRUE|1616|29|1977|2022|2022-06-01|7.4|TRUE|-0.0026|0.45|-0.00918009803921569|7.8610625245098|14.2139|0.2214|0
