AreaID|ManagedAreaName|ParameterName|RelativeDepth|ActivityType|SufficientData|N_Data|N_Years|EarliestYear|LatestYear|LastSampleDate|Median|Independent|tau|p|SennSlope|SennIntercept|ChiSquared|pChiSquared|Trend
1|Alligator Harbor Aquatic Preserve|Salinity|All|Field|TRUE|15523|26|1996|2022|2022-06-07|31.2|TRUE|-0.1145|0.0077|-0.0489468169558127|31.878978206532|5.8474|0.8834|-1
2|Apalachicola Bay Aquatic Preserve|Salinity|All|Field|TRUE|85544|34|1964|2022|2022-05-26|16.1|TRUE|-0.0581|0.1509|-0.0448770853972196|19.6439842354168|8.4195|0.6753|0
3|Apalachicola National Estuarine Research Reserve|Salinity|All|Field|TRUE|128198|34|1964|2022|2022-06-22|17.1|TRUE|-0.223|0|-0.20029776674938|27.9220058350584|7.8425|0.7273|-1
4|Banana River Aquatic Preserve|Salinity|All|Field|TRUE|51637|33|1990|2022|2022-04-11|19.34|TRUE|0.1147|0.0017|0.104949841622385|19.1908972440665|2.3293|0.997|1
5|Big Bend Seagrasses Aquatic Preserve|Salinity|All|Field|TRUE|238430|40|1964|2022|2022-06-21|22.9|TRUE|-0.1567|0|-0.11421885020749|26.4953440365724|7.5501|0.7529|-1
7|Biscayne Bay-Cape Florida to Monroe County Line Aquatic Preserve|Salinity|All|Field|FALSE|0|0||||||||||||
6|Biscayne Bay Aquatic Preserve|Salinity|All|Field|TRUE|22540|30|1993|2022|2022-05-05|32.24|TRUE|-0.3281|0|-0.160766335811157|33.7646851065933|9.7631|0.5518|-1
8|Boca Ciega Bay Aquatic Preserve|Salinity|All|Field|TRUE|38426|55|1954|2021|2021-12-16|32.6|TRUE|-0.0175|0.5682|-0.00265090563602759|32.4050534335057|2.5191|0.9957|0
9|Cape Haze Aquatic Preserve|Salinity|All|Field|TRUE|10360|37|1957|2022|2022-07-06|30|TRUE|0.0407|0.2995|0.0245869837296622|28.1833406299887|8.1567|0.6992|0
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|Salinity|All|Field|TRUE|18423|42|1956|2022|2022-05-11|31.8|TRUE|-0.0512|0.199|-0.0272336956521739|32.3696442003385|13.834|0.2423|0
11|Cockroach Bay Aquatic Preserve|Salinity|All|Field|TRUE|27768|38|1958|2022|2022-06-28|10.7|TRUE|-0.2484|0|-0.27611367416753|25.2561281613509|6.9531|0.8029|-1
13|Coupon Bight Aquatic Preserve|Salinity|All|Field|TRUE|179|20|1995|2022|2022-05-19|36.51|TRUE|0.2137|0.009|0.0427999999999997|36.4280041666667|20.5839|0.0379|1
14|Estero Bay Aquatic Preserve|Salinity|All|Field|TRUE|4573|31|1963|2022|2022-07-05|32.3|TRUE|-0.3452|0|-0.190690476190476|40.0456167697848|6.0474|0.8702|-1
15|Florida Keys National Marine Sanctuary|Salinity|All|Field|TRUE|53420|47|1955|2022|2022-05-25|36.16|TRUE|0.0702|0.0478|0.0198699017893862|34.4154654912928|4.715|0.9442|1
16|Fort Clinch State Park Aquatic Preserve|Salinity|All|Field|TRUE|1446|25|1994|2022|2022-05-17|33.55|TRUE|0.0296|0.569|0.0170588235294117|32.7999879807692|5.8333|0.8842|0
17|Fort Pickens State Park Aquatic Preserve|Salinity|All|Field|TRUE|1382|29|1974|2019|2019-09-27|27.24|TRUE|-0.0644|0.2429|-0.0664291208791208|28.7554902777778|8.1899|0.6962|0
18|Gasparilla Sound-Charlotte Harbor Aquatic Preserve|Salinity|All|Field|TRUE|65272|46|1954|2022|2022-07-05|26.98|TRUE|-0.2311|0|-0.0999132034166849|32.2854584231473|7.3293|0.7718|-1
19|Guana River Marsh Aquatic Preserve|Salinity|All|Field|TRUE|15697|29|1986|2022|2022-06-14|31|TRUE|-0.1608|0.0001|-0.176766717325228|33.9310650429687|5.9291|0.8781|-1
20|Guana Tolomato Matanzas National Estuarine Research Reserve|Salinity|All|Field|TRUE|46730|30|1980|2022|2022-06-14|31.9|TRUE|-0.3877|0|-0.35|38.2862689408628|5.1047|0.926|-1
21|Indian River-Malabar to Vero Beach Aquatic Preserve|Salinity|All|Field|TRUE|86839|35|1972|2022|2022-06-29|26.3|TRUE|-0.2525|0|-0.225838249191711|31.7061200100958|7.5887|0.7496|-1
22|Indian River-Vero Beach to Ft. Pierce Aquatic Preserve|Salinity|All|Field|TRUE|14709|31|1992|2022|2022-06-15|29|TRUE|0.0145|0.6857|0.0137427251111462|28.3367112134908|3.2116|0.9876|0
23|Jensen Beach to Jupiter Inlet Aquatic Preserve|Salinity|All|Field|TRUE|12789|33|1972|2022|2022-07-06|32.8|TRUE|0.1595|0|0.072405660377358|29.9056326602108|8.4214|0.6751|1
25|Lemon Bay Aquatic Preserve|Salinity|All|Field|TRUE|13389|54|1954|2022|2022-07-06|33.58|TRUE|-0.0763|0.0146|-0.0170275761973874|34.8621945758707|9.8314|0.5456|-1
26|Lignumvitae Key Aquatic Preserve|Salinity|All|Field|TRUE|373|11|1997|2022|2022-05-25|36.2|TRUE|0.1782|0.367|0.0266543513957305|35.7651321640316|8.1686|0.6981|0
27|Loxahatchee River-Lake Worth Creek Aquatic Preserve|Salinity|All|Field|TRUE|11162|33|1972|2022|2022-06-14|25.9|TRUE|0.0609|0.0562|0.0785010822510823|17.5364122119729|16.3918|0.1272|0
28|Matlacha Pass Aquatic Preserve|Salinity|All|Field|TRUE|10077|40|1954|2022|2022-07-05|26|TRUE|-0.0673|0.0807|-0.0434724612736662|27.6243157047018|4.4|0.9567|0
29|Mosquito Lagoon Aquatic Preserve|Salinity|All|Field|TRUE|9754|28|1995|2022|2022-04-06|32.4|TRUE|0.1024|0.0105|0.0701531227393295|31.6934069146741|8.8231|0.6382|1
30|Nassau River-St. Johns River Marshes Aquatic Preserve|Salinity|All|Field|TRUE|18790|28|1980|2022|2022-07-19|31|TRUE|-0.0438|0.307|-0.0444243066769946|30.6506486409311|6.8556|0.8107|0
48|Nature Coast Aquatic Preserve|Salinity|All|Field|TRUE|8611|38|1975|2020|2020-11-04|23.5|TRUE|0.0752|0.0863|0.0493438697318007|21.076856732324|9.9216|0.5374|0
31|North Fork St. Lucie Aquatic Preserve|Salinity|All|Field|TRUE|8681|27|1994|2022|2022-07-06|5.7|TRUE|-0.118|0.0038|-0.103153988868275|10.9429667353297|2.1147|0.9981|-1
33|Pellicer Creek Aquatic Preserve|Salinity|All|Field|TRUE|3775|21|2002|2022|2022-03-15|16.53|TRUE|-0.001|0.9836|-0.00288362919132142|16.8130790955421|5.3937|0.9106|0
34|Pine Island Sound Aquatic Preserve|Salinity|All|Field|TRUE|32905|61|1954|2022|2022-07-05|32.8|TRUE|-0.0718|0.0316|-0.0134682635264731|33.082623875562|6.4374|0.8426|-1
35|Pinellas County Aquatic Preserve|Salinity|All|Field|TRUE|129979|61|1954|2022|2022-06-22|29|TRUE|-0.4269|0|-0.122808423595699|33.9633345998303|10.5514|0.4816|-1
37|Rocky Bayou State Park Aquatic Preserve|Salinity|All|Field|TRUE|1005|24|1994|2022|2022-04-16|22.02|TRUE|-0.0467|0.3169|-0.0647685185185186|22.4838581730769|13.8268|0.2427|0
38|Rookery Bay Aquatic Preserve|Salinity|All|Field|TRUE|6439|44|1954|2022|2022-05-10|34|TRUE|-0.0614|0.1114|-0.0116984126984126|34.4491272952445|11.4015|0.4103|0
