AreaID|ManagedAreaName|Year|Month|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|1996|7|Salinity|Surface|Lab|1|7.6|7.6|7.6|7.6||5002
2|Apalachicola Bay Aquatic Preserve|1996|8|Salinity|Surface|Lab|1|24.9|24.9|24.9|24.9||5002
2|Apalachicola Bay Aquatic Preserve|1998|4|Salinity|Surface|Lab|1|9.9|9.9|9.9|9.9||5002
2|Apalachicola Bay Aquatic Preserve|1999|7|Salinity|Surface|Lab|1|24.5|24.5|24.5|24.5||5002
2|Apalachicola Bay Aquatic Preserve|1999|8|Salinity|Surface|Lab|1|16.7|16.7|16.7|16.7||5002
2|Apalachicola Bay Aquatic Preserve|1999|11|Salinity|Surface|Lab|1|24.9|24.9|24.9|24.9||5002
2|Apalachicola Bay Aquatic Preserve|2001|8|Salinity|Surface|Lab|1|11|11|11|11||5002
2|Apalachicola Bay Aquatic Preserve|2002|6|Salinity|Surface|Lab|1|17.9|17.9|17.9|17.9||5002
2|Apalachicola Bay Aquatic Preserve|2003|7|Salinity|Surface|Lab|2|4.5|9.8|7.15|7.15|3.7476659402887|5002
2|Apalachicola Bay Aquatic Preserve|2004|6|Salinity|Surface|Lab|1|16.8|16.8|16.8|16.8||5002
2|Apalachicola Bay Aquatic Preserve|2005|1|Salinity|Surface|Lab|3|0.1|24.1|0.1|8.1|13.856406460551|69
2|Apalachicola Bay Aquatic Preserve|2005|5|Salinity|Surface|Lab|2|7.8|14.3|11.05|11.05|4.59619407771256|69
2|Apalachicola Bay Aquatic Preserve|2005|7|Salinity|Surface|Lab|1|2.3|2.3|2.3|2.3||5002
2|Apalachicola Bay Aquatic Preserve|2005|9|Salinity|Surface|Lab|1|20.3|20.3|20.3|20.3||69
2|Apalachicola Bay Aquatic Preserve|2005|10|Salinity|Surface|Lab|1|11.8|11.8|11.8|11.8||69
2|Apalachicola Bay Aquatic Preserve|2006|1|Salinity|Surface|Lab|3|0.6|1.3|1.3|1.06666666666667|0.404145188432738|69
2|Apalachicola Bay Aquatic Preserve|2006|4|Salinity|Surface|Lab|3|0.1|34.5|11.2|15.2666666666667|17.5568600077956|69
2|Apalachicola Bay Aquatic Preserve|2006|7|Salinity|Surface|Lab|2|1.6|1.8|1.7|1.7|0.141421356237309|69
2|Apalachicola Bay Aquatic Preserve|2006|8|Salinity|Surface|Lab|7|11.9|28.9|28.7|21.8428571428571|8.71432864938681|69
2|Apalachicola Bay Aquatic Preserve|2006|9|Salinity|Surface|Lab|2|15.9|26.7|21.3|21.3|7.63675323681471|69
2|Apalachicola Bay Aquatic Preserve|2006|10|Salinity|Surface|Lab|4|8.8|12.2|10.25|10.375|1.83007285829463|69
2|Apalachicola Bay Aquatic Preserve|2006|11|Salinity|Surface|Lab|1|24.3|24.3|24.3|24.3||69
2|Apalachicola Bay Aquatic Preserve|2007|7|Salinity|Surface|Lab|4|15.2|36.6|21.35|23.625|10.4135728738988|69
2|Apalachicola Bay Aquatic Preserve|2007|8|Salinity|Surface|Lab|3|13.3|17.8|13.9|15|2.44335834457412|69
2|Apalachicola Bay Aquatic Preserve|2008|3|Salinity|Surface|Lab|1|0|0|0|0||69
2|Apalachicola Bay Aquatic Preserve|2008|7|Salinity|Surface|Lab|2|13.9|31.6|22.75|22.75|12.5157900270019|69
2|Apalachicola Bay Aquatic Preserve|2009|5|Salinity|Surface|Lab|1|29.1|29.1|29.1|29.1||5002
2|Apalachicola Bay Aquatic Preserve|2009|7|Salinity|Surface|Lab|1|24|24|24|24||5002
2|Apalachicola Bay Aquatic Preserve|2011|11|Salinity|Surface|Lab|1|33.2|33.2|33.2|33.2||5002
2|Apalachicola Bay Aquatic Preserve|2013|9|Salinity|Surface|Lab|1|17.5|17.5|17.5|17.5||5002
2|Apalachicola Bay Aquatic Preserve|2014|12|Salinity|Surface|Lab|2|0.1|0.1|0.1|0.1|0|69
2|Apalachicola Bay Aquatic Preserve|2017|9|Salinity|Surface|Lab|1|24.9|24.9|24.9|24.9||5002
3|Apalachicola National Estuarine Research Reserve|1996|7|Salinity|Surface|Lab|1|7.6|7.6|7.6|7.6||5002
3|Apalachicola National Estuarine Research Reserve|1996|8|Salinity|Surface|Lab|1|24.9|24.9|24.9|24.9||5002
3|Apalachicola National Estuarine Research Reserve|1998|4|Salinity|Surface|Lab|1|9.9|9.9|9.9|9.9||5002
3|Apalachicola National Estuarine Research Reserve|1998|8|Salinity|Surface|Lab|1|28.1|28.1|28.1|28.1||5002
3|Apalachicola National Estuarine Research Reserve|1999|7|Salinity|Surface|Lab|1|24.5|24.5|24.5|24.5||5002
3|Apalachicola National Estuarine Research Reserve|1999|11|Salinity|Surface|Lab|1|24.9|24.9|24.9|24.9||5002
3|Apalachicola National Estuarine Research Reserve|2000|12|Salinity|Surface|Lab|1|24.7|24.7|24.7|24.7||5002
3|Apalachicola National Estuarine Research Reserve|2001|8|Salinity|Surface|Lab|1|11|11|11|11||5002
3|Apalachicola National Estuarine Research Reserve|2002|6|Salinity|Surface|Lab|1|17.9|17.9|17.9|17.9||5002
3|Apalachicola National Estuarine Research Reserve|2003|7|Salinity|Surface|Lab|2|4.5|9.8|7.15|7.15|3.7476659402887|5002
3|Apalachicola National Estuarine Research Reserve|2004|6|Salinity|Surface|Lab|1|16.8|16.8|16.8|16.8||5002
3|Apalachicola National Estuarine Research Reserve|2005|1|Salinity|Surface|Lab|3|0.1|0.1|0.1|0.1|0|69
3|Apalachicola National Estuarine Research Reserve|2005|5|Salinity|Surface|Lab|5|0.1|19.3|7.8|9.22|9.50983701227313|69
3|Apalachicola National Estuarine Research Reserve|2005|7|Salinity|Surface|Lab|1|27.7|27.7|27.7|27.7||69
3|Apalachicola National Estuarine Research Reserve|2005|9|Salinity|Surface|Lab|2|20.3|20.6|20.45|20.45|0.212132034355965|69
3|Apalachicola National Estuarine Research Reserve|2005|10|Salinity|Surface|Lab|1|14.5|14.5|14.5|14.5||69
3|Apalachicola National Estuarine Research Reserve|2006|1|Salinity|Surface|Lab|2|0.6|1.3|0.95|0.95|0.494974746830583|69
3|Apalachicola National Estuarine Research Reserve|2006|4|Salinity|Surface|Lab|3|0.1|11.2|0.1|3.8|6.40858798800485|69
3|Apalachicola National Estuarine Research Reserve|2006|7|Salinity|Surface|Lab|4|0.1|1.8|0.85|0.9|0.92736184954957|69
3|Apalachicola National Estuarine Research Reserve|2006|8|Salinity|Surface|Lab|6|11.9|28.9|20.8|20.6666666666667|8.91665109032907|69
3|Apalachicola National Estuarine Research Reserve|2006|9|Salinity|Surface|Lab|2|15.9|26.7|21.3|21.3|7.63675323681471|69
3|Apalachicola National Estuarine Research Reserve|2006|10|Salinity|Surface|Lab|7|8.2|33.1|12.2|19.7142857142857|11.9266408474793|69
3|Apalachicola National Estuarine Research Reserve|2006|11|Salinity|Surface|Lab|4|0.1|24.3|10.15|11.175|12.8973834555696|69
3|Apalachicola National Estuarine Research Reserve|2007|7|Salinity|Surface|Lab|4|15.2|36.6|21.35|23.625|10.4135728738988|69
3|Apalachicola National Estuarine Research Reserve|2007|8|Salinity|Surface|Lab|2|13.3|13.9|13.6|13.6|0.424264068711928|69
3|Apalachicola National Estuarine Research Reserve|2007|10|Salinity|Surface|Lab|1|35.1|35.1|35.1|35.1||69
3|Apalachicola National Estuarine Research Reserve|2008|3|Salinity|Surface|Lab|3|0|0.1|0.1|0.0666666666666667|0.0577350269189626|69
3|Apalachicola National Estuarine Research Reserve|2008|6|Salinity|Surface|Lab|2|0|5.2|2.6|2.6|3.67695526217005|69
3|Apalachicola National Estuarine Research Reserve|2008|7|Salinity|Surface|Lab|6|13.9|31.6|29.7|27.35|6.72212763937133|69
3|Apalachicola National Estuarine Research Reserve|2009|5|Salinity|Surface|Lab|1|29.1|29.1|29.1|29.1||5002
3|Apalachicola National Estuarine Research Reserve|2009|7|Salinity|Surface|Lab|1|24|24|24|24||5002
3|Apalachicola National Estuarine Research Reserve|2011|11|Salinity|Surface|Lab|1|33.2|33.2|33.2|33.2||5002
3|Apalachicola National Estuarine Research Reserve|2013|9|Salinity|Surface|Lab|1|17.5|17.5|17.5|17.5||5002
3|Apalachicola National Estuarine Research Reserve|2014|12|Salinity|Surface|Lab|1|0.1|0.1|0.1|0.1||69
3|Apalachicola National Estuarine Research Reserve|2016|8|Salinity|Surface|Lab|1|21.2|21.2|21.2|21.2||5002
5|Big Bend Seagrasses Aquatic Preserve|1995|4|Salinity|Surface|Lab|1|13.8|13.8|13.8|13.8||5002
5|Big Bend Seagrasses Aquatic Preserve|1996|4|Salinity|Surface|Lab|1|7.6|7.6|7.6|7.6||5002
5|Big Bend Seagrasses Aquatic Preserve|1996|5|Salinity|Surface|Lab|1|17.4|17.4|17.4|17.4||5002
5|Big Bend Seagrasses Aquatic Preserve|1996|10|Salinity|Surface|Lab|1|23.9|23.9|23.9|23.9||69
5|Big Bend Seagrasses Aquatic Preserve|1996|12|Salinity|Surface|Lab|2|21.7|23.9|22.8|22.8|1.5556349186104|5002
5|Big Bend Seagrasses Aquatic Preserve|1997|2|Salinity|Surface|Lab|2|25.4|31|28.2|28.2|3.95979797464467|5002
5|Big Bend Seagrasses Aquatic Preserve|1997|3|Salinity|Surface|Lab|1|14.7|14.7|14.7|14.7||5002
5|Big Bend Seagrasses Aquatic Preserve|1997|4|Salinity|Surface|Lab|2|15.4|15.6|15.5|15.5|0.141421356237309|5002
5|Big Bend Seagrasses Aquatic Preserve|1997|6|Salinity|Surface|Lab|1|6.5|6.5|6.5|6.5||5002
5|Big Bend Seagrasses Aquatic Preserve|1997|7|Salinity|Surface|Lab|1|15.2|15.2|15.2|15.2||5002
5|Big Bend Seagrasses Aquatic Preserve|1997|10|Salinity|Surface|Lab|5|4.6|31|26.5|19.48|13.0979769430244|69
5|Big Bend Seagrasses Aquatic Preserve|1998|4|Salinity|Surface|Lab|1|0.1|0.1|0.1|0.1||5002
5|Big Bend Seagrasses Aquatic Preserve|1998|6|Salinity|Surface|Lab|1|18|18|18|18||69
5|Big Bend Seagrasses Aquatic Preserve|1998|11|Salinity|Surface|Lab|1|22.6|22.6|22.6|22.6||5002
5|Big Bend Seagrasses Aquatic Preserve|1999|1|Salinity|Surface|Lab|2|24.9|27.5|26.2|26.2|1.83847763108502|5002
5|Big Bend Seagrasses Aquatic Preserve|1999|2|Salinity|Surface|Lab|2|16.5|17.7|17.1|17.1|0.848528137423857|5002
5|Big Bend Seagrasses Aquatic Preserve|1999|3|Salinity|Surface|Lab|1|24.6|24.6|24.6|24.6||5002
5|Big Bend Seagrasses Aquatic Preserve|1999|4|Salinity|Surface|Lab|1|16.4|16.4|16.4|16.4||5002
5|Big Bend Seagrasses Aquatic Preserve|1999|12|Salinity|Surface|Lab|1|17.8|17.8|17.8|17.8||5002
5|Big Bend Seagrasses Aquatic Preserve|2000|2|Salinity|Surface|Lab|1|28.7|28.7|28.7|28.7||5002
5|Big Bend Seagrasses Aquatic Preserve|2000|3|Salinity|Surface|Lab|1|29.8|29.8|29.8|29.8||5002
5|Big Bend Seagrasses Aquatic Preserve|2000|5|Salinity|Surface|Lab|1|24.1|24.1|24.1|24.1||5002
5|Big Bend Seagrasses Aquatic Preserve|2000|6|Salinity|Surface|Lab|1|32.2|32.2|32.2|32.2||5002
5|Big Bend Seagrasses Aquatic Preserve|2000|7|Salinity|Surface|Lab|2|24.5|28.6|26.55|26.55|2.89913780286485|5002
5|Big Bend Seagrasses Aquatic Preserve|2000|8|Salinity|Surface|Lab|1|20.4|20.4|20.4|20.4||5002
5|Big Bend Seagrasses Aquatic Preserve|2001|1|Salinity|Surface|Lab|1|27.3|27.3|27.3|27.3||5002
5|Big Bend Seagrasses Aquatic Preserve|2001|3|Salinity|Surface|Lab|1|36|36|36|36||5002
5|Big Bend Seagrasses Aquatic Preserve|2001|5|Salinity|Surface|Lab|1|19.5|19.5|19.5|19.5||5002
5|Big Bend Seagrasses Aquatic Preserve|2001|12|Salinity|Surface|Lab|2|30.2|32.9|31.55|31.55|1.90918830920368|5002
5|Big Bend Seagrasses Aquatic Preserve|2002|1|Salinity|Surface|Lab|1|29.7|29.7|29.7|29.7||5002
5|Big Bend Seagrasses Aquatic Preserve|2002|3|Salinity|Surface|Lab|1|21.3|21.3|21.3|21.3||5002
5|Big Bend Seagrasses Aquatic Preserve|2002|7|Salinity|Surface|Lab|1|13.5|13.5|13.5|13.5||5002
5|Big Bend Seagrasses Aquatic Preserve|2002|12|Salinity|Surface|Lab|1|21.8|21.8|21.8|21.8||5002
5|Big Bend Seagrasses Aquatic Preserve|2003|1|Salinity|Surface|Lab|1|19.3|19.3|19.3|19.3||5002
5|Big Bend Seagrasses Aquatic Preserve|2003|12|Salinity|Surface|Lab|1|27|27|27|27||5002
5|Big Bend Seagrasses Aquatic Preserve|2004|1|Salinity|Surface|Lab|1|17.7|17.7|17.7|17.7||5002
5|Big Bend Seagrasses Aquatic Preserve|2004|2|Salinity|Surface|Lab|1|28.6|28.6|28.6|28.6||5002
5|Big Bend Seagrasses Aquatic Preserve|2004|3|Salinity|Surface|Lab|8|0.1|23.9|11.75|11.85|12.3542936434493|69, 5002
5|Big Bend Seagrasses Aquatic Preserve|2004|5|Salinity|Surface|Lab|1|17.8|17.8|17.8|17.8||5002
5|Big Bend Seagrasses Aquatic Preserve|2004|7|Salinity|Surface|Lab|1|17.9|17.9|17.9|17.9||5002
5|Big Bend Seagrasses Aquatic Preserve|2004|11|Salinity|Surface|Lab|1|14|14|14|14||5002
5|Big Bend Seagrasses Aquatic Preserve|2005|1|Salinity|Surface|Lab|1|14.8|14.8|14.8|14.8||5002
5|Big Bend Seagrasses Aquatic Preserve|2005|2|Salinity|Surface|Lab|2|8.3|8.4|8.35|8.35|0.0707106781186545|69
5|Big Bend Seagrasses Aquatic Preserve|2005|3|Salinity|Surface|Lab|1|12.2|12.2|12.2|12.2||5002
5|Big Bend Seagrasses Aquatic Preserve|2005|5|Salinity|Surface|Lab|3|0.1|17.3|0.1|5.83333333333333|9.93042463006156|69
5|Big Bend Seagrasses Aquatic Preserve|2006|2|Salinity|Surface|Lab|2|5.6|19.3|12.45|12.45|9.6873629022557|5002
5|Big Bend Seagrasses Aquatic Preserve|2006|3|Salinity|Surface|Lab|2|10.2|22.4|16.3|16.3|8.62670273047588|5002
5|Big Bend Seagrasses Aquatic Preserve|2007|1|Salinity|Surface|Lab|1|27|27|27|27||5002
5|Big Bend Seagrasses Aquatic Preserve|2007|2|Salinity|Surface|Lab|1|26.1|26.1|26.1|26.1||5002
5|Big Bend Seagrasses Aquatic Preserve|2007|4|Salinity|Surface|Lab|1|23.7|23.7|23.7|23.7||5002
5|Big Bend Seagrasses Aquatic Preserve|2007|12|Salinity|Surface|Lab|1|26.7|26.7|26.7|26.7||5002
5|Big Bend Seagrasses Aquatic Preserve|2008|1|Salinity|Surface|Lab|1|20.9|20.9|20.9|20.9||5002
5|Big Bend Seagrasses Aquatic Preserve|2008|3|Salinity|Surface|Lab|2|18.2|19.8|19|19|1.13137084989848|5002
5|Big Bend Seagrasses Aquatic Preserve|2008|4|Salinity|Surface|Lab|1|21.2|21.2|21.2|21.2||5002
5|Big Bend Seagrasses Aquatic Preserve|2008|5|Salinity|Surface|Lab|1|15.9|15.9|15.9|15.9||5002
5|Big Bend Seagrasses Aquatic Preserve|2008|12|Salinity|Surface|Lab|1|23.7|23.7|23.7|23.7||5002
5|Big Bend Seagrasses Aquatic Preserve|2009|5|Salinity|Surface|Lab|1|13.9|13.9|13.9|13.9||5002
5|Big Bend Seagrasses Aquatic Preserve|2009|11|Salinity|Surface|Lab|1|29.4|29.4|29.4|29.4||5002
5|Big Bend Seagrasses Aquatic Preserve|2010|1|Salinity|Surface|Lab|2|27.8|30.5|29.15|29.15|1.90918830920368|5002
5|Big Bend Seagrasses Aquatic Preserve|2010|11|Salinity|Surface|Lab|1|28.1|28.1|28.1|28.1||5002
5|Big Bend Seagrasses Aquatic Preserve|2011|1|Salinity|Surface|Lab|3|15.4|30.2|25.6|23.7333333333333|7.57451868657893|5002
5|Big Bend Seagrasses Aquatic Preserve|2011|5|Salinity|Surface|Lab|1|20.1|20.1|20.1|20.1||5002
5|Big Bend Seagrasses Aquatic Preserve|2011|11|Salinity|Surface|Lab|1|30.1|30.1|30.1|30.1||5002
5|Big Bend Seagrasses Aquatic Preserve|2012|3|Salinity|Surface|Lab|1|27.4|27.4|27.4|27.4||5002
5|Big Bend Seagrasses Aquatic Preserve|2012|12|Salinity|Surface|Lab|1|23|23|23|23||5002
5|Big Bend Seagrasses Aquatic Preserve|2013|1|Salinity|Surface|Lab|1|23.8|23.8|23.8|23.8||5002
5|Big Bend Seagrasses Aquatic Preserve|2013|12|Salinity|Surface|Lab|2|24.8|26.7|25.75|25.75|1.34350288425444|5002
5|Big Bend Seagrasses Aquatic Preserve|2014|12|Salinity|Surface|Lab|3|24.6|27.7|26.8|26.3666666666667|1.59478316185409|5002
5|Big Bend Seagrasses Aquatic Preserve|2015|3|Salinity|Surface|Lab|1|24.2|24.2|24.2|24.2||5002
5|Big Bend Seagrasses Aquatic Preserve|2016|1|Salinity|Surface|Lab|1|23.8|23.8|23.8|23.8||5002
5|Big Bend Seagrasses Aquatic Preserve|2016|2|Salinity|Surface|Lab|1|11.2|11.2|11.2|11.2||5002
5|Big Bend Seagrasses Aquatic Preserve|2016|3|Salinity|Surface|Lab|1|10.3|10.3|10.3|10.3||5002
5|Big Bend Seagrasses Aquatic Preserve|2016|5|Salinity|Surface|Lab|1|19.6|19.6|19.6|19.6||5002
5|Big Bend Seagrasses Aquatic Preserve|2016|11|Salinity|Surface|Lab|1|28.9|28.9|28.9|28.9||5002
5|Big Bend Seagrasses Aquatic Preserve|2016|12|Salinity|Surface|Lab|1|28.5|28.5|28.5|28.5||5002
5|Big Bend Seagrasses Aquatic Preserve|2017|2|Salinity|Surface|Lab|1|24.1|24.1|24.1|24.1||5002
5|Big Bend Seagrasses Aquatic Preserve|2017|5|Salinity|Surface|Lab|2|6.3|21.2|13.75|13.75|10.5358910396796|69, 5002
5|Big Bend Seagrasses Aquatic Preserve|2017|6|Salinity|Surface|Lab|3|0.2|9.3|8.7|6.06666666666667|5.08953174008507|69
5|Big Bend Seagrasses Aquatic Preserve|2017|7|Salinity|Surface|Lab|2|33.1|34|33.55|33.55|0.636396103067892|69
5|Big Bend Seagrasses Aquatic Preserve|2017|8|Salinity|Surface|Lab|10|0.1|24|9|9.19|9.0467243918571|69
5|Big Bend Seagrasses Aquatic Preserve|2017|9|Salinity|Surface|Lab|9|0.2|25.4|10.9|9.91111111111111|10.246761005855|69
5|Big Bend Seagrasses Aquatic Preserve|2017|10|Salinity|Surface|Lab|7|14.2|26.1|18.6|20.0428571428571|5.1864750852119|69
5|Big Bend Seagrasses Aquatic Preserve|2017|11|Salinity|Surface|Lab|14|0.2|25.9|11.9|12.1285714285714|11.6606787354523|69
5|Big Bend Seagrasses Aquatic Preserve|2017|12|Salinity|Surface|Lab|12|0.7|29.7|21.65|19.875|10.8592754655347|69, 5002
19|Guana River Marsh Aquatic Preserve|1997|2|Salinity|Surface|Lab|1|31.8|31.8|31.8|31.8||5002
19|Guana River Marsh Aquatic Preserve|1997|3|Salinity|Surface|Lab|1|32.8|32.8|32.8|32.8||5002
19|Guana River Marsh Aquatic Preserve|1997|4|Salinity|Surface|Lab|1|32.1|32.1|32.1|32.1||5002
19|Guana River Marsh Aquatic Preserve|1997|5|Salinity|Surface|Lab|1|27.7|27.7|27.7|27.7||5002
19|Guana River Marsh Aquatic Preserve|1997|8|Salinity|Surface|Lab|1|20.3|20.3|20.3|20.3||5002
19|Guana River Marsh Aquatic Preserve|1997|9|Salinity|Surface|Lab|1|26.5|26.5|26.5|26.5||5002
19|Guana River Marsh Aquatic Preserve|1997|10|Salinity|Surface|Lab|1|33.5|33.5|33.5|33.5||5002
19|Guana River Marsh Aquatic Preserve|1997|11|Salinity|Surface|Lab|1|20.7|20.7|20.7|20.7||5002
19|Guana River Marsh Aquatic Preserve|1997|12|Salinity|Surface|Lab|1|21.3|21.3|21.3|21.3||5002
19|Guana River Marsh Aquatic Preserve|1998|1|Salinity|Surface|Lab|1|10.4|10.4|10.4|10.4||5002
19|Guana River Marsh Aquatic Preserve|1998|4|Salinity|Surface|Lab|1|27|27|27|27||5002
19|Guana River Marsh Aquatic Preserve|1998|5|Salinity|Surface|Lab|1|29.3|29.3|29.3|29.3||5002
19|Guana River Marsh Aquatic Preserve|1998|6|Salinity|Surface|Lab|1|32.9|32.9|32.9|32.9||5002
19|Guana River Marsh Aquatic Preserve|1998|9|Salinity|Surface|Lab|1|28.1|28.1|28.1|28.1||5002
19|Guana River Marsh Aquatic Preserve|1998|10|Salinity|Surface|Lab|1|16.6|16.6|16.6|16.6||5002
19|Guana River Marsh Aquatic Preserve|1998|11|Salinity|Surface|Lab|1|29.7|29.7|29.7|29.7||5002
19|Guana River Marsh Aquatic Preserve|1999|5|Salinity|Surface|Lab|1|33.9|33.9|33.9|33.9||5002
19|Guana River Marsh Aquatic Preserve|1999|6|Salinity|Surface|Lab|1|32|32|32|32||5002
19|Guana River Marsh Aquatic Preserve|1999|7|Salinity|Surface|Lab|1|33|33|33|33||5002
19|Guana River Marsh Aquatic Preserve|1999|8|Salinity|Surface|Lab|1|35.9|35.9|35.9|35.9||5002
19|Guana River Marsh Aquatic Preserve|1999|9|Salinity|Surface|Lab|1|34|34|34|34||5002
19|Guana River Marsh Aquatic Preserve|2000|2|Salinity|Surface|Lab|1|33.5|33.5|33.5|33.5||5002
19|Guana River Marsh Aquatic Preserve|2000|3|Salinity|Surface|Lab|1|36.3|36.3|36.3|36.3||5002
19|Guana River Marsh Aquatic Preserve|2000|4|Salinity|Surface|Lab|1|36.7|36.7|36.7|36.7||5002
19|Guana River Marsh Aquatic Preserve|2000|5|Salinity|Surface|Lab|1|33.6|33.6|33.6|33.6||5002
19|Guana River Marsh Aquatic Preserve|2000|6|Salinity|Surface|Lab|1|32.5|32.5|32.5|32.5||5002
19|Guana River Marsh Aquatic Preserve|2000|7|Salinity|Surface|Lab|1|26.6|26.6|26.6|26.6||5002
19|Guana River Marsh Aquatic Preserve|2000|8|Salinity|Surface|Lab|1|30.5|30.5|30.5|30.5||5002
19|Guana River Marsh Aquatic Preserve|2000|9|Salinity|Surface|Lab|1|10.4|10.4|10.4|10.4||5002
19|Guana River Marsh Aquatic Preserve|2001|1|Salinity|Surface|Lab|1|31.6|31.6|31.6|31.6||5002
