AreaID|ManagedAreaName|Year|Month|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
1|Alligator Harbor Aquatic Preserve|2001|6|Total Nitrogen|All|Lab|18|0.00016|1.15|0.45|0.411316666666667|0.400495111301587|514, 5002
1|Alligator Harbor Aquatic Preserve|2001|7|Total Nitrogen|All|Lab|18|0.00027|0.89|0.55|0.431326666666667|0.35655494372413|514, 5002
1|Alligator Harbor Aquatic Preserve|2001|8|Total Nitrogen|All|Lab|18|0.00033|0.95|0.61|0.478016666666667|0.387981543754491|514, 5002
1|Alligator Harbor Aquatic Preserve|2001|9|Total Nitrogen|All|Lab|18|0.00033|0.79|0.41|0.379078333333333|0.309800241014033|514, 5002
1|Alligator Harbor Aquatic Preserve|2001|10|Total Nitrogen|All|Lab|18|0.00035|0.73|0.44|0.367961666666667|0.294126600138144|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|2|Total Nitrogen|All|Lab|18|0.00013|0.28|0.14|0.115613333333333|0.0943722992757315|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|3|Total Nitrogen|All|Lab|18|0.00015|0.63|0.23|0.23345|0.216363072227054|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|5|Total Nitrogen|All|Lab|18|0.00026|0.68|0.29|0.302373333333333|0.262013472666624|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|6|Total Nitrogen|All|Lab|18|0.00029|0.82|0.52|0.391306666666667|0.317659260936658|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|7|Total Nitrogen|All|Lab|18|0.00032|0.77|0.39|0.381301666666667|0.312707798361158|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|8|Total Nitrogen|All|Lab|18|0.00026|0.93|0.38|0.4002|0.347590170137866|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|10|Total Nitrogen|All|Lab|18|0.00038|0.72|0.42|0.344616666666667|0.268625043421013|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|12|Total Nitrogen|All|Lab|18|0.00019|0.37|0.23|0.18676|0.144094155002493|514, 5002
1|Alligator Harbor Aquatic Preserve|2003|3|Total Nitrogen|All|Lab|18|0.00032|0.7|0.37|0.32683|0.269823504405031|514, 5002
1|Alligator Harbor Aquatic Preserve|2006|1|Total Nitrogen|All|Lab|18|0.00015|0.24|0.16|0.132288333333333|0.100116575065976|514, 5002
1|Alligator Harbor Aquatic Preserve|2006|2|Total Nitrogen|All|Lab|18|0.00011|0.28|0.11|0.118948333333333|0.100681064710185|514, 5002
1|Alligator Harbor Aquatic Preserve|2006|3|Total Nitrogen|All|Lab|18|0.00022|0.61|0.31|0.28014|0.230828381168653|514, 5002
1|Alligator Harbor Aquatic Preserve|2006|4|Total Nitrogen|All|Lab|18|0.00014|0.66|0.19|0.241231666666667|0.232775084356249|514, 5002
1|Alligator Harbor Aquatic Preserve|2006|5|Total Nitrogen|All|Lab|18|0.00021|0.63|0.31|0.256795|0.216986702933613|514, 5002
1|Alligator Harbor Aquatic Preserve|2006|7|Total Nitrogen|All|Lab|21|0.00021|0.68|0.3|0.282045714285714|0.245912174984717|514, 5002
1|Alligator Harbor Aquatic Preserve|2006|8|Total Nitrogen|All|Lab|21|0.00026|0.77|0.3|0.269658571428571|0.236005367783992|514, 5002
1|Alligator Harbor Aquatic Preserve|2006|9|Total Nitrogen|All|Lab|21|0.00036|0.65|0.39|0.338264285714286|0.262042422263484|514, 5002
1|Alligator Harbor Aquatic Preserve|2006|10|Total Nitrogen|All|Lab|21|0.00025|0.65|0.28|0.245837142857143|0.206209498184319|514, 5002
1|Alligator Harbor Aquatic Preserve|2006|11|Total Nitrogen|All|Lab|21|0.00019|0.46|0.23|0.197241428571429|0.159375791520724|514, 5002
1|Alligator Harbor Aquatic Preserve|2006|12|Total Nitrogen|All|Lab|21|0.00015|0.25|0.16|0.130541428571429|0.0989792707735167|514, 5002
1|Alligator Harbor Aquatic Preserve|2007|1|Total Nitrogen|All|Lab|21|0.00013|0.32|0.15|0.142928571428571|0.117516008581202|514, 5002
1|Alligator Harbor Aquatic Preserve|2007|3|Total Nitrogen|All|Lab|21|0.00016|0.39|0.22|0.181995714285714|0.145366660330745|514, 5002
1|Alligator Harbor Aquatic Preserve|2007|4|Total Nitrogen|All|Lab|21|0.00021|0.58|0.22|0.204864285714286|0.179894952335285|514, 5002
1|Alligator Harbor Aquatic Preserve|2007|5|Total Nitrogen|All|Lab|21|0.00019|0.5|0.25|0.231544285714286|0.189516891188396|514, 5002
1|Alligator Harbor Aquatic Preserve|2007|6|Total Nitrogen|All|Lab|21|0.0003|0.57|0.33|0.278234285714286|0.215627062901933|514, 5002
1|Alligator Harbor Aquatic Preserve|2007|7|Total Nitrogen|All|Lab|21|0.00023|0.93|0.36|0.330641428571429|0.301927410105239|514, 5002
1|Alligator Harbor Aquatic Preserve|2007|8|Total Nitrogen|All|Lab|21|0.00025|0.8|0.37|0.312537142857143|0.266376890535625|514, 5002
1|Alligator Harbor Aquatic Preserve|2007|9|Total Nitrogen|All|Lab|21|0.00037|0.88|0.43|0.397341428571429|0.325692975857413|514, 5002
1|Alligator Harbor Aquatic Preserve|2007|10|Total Nitrogen|All|Lab|21|0.00045|0.69|0.45|0.359227142857143|0.270691258099386|514, 5002
1|Alligator Harbor Aquatic Preserve|2007|11|Total Nitrogen|All|Lab|21|0.00032|0.67|0.32|0.287762857142857|0.231586345110044|514, 5002
1|Alligator Harbor Aquatic Preserve|2007|12|Total Nitrogen|All|Lab|21|0.00024|0.52|0.26|0.217251428571429|0.174533514354284|514, 5002
1|Alligator Harbor Aquatic Preserve|2008|1|Total Nitrogen|All|Lab|21|0.00013|0.2|0.14|0.11339|0.0845568070589234|514, 5002
1|Alligator Harbor Aquatic Preserve|2008|2|Total Nitrogen|All|Lab|21|0.00019|0.3|0.2|0.149598571428571|0.111764479119518|514, 5002
1|Alligator Harbor Aquatic Preserve|2008|3|Total Nitrogen|All|Lab|21|0.00014|0.23|0.15|0.121012857142857|0.0906294357338088|514, 5002
1|Alligator Harbor Aquatic Preserve|2008|4|Total Nitrogen|All|Lab|21|0.00026|0.46|0.31|0.235355714285714|0.179521913246585|514, 5002
1|Alligator Harbor Aquatic Preserve|2008|5|Total Nitrogen|All|Lab|21|0.00023|0.62|0.27|0.239167142857143|0.201467322391073|514, 5002
1|Alligator Harbor Aquatic Preserve|2008|6|Total Nitrogen|All|Lab|21|0.0002|0.45|0.25|0.216298571428571|0.169191351058076|514, 5002
1|Alligator Harbor Aquatic Preserve|2008|7|Total Nitrogen|All|Lab|21|0.00023|0.5|0.27|0.23345|0.188430885844121|514, 5002
1|Alligator Harbor Aquatic Preserve|2008|8|Total Nitrogen|All|Lab|21|0.00022|0.8|0.25|0.303961428571429|0.267091569715064|514, 5002
1|Alligator Harbor Aquatic Preserve|2008|9|Total Nitrogen|All|Lab|21|0.00026|0.45|0.28|0.252507142857143|0.193758102260082|514, 5002
1|Alligator Harbor Aquatic Preserve|2008|11|Total Nitrogen|All|Lab|21|0.00024|0.42|0.27|0.225827142857143|0.174477071907539|514, 5002
1|Alligator Harbor Aquatic Preserve|2008|12|Total Nitrogen|All|Lab|21|0.00021|0.28|0.24|0.169608571428571|0.124236073436249|514, 5002
1|Alligator Harbor Aquatic Preserve|2009|1|Total Nitrogen|All|Lab|21|0.00012|0.24|0.2|0.141975714285714|0.108004897091355|514, 5002
1|Alligator Harbor Aquatic Preserve|2009|2|Total Nitrogen|All|Lab|21|0.00011|0.25|0.19|0.132447142857143|0.101639836882143|514, 5002
1|Alligator Harbor Aquatic Preserve|2009|3|Total Nitrogen|All|Lab|21|0.00015|0.45|0.16|0.161985714285714|0.143208532621888|514, 5002
1|Alligator Harbor Aquatic Preserve|2009|4|Total Nitrogen|All|Lab|21|0.00024|0.5|0.24|0.244884285714286|0.195456699874203|514, 5002
1|Alligator Harbor Aquatic Preserve|2009|5|Total Nitrogen|All|Lab|21|0.00022|0.58|0.31|0.257271428571429|0.208427539238118|514, 5002
1|Alligator Harbor Aquatic Preserve|2009|6|Total Nitrogen|All|Lab|21|0.0002|0.84|0.25|0.242978571428571|0.244866382937424|514, 5002
1|Alligator Harbor Aquatic Preserve|2009|7|Total Nitrogen|All|Lab|21|0.00025|0.75|0.32|0.31349|0.269518661339062|514, 5002
1|Alligator Harbor Aquatic Preserve|2009|11|Total Nitrogen|All|Lab|21|0.00027|0.5|0.33|0.256318571428571|0.194385912099764|514, 5002
1|Alligator Harbor Aquatic Preserve|2010|1|Total Nitrogen|All|Lab|21|0.0002|0.31|0.21|0.16675|0.124956719627237|514, 5002
1|Alligator Harbor Aquatic Preserve|2010|3|Total Nitrogen|All|Lab|21|0.00015|0.33|0.17|0.147692857142857|0.116473942070442|514, 5002
1|Alligator Harbor Aquatic Preserve|2010|5|Total Nitrogen|All|Lab|19|0.00029|0.52|0.32|0.249614210526316|0.207305898622082|514, 5002
