AreaID|ManagedAreaName|ProgramID|ProgramName|ProgramLocationID|ParameterName|RelativeDepth|ActivityType|EarliestSampleDate|LastSampleDate|N|Min|Max|Median|Mean|StandardDeviation
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-AL-HARBOR-3|Total Nitrogen|Bottom|Lab|2001-07-18|2010-10-13|17|0.17|0.79|0.34|0.411764705882353|0.18194213689102
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-AL-HARBOR-4|Total Nitrogen|Bottom|Lab|2001-07-18|2016-09-09|26|0.2|0.93|0.49|0.490769230769231|0.215368021338788
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-AL-HARBOR-5|Total Nitrogen|Bottom|Lab|2001-09-17|2016-09-09|24|0.17|0.88|0.44|0.4475|0.206781758509241
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-AL-HARBOR-6|Total Nitrogen|Bottom|Lab|2002-02-12|2010-01-22|15|0.15|0.85|0.45|0.471333333333333|0.229062270593662
1|Alligator Harbor Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-AL-HARBOR-7|Total Nitrogen|Bottom|Lab|2007-03-09|2016-05-09|5|0.16|0.25|0.2|0.202|0.0327108544675922
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbnut|Total Nitrogen|Bottom|Lab|2019-12-03|2019-12-03|1|0.404|0.404|0.404|0.404|
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebnut|Total Nitrogen|Bottom|Lab|2019-02-06|2019-03-25|2|0.404|0.876|0.64|0.64|0.33375440072005
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaegnut|Total Nitrogen|Bottom|Lab|2014-01-13|2019-12-03|3|0.67|0.9|0.76|0.776666666666667|0.115902257671425
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaesnut|Total Nitrogen|Bottom|Lab|2013-07-09|2019-12-03|13|0.404|1.417|0.67|0.800615384615385|0.331188903412523
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apambnut|Total Nitrogen|Bottom|Lab|2019-03-25|2019-12-03|2|0.41|0.73|0.57|0.57|0.226274169979695
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apanhnut|Total Nitrogen|Bottom|Lab|2013-07-09|2019-02-06|2|0.607|0.71|0.6585|0.6585|0.0728319984622144
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apapcnut|Total Nitrogen|Bottom|Lab|2013-09-04|2019-12-03|2|0.304|0.496|0.4|0.4|0.135764501987817
2|Apalachicola Bay Aquatic Preserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apawpnut|Total Nitrogen|Bottom|Lab|2013-09-04|2019-03-25|2|0.45|0.68|0.565|0.565|0.162634559672906
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-APALACBAY-2|Total Nitrogen|Bottom|Lab|2007-10-12|2008-03-12|3|0.22|0.48|0.34|0.346666666666667|0.130128141972954
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-APALACBAY-5|Total Nitrogen|Bottom|Lab|2008-01-14|2008-03-12|2|0.41|0.46|0.435|0.435|0.0353553390593274
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A1|Total Nitrogen|Bottom|Lab|2000-08-15|2001-04-24|8|0.524|0.72|0.704|0.663|0.0864076716170833
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A2|Total Nitrogen|Bottom|Lab|2000-08-15|2002-10-22|22|0.313|0.983|0.625|0.632090909090909|0.213237383725701
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A3|Total Nitrogen|Bottom|Lab|2000-08-15|2000-08-15|2|0.404|0.404|0.404|0.404|0
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A4|Total Nitrogen|Bottom|Lab|2000-08-16|2002-12-17|24|0.405|0.9|0.48|0.51875|0.135945721265639
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A5|Total Nitrogen|Bottom|Lab|2000-08-16|2001-04-24|6|0.574|0.73|0.64|0.648|0.0700399885779545
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A6|Total Nitrogen|Bottom|Lab|2000-08-16|2000-08-16|2|0.454|0.454|0.454|0.454|0
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A7|Total Nitrogen|Bottom|Lab|2000-08-16|2002-10-22|28|0.33|0.706|0.501|0.494071428571429|0.10938648050103
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A8|Total Nitrogen|Bottom|Lab|2000-08-15|2001-04-25|8|0.534|1.71|0.663|0.8925|0.509528353339775
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|STORET_21FLNWFD_A9|Total Nitrogen|Bottom|Lab|2000-08-15|2001-04-25|8|0.65|0.8|0.6975|0.71125|0.0629438525308753
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_G2TLHR0027|Total Nitrogen|Bottom|Lab|2020-08-05|2021-11-22|4|0.618|0.73|0.659|0.6665|0.0573265499863138
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_G2TLHR0035|Total Nitrogen|Bottom|Lab|2018-07-05|2018-07-05|1|0.58|0.58|0.58|0.58|
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_G2TLHR0036|Total Nitrogen|Bottom|Lab|2018-07-05|2018-11-28|2|0.459|0.54|0.4995|0.4995|0.0572756492761104
2|Apalachicola Bay Aquatic Preserve|5002|Florida STORET / WIN|WIN_21FLTLHR_G2TLHR0051|Total Nitrogen|Bottom|Lab|2022-01-06|2022-05-26|3|0.6|0.708|0.68|0.662666666666667|0.0560475988186232
3|Apalachicola National Estuarine Research Reserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apacpnut|Total Nitrogen|Bottom|Lab|2013-07-09|2019-03-25|5|0.304|0.666|0.44|0.496|0.149993333185179
3|Apalachicola National Estuarine Research Reserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apadbnut|Total Nitrogen|Bottom|Lab|2019-12-03|2019-12-03|1|0.404|0.404|0.404|0.404|
3|Apalachicola National Estuarine Research Reserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaebnut|Total Nitrogen|Bottom|Lab|2019-03-25|2019-03-25|1|0.404|0.404|0.404|0.404|
3|Apalachicola National Estuarine Research Reserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaegnut|Total Nitrogen|Bottom|Lab|2014-01-13|2019-12-03|3|0.67|0.9|0.76|0.776666666666667|0.115902257671425
3|Apalachicola National Estuarine Research Reserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apaesnut|Total Nitrogen|Bottom|Lab|2013-07-09|2019-03-25|12|0.515|1.417|0.72|0.840916666666667|0.315562256739915
3|Apalachicola National Estuarine Research Reserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apambnut|Total Nitrogen|Bottom|Lab|2019-03-25|2019-12-03|2|0.41|0.73|0.57|0.57|0.226274169979695
3|Apalachicola National Estuarine Research Reserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apanhnut|Total Nitrogen|Bottom|Lab|2013-07-09|2019-02-06|2|0.607|0.71|0.6585|0.6585|0.0728319984622144
3|Apalachicola National Estuarine Research Reserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apapcnut|Total Nitrogen|Bottom|Lab|2013-09-04|2019-03-25|2|0.398|0.496|0.447|0.447|0.0692964645562816
3|Apalachicola National Estuarine Research Reserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|aparvnut|Total Nitrogen|Bottom|Lab|2013-07-09|2014-02-10|5|0.71|0.97|0.74|0.786|0.105023806824929
3|Apalachicola National Estuarine Research Reserve|355|Apalachicola National Estuarine Research Reserve System-Wide Monitoring Program|apawpnut|Total Nitrogen|Bottom|Lab|2013-09-04|2013-09-04|1|0.68|0.68|0.68|0.68|
3|Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLGW_3524|Total Nitrogen|Bottom|Lab|2000-06-13|2000-06-13|2|0.63|0.63|0.63|0.63|0
3|Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-APALACBAY-1|Total Nitrogen|Bottom|Lab|2007-10-12|2007-10-12|1|0.35|0.35|0.35|0.35|
3|Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-APALACBAY-2|Total Nitrogen|Bottom|Lab|2007-08-09|2008-02-15|2|0.22|0.23|0.225|0.225|0.00707106781186548
3|Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-APALACBAY-3|Total Nitrogen|Bottom|Lab|2007-07-12|2008-06-13|5|0.25|0.45|0.35|0.34|0.0761577310586391
3|Apalachicola National Estuarine Research Reserve|5002|Florida STORET / WIN|STORET_21FLKWAT_FRA-APALACBAY-4|Total Nitrogen|Bottom|Lab|2007-06-13|2008-07-11|5|0.32|0.52|0.37|0.4|0.0908295106229247
