AreaID|ManagedAreaName|Year|Month|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
15|Florida Keys National Marine Sanctuary|1995|3|Total Nitrogen|Bottom|Sample|50|0.0668903|0.23190589|0.113568755|0.118237055|0.0332345533270263|297
15|Florida Keys National Marine Sanctuary|1995|5|Total Nitrogen|Bottom|Sample|33|0.10569591|0.2520851|0.13166106|0.141277596666667|0.0348240178758701|297
15|Florida Keys National Marine Sanctuary|1995|7|Total Nitrogen|Bottom|Sample|36|0.14075442|0.32914694|0.2059854|0.2133565975|0.0460928476342918|297
15|Florida Keys National Marine Sanctuary|1995|8|Total Nitrogen|Bottom|Sample|45|0.11192473|0.22920939|0.16323026|0.164776968|0.0229228455855309|297
15|Florida Keys National Marine Sanctuary|1995|11|Total Nitrogen|Bottom|Sample|28|0.08347993|0.15799558|0.12767107|0.124049338571429|0.0224293951978532|297
15|Florida Keys National Marine Sanctuary|1995|12|Total Nitrogen|Bottom|Sample|46|0.06064901|0.24749839|0.142378105|0.145459579782609|0.0464048898808283|297
15|Florida Keys National Marine Sanctuary|1996|3|Total Nitrogen|Bottom|Sample|75|0.07493585|0.31571102|0.15155249|0.159065688133333|0.0521860154776119|297
15|Florida Keys National Marine Sanctuary|1996|5|Total Nitrogen|Bottom|Sample|18|0.13222325|0.22844928|0.160936985|0.169807893333333|0.0271891315506823|297
15|Florida Keys National Marine Sanctuary|1996|7|Total Nitrogen|Bottom|Sample|71|0.11224129|0.27839017|0.18152543|0.183808484225352|0.0373582524926625|297
15|Florida Keys National Marine Sanctuary|1996|8|Total Nitrogen|Bottom|Sample|8|0.10997921|0.17731922|0.12969854|0.13287526|0.0204635027745433|297
15|Florida Keys National Marine Sanctuary|1996|11|Total Nitrogen|Bottom|Sample|29|0.09168786|0.20778739|0.13972984|0.138828955517241|0.0345438132847465|297
15|Florida Keys National Marine Sanctuary|1996|12|Total Nitrogen|Bottom|Sample|47|0.08767494|0.24371258|0.14922338|0.150468209148936|0.0352269664363374|297
15|Florida Keys National Marine Sanctuary|1997|3|Total Nitrogen|Bottom|Sample|29|0.10989241|0.22554275|0.14442574|0.150491223448276|0.0304952701956573|297
15|Florida Keys National Marine Sanctuary|1997|4|Total Nitrogen|Bottom|Sample|48|0.09903695|0.2148342|0.135417525|0.140713092708333|0.030014462647168|297
15|Florida Keys National Marine Sanctuary|1997|5|Total Nitrogen|Bottom|Sample|34|0.08521847|0.17790134|0.112572255|0.117219396176471|0.0207114066555612|297
15|Florida Keys National Marine Sanctuary|1997|6|Total Nitrogen|Bottom|Sample|49|0.10750268|0.40091139|0.15936361|0.175164553265306|0.0608347327906748|297
15|Florida Keys National Marine Sanctuary|1997|7|Total Nitrogen|Bottom|Sample|53|0.07585925|0.28765434|0.10637403|0.118599230377359|0.0405711811114024|297
15|Florida Keys National Marine Sanctuary|1997|8|Total Nitrogen|Bottom|Sample|24|0.08966877|0.23428406|0.12331733|0.1435727375|0.0459660693666234|297
15|Florida Keys National Marine Sanctuary|1997|10|Total Nitrogen|Bottom|Sample|80|0.0768026|0.3269749|0.100004635|0.112002014|0.0412910800657541|297
15|Florida Keys National Marine Sanctuary|1998|1|Total Nitrogen|Bottom|Sample|55|0.06327697|0.24446414|0.10645033|0.124574211818182|0.0472326891086508|297
15|Florida Keys National Marine Sanctuary|1998|2|Total Nitrogen|Bottom|Sample|26|0.07520524|0.28723872|0.11608281|0.130355889615385|0.0499142881745417|297
15|Florida Keys National Marine Sanctuary|1998|4|Total Nitrogen|Bottom|Sample|29|0.06678181|0.14545525|0.10981256|0.105783739310345|0.0207793585301255|297
15|Florida Keys National Marine Sanctuary|1998|5|Total Nitrogen|Bottom|Sample|53|0.08354533|0.34636772|0.11995626|0.136953437735849|0.0507235349762885|297
15|Florida Keys National Marine Sanctuary|1998|7|Total Nitrogen|Bottom|Sample|54|0.0806753|0.38377109|0.109924255|0.133813662777778|0.0629915958463618|297
15|Florida Keys National Marine Sanctuary|1998|8|Total Nitrogen|Bottom|Sample|26|0.11574252|0.24975274|0.135123955|0.147645798846154|0.0336829206810516|297
15|Florida Keys National Marine Sanctuary|1998|10|Total Nitrogen|Bottom|Sample|29|0.07691124|0.17127691|0.10970524|0.114974563448276|0.025824411471382|297
15|Florida Keys National Marine Sanctuary|1998|11|Total Nitrogen|Bottom|Sample|23|0.07124861|0.15161631|0.09220597|0.0991096760869565|0.019703068637494|297
15|Florida Keys National Marine Sanctuary|1999|1|Total Nitrogen|Bottom|Sample|55|0.0657315|0.20302821|0.11584602|0.118157816909091|0.034521231908442|297
15|Florida Keys National Marine Sanctuary|1999|2|Total Nitrogen|Bottom|Sample|27|0.06295482|0.2517362|0.09944391|0.116370496296296|0.0516339815801052|297
