AreaID|ManagedAreaName|Year|Month|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
1|Alligator Harbor Aquatic Preserve|2001|6|Total Nitrogen|Surface|Sample|12|0.00016|1.15|0.080575|0.308641666666667|0.398050561562983|514, 5002
1|Alligator Harbor Aquatic Preserve|2001|7|Total Nitrogen|Surface|Sample|12|0.00027|0.89|0.135445|0.323656666666667|0.369023170061751|514, 5002
1|Alligator Harbor Aquatic Preserve|2001|8|Total Nitrogen|Surface|Sample|12|0.00033|0.95|0.165475|0.358691666666667|0.403629757796409|514, 5002
1|Alligator Harbor Aquatic Preserve|2001|9|Total Nitrogen|Surface|Sample|12|0.00033|0.79|0.165395|0.284450833333333|0.321665380917905|514, 5002
1|Alligator Harbor Aquatic Preserve|2001|10|Total Nitrogen|Surface|Sample|12|0.00035|0.73|0.175365|0.276109166666667|0.307344445635315|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|2|Total Nitrogen|Surface|Sample|12|0.00013|0.28|0.06514|0.0867533333333333|0.0980197131688161|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|3|Total Nitrogen|Surface|Sample|12|0.00015|0.63|0.075315|0.175175|0.217457523731125|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|5|Total Nitrogen|Surface|Sample|12|0.00026|0.68|0.13034|0.226893333333333|0.267757419024057|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|6|Total Nitrogen|Surface|Sample|12|0.00029|0.82|0.14541|0.293626666666667|0.33045461843107|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|7|Total Nitrogen|Surface|Sample|12|0.00032|0.77|0.160385|0.286119166666667|0.324363994371596|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|8|Total Nitrogen|Surface|Sample|12|0.00026|0.93|0.130465|0.3003|0.354995696311941|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|10|Total Nitrogen|Surface|Sample|12|0.00038|0.72|0.19036|0.258591666666667|0.282805085682487|514, 5002
1|Alligator Harbor Aquatic Preserve|2002|12|Total Nitrogen|Surface|Sample|12|0.00019|0.37|0.095185|0.14014|0.152175095083382|514, 5002
1|Alligator Harbor Aquatic Preserve|2003|3|Total Nitrogen|Surface|Sample|12|0.00032|0.7|0.16035|0.245245|0.279359699686785|514, 5002
1|Alligator Harbor Aquatic Preserve|2006|1|Total Nitrogen|Surface|Sample|12|0.00015|0.24|0.07512|0.0992658333333333|0.106368046591098|514, 5002
1|Alligator Harbor Aquatic Preserve|2006|2|Total Nitrogen|Surface|Sample|12|0.00011|0.28|0.05514|0.0892558333333333|0.10352907720305|514, 5002
