AreaID|ManagedAreaName|Month|ParameterName|RelativeDepth|ActivityType|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
4|Banana River Aquatic Preserve|1|Total Suspended Solids, TSS|Bottom|All|7|7.3333|30|9|12.3632428571429|8.06133358960273|5002
4|Banana River Aquatic Preserve|2|Total Suspended Solids, TSS|Bottom|All|8|2.7|88|7.6|17.825|28.7728418577559|5002
4|Banana River Aquatic Preserve|3|Total Suspended Solids, TSS|Bottom|All|12|3.1|42|5.65|14.0583333333333|15.6725851167708|5002
4|Banana River Aquatic Preserve|4|Total Suspended Solids, TSS|Bottom|All|16|2|31.6|6|9.86458125|9.29702990954414|5002
4|Banana River Aquatic Preserve|5|Total Suspended Solids, TSS|Bottom|All|14|0|33|5.2|9.31428571428571|9.61047962805804|5002
4|Banana River Aquatic Preserve|6|Total Suspended Solids, TSS|Bottom|All|8|2|6|5|4.525|1.36878465383399|5002
4|Banana River Aquatic Preserve|7|Total Suspended Solids, TSS|Bottom|All|9|1.2|36|7.4|9.6|10.6366113024779|5002
4|Banana River Aquatic Preserve|8|Total Suspended Solids, TSS|Bottom|All|9|2|30|7.6|11.1|9.17496593999128|5002
4|Banana River Aquatic Preserve|9|Total Suspended Solids, TSS|Bottom|All|12|6.8|29|16.45|17.3039166666667|8.04595844574194|5002
4|Banana River Aquatic Preserve|10|Total Suspended Solids, TSS|Bottom|All|10|4|19.5|10.95|11.95|5.94124005013544|5002
4|Banana River Aquatic Preserve|11|Total Suspended Solids, TSS|Bottom|All|9|3.7|48.6047|12.2|19.4343777777778|17.2173908000587|5002
4|Banana River Aquatic Preserve|12|Total Suspended Solids, TSS|Bottom|All|9|4.1|13.8|10.4|9.75555555555556|3.80857949605595|5002
5|Big Bend Seagrasses Aquatic Preserve|1|Total Suspended Solids, TSS|Bottom|All|25|2|66|5|12.04|16.5289644765384|5002
5|Big Bend Seagrasses Aquatic Preserve|2|Total Suspended Solids, TSS|Bottom|All|17|1|33|4|5.58823529411765|7.3998211425126|5002
5|Big Bend Seagrasses Aquatic Preserve|3|Total Suspended Solids, TSS|Bottom|All|22|2|76|10|13.8181818181818|16.7606010905859|5002
5|Big Bend Seagrasses Aquatic Preserve|4|Total Suspended Solids, TSS|Bottom|All|31|0|36|4|8.41935483870968|9.23678946224783|5002
