AreaID|ManagedAreaName|Year|Month|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|1992|2|Total Suspended Solids, TSS|Surface|All|1|36|36|36|36||5002
2|Apalachicola Bay Aquatic Preserve|1992|5|Total Suspended Solids, TSS|Surface|All|1|28|28|28|28||5002
2|Apalachicola Bay Aquatic Preserve|2001|3|Total Suspended Solids, TSS|Surface|All|2|28|28|28|28|0|5002
2|Apalachicola Bay Aquatic Preserve|2001|4|Total Suspended Solids, TSS|Surface|All|6|15|29|17|20.3333333333333|6.77249338624016|5002
2|Apalachicola Bay Aquatic Preserve|2001|9|Total Suspended Solids, TSS|Surface|All|2|4|4|4|4|0|5002
2|Apalachicola Bay Aquatic Preserve|2007|2|Total Suspended Solids, TSS|Surface|All|12|4|165|44|58.6666666666667|63.1870719420204|5002
2|Apalachicola Bay Aquatic Preserve|2007|3|Total Suspended Solids, TSS|Surface|All|4|7|10|8.5|8.5|1.73205080756888|5002
2|Apalachicola Bay Aquatic Preserve|2007|5|Total Suspended Solids, TSS|Surface|All|2|12|12|12|12|0|5002
2|Apalachicola Bay Aquatic Preserve|2007|6|Total Suspended Solids, TSS|Surface|All|18|9|23|14|14.6666666666667|4.36564125065399|5002
2|Apalachicola Bay Aquatic Preserve|2007|7|Total Suspended Solids, TSS|Surface|All|8|5|19|11.5|11.75|5.31171212645092|5002
2|Apalachicola Bay Aquatic Preserve|2007|8|Total Suspended Solids, TSS|Surface|All|6|11|14|13|12.6666666666667|1.36626010212795|5002
2|Apalachicola Bay Aquatic Preserve|2007|9|Total Suspended Solids, TSS|Surface|All|10|9|39|18|19.8|10.7785795807137|5002
2|Apalachicola Bay Aquatic Preserve|2007|10|Total Suspended Solids, TSS|Surface|All|12|8|863|8.5|152|332.121007520397|5002
2|Apalachicola Bay Aquatic Preserve|2007|11|Total Suspended Solids, TSS|Surface|All|8|4|12|8.5|8.25|3.24037034920393|5002
2|Apalachicola Bay Aquatic Preserve|2007|12|Total Suspended Solids, TSS|Surface|All|16|4|11|4|6.25|3.0441200151549|5002
2|Apalachicola Bay Aquatic Preserve|2012|3|Total Suspended Solids, TSS|Surface|All|4|14|18|16|16|2.3094010767585|5002
2|Apalachicola Bay Aquatic Preserve|2012|5|Total Suspended Solids, TSS|Surface|All|4|6|38|22|22|18.475208614068|5002
2|Apalachicola Bay Aquatic Preserve|2012|9|Total Suspended Solids, TSS|Surface|All|4|13|25|19|19|6.92820323027551|5002
2|Apalachicola Bay Aquatic Preserve|2012|12|Total Suspended Solids, TSS|Surface|All|4|7|8|7.5|7.5|0.577350269189626|5002
2|Apalachicola Bay Aquatic Preserve|2013|4|Total Suspended Solids, TSS|Surface|All|4|9|17|13|13|4.61880215351701|5002
2|Apalachicola Bay Aquatic Preserve|2013|6|Total Suspended Solids, TSS|Surface|All|2|14|14|14|14|0|5002
2|Apalachicola Bay Aquatic Preserve|2013|7|Total Suspended Solids, TSS|Surface|All|21|5|20|11|11|3.53553390593274|355
2|Apalachicola Bay Aquatic Preserve|2013|8|Total Suspended Solids, TSS|Surface|All|5|6|10|8|8|1.4142135623731|355
2|Apalachicola Bay Aquatic Preserve|2013|9|Total Suspended Solids, TSS|Surface|All|20|3|8|6|5.9|1.0711528467276|355
2|Apalachicola Bay Aquatic Preserve|2013|10|Total Suspended Solids, TSS|Surface|All|36|4|30|10|10.6388888888889|5.45712000327634|355
2|Apalachicola Bay Aquatic Preserve|2013|12|Total Suspended Solids, TSS|Surface|All|19|3|16|8|7.57894736842105|3.33859234265122|355
2|Apalachicola Bay Aquatic Preserve|2014|1|Total Suspended Solids, TSS|Surface|All|18|3|30|22|18.0555555555556|9.05195605914722|355
2|Apalachicola Bay Aquatic Preserve|2014|2|Total Suspended Solids, TSS|Surface|All|19|3|13|8|7.52631578947368|3.13348263921988|355
2|Apalachicola Bay Aquatic Preserve|2014|3|Total Suspended Solids, TSS|Surface|All|21|3|25|14|14.4285714285714|5.89551887938143|355
2|Apalachicola Bay Aquatic Preserve|2014|4|Total Suspended Solids, TSS|Surface|All|19|4|13|8|7.73684210526316|2.74554397085649|355
2|Apalachicola Bay Aquatic Preserve|2014|5|Total Suspended Solids, TSS|Surface|All|21|2|10|4|4.47619047619048|1.86061945649957|355
2|Apalachicola Bay Aquatic Preserve|2014|6|Total Suspended Solids, TSS|Surface|All|8|5|20|9|10.5|4.95695759225642|355
2|Apalachicola Bay Aquatic Preserve|2014|7|Total Suspended Solids, TSS|Surface|All|21|3|28|9|9.38095238095238|5.0938805490136|355
2|Apalachicola Bay Aquatic Preserve|2014|8|Total Suspended Solids, TSS|Surface|All|19|3|21|12|12.5263157894737|5.76742211865378|355
2|Apalachicola Bay Aquatic Preserve|2014|9|Total Suspended Solids, TSS|Surface|All|21|4|46|12|13.3809523809524|10.2492740741781|355
2|Apalachicola Bay Aquatic Preserve|2014|10|Total Suspended Solids, TSS|Surface|All|40|4|22|10|10.45|4.39084128379599|355
2|Apalachicola Bay Aquatic Preserve|2014|12|Total Suspended Solids, TSS|Surface|All|16|3|12|7|7.3125|2.44182308941496|355
2|Apalachicola Bay Aquatic Preserve|2015|1|Total Suspended Solids, TSS|Surface|All|21|3|14|6|7|2.79284800875379|355
2|Apalachicola Bay Aquatic Preserve|2015|2|Total Suspended Solids, TSS|Surface|All|19|3|15|8|8.26315789473684|2.70477161211149|355
2|Apalachicola Bay Aquatic Preserve|2015|3|Total Suspended Solids, TSS|Surface|All|21|3|21|9|9.04761904761905|4.28341208006176|355
2|Apalachicola Bay Aquatic Preserve|2015|4|Total Suspended Solids, TSS|Surface|All|19|3|34|10|12.9473684210526|7.98243686136095|355
2|Apalachicola Bay Aquatic Preserve|2015|5|Total Suspended Solids, TSS|Surface|All|21|3|29|7|8.57142857142857|6.27352714644185|355
2|Apalachicola Bay Aquatic Preserve|2015|6|Total Suspended Solids, TSS|Surface|All|19|5|30|14|14.3157894736842|7.52811494465135|355
