AreaID|ManagedAreaName|Month|ParameterName|RelativeDepth|ActivityType|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
2|Apalachicola Bay Aquatic Preserve|1|Total Suspended Solids, TSS|All|Lab|118|2|30|8|10.0338983050847|6.04390234976554|355, 5002
2|Apalachicola Bay Aquatic Preserve|2|Total Suspended Solids, TSS|All|Lab|129|3|165|9|15.0387596899225|23.8237024504927|355, 5002
2|Apalachicola Bay Aquatic Preserve|3|Total Suspended Solids, TSS|All|Lab|121|3|33|10|12.1322314049587|7.52766248441964|355, 5002
2|Apalachicola Bay Aquatic Preserve|4|Total Suspended Solids, TSS|All|Lab|122|3|37|9|11.7950819672131|7.35064906853558|355, 5002
2|Apalachicola Bay Aquatic Preserve|5|Total Suspended Solids, TSS|All|Lab|144|2|83|8|11.5833333333333|11.1840920992236|355, 5002
2|Apalachicola Bay Aquatic Preserve|6|Total Suspended Solids, TSS|All|Lab|135|4|46|12|14.1111111111111|9.08144464366327|355, 5002
2|Apalachicola Bay Aquatic Preserve|7|Total Suspended Solids, TSS|All|Lab|149|3|43|12|14.5704697986577|8.90357886861737|355, 5002
2|Apalachicola Bay Aquatic Preserve|8|Total Suspended Solids, TSS|All|Lab|136|2|56|10|11.4705882352941|7.41164366882531|355, 5002
2|Apalachicola Bay Aquatic Preserve|9|Total Suspended Solids, TSS|All|Lab|155|3|46|9|10.9935483870968|7.06233541281021|355, 5002
2|Apalachicola Bay Aquatic Preserve|10|Total Suspended Solids, TSS|All|Lab|167|1|863|9|19.5868263473054|93.2404745294106|355, 5002
2|Apalachicola Bay Aquatic Preserve|11|Total Suspended Solids, TSS|All|Lab|143|3|70|7|9.21678321678322|7.99483976192589|355, 5002
2|Apalachicola Bay Aquatic Preserve|12|Total Suspended Solids, TSS|All|Lab|112|3|18|8|7.83928571428571|3.38931434621396|355, 5002
3|Apalachicola National Estuarine Research Reserve|1|Total Suspended Solids, TSS|All|Lab|239|2|257|9|24.7573221757322|48.9267985497574|355, 5002
3|Apalachicola National Estuarine Research Reserve|2|Total Suspended Solids, TSS|All|Lab|242|3|165|10|21.7768595041322|29.3089106310439|355, 5002
3|Apalachicola National Estuarine Research Reserve|3|Total Suspended Solids, TSS|All|Lab|190|3|52|10|12.6736842105263|8.54857530784687|355, 5002
3|Apalachicola National Estuarine Research Reserve|4|Total Suspended Solids, TSS|All|Lab|206|3|39|11|12.6796116504854|7.47968121432733|355, 5002
3|Apalachicola National Estuarine Research Reserve|5|Total Suspended Solids, TSS|All|Lab|240|2|83|11|12.7916666666667|9.64204168845462|355, 5002
3|Apalachicola National Estuarine Research Reserve|6|Total Suspended Solids, TSS|All|Lab|289|4|794|14|31.0276816608997|85.0448774207443|355, 5002
3|Apalachicola National Estuarine Research Reserve|7|Total Suspended Solids, TSS|All|Lab|247|2|849|12|22.1821862348178|76.4384231058456|355, 5002
3|Apalachicola National Estuarine Research Reserve|8|Total Suspended Solids, TSS|All|Lab|248|2|91|11|14.6733870967742|17.8344324606554|355, 5002
3|Apalachicola National Estuarine Research Reserve|9|Total Suspended Solids, TSS|All|Lab|245|3|46|11|11.7551020408163|6.80143009384881|355, 5002
3|Apalachicola National Estuarine Research Reserve|10|Total Suspended Solids, TSS|All|Lab|345|0|914|9|47.8405797101449|158.291277653124|355, 5002
3|Apalachicola National Estuarine Research Reserve|11|Total Suspended Solids, TSS|All|Lab|225|2|107|7|11.4755555555556|16.5605107370822|355, 5002
3|Apalachicola National Estuarine Research Reserve|12|Total Suspended Solids, TSS|All|Lab|176|3|108|8|9.50568181818182|11.2122367637663|355, 5002
4|Banana River Aquatic Preserve|1|Total Suspended Solids, TSS|All|Lab|212|1|180|9.2|13.1004853773585|14.5736711645371|5002
4|Banana River Aquatic Preserve|2|Total Suspended Solids, TSS|All|Lab|185|2.1|89|10|14.2437237837838|13.9104439388367|5002
4|Banana River Aquatic Preserve|3|Total Suspended Solids, TSS|All|Lab|211|1|59.8|11|14.1115327014218|11.4401252145379|5002
4|Banana River Aquatic Preserve|4|Total Suspended Solids, TSS|All|Lab|195|0|44|8|10.4663246153846|8.17204199542305|5002
4|Banana River Aquatic Preserve|5|Total Suspended Solids, TSS|All|Lab|201|0|100|9.6|11.9980099502488|10.7207600486113|5002
4|Banana River Aquatic Preserve|6|Total Suspended Solids, TSS|All|Lab|220|0|63|8.05|10.2654545454545|8.81697653024611|5002
4|Banana River Aquatic Preserve|7|Total Suspended Solids, TSS|All|Lab|194|1.2|62|10|12.7216494845361|10.3613893361338|5002
4|Banana River Aquatic Preserve|8|Total Suspended Solids, TSS|All|Lab|180|0|184|10.35|14.5205555555556|16.3534859428481|5002
4|Banana River Aquatic Preserve|9|Total Suspended Solids, TSS|All|Lab|190|1|58|12.5|14.6718263157895|9.72906127457778|5002
4|Banana River Aquatic Preserve|10|Total Suspended Solids, TSS|All|Lab|212|1.2|65|11|14.0283018867925|10.5514515047125|5002
4|Banana River Aquatic Preserve|11|Total Suspended Solids, TSS|All|Lab|199|0|52.5641|10|14.9473708542714|12.6253451474035|5002
4|Banana River Aquatic Preserve|12|Total Suspended Solids, TSS|All|Lab|207|0|124.61538|9.6|14.1276346376812|14.7180692458193|5002
5|Big Bend Seagrasses Aquatic Preserve|1|Total Suspended Solids, TSS|All|Lab|359|0|66|4|4.60612813370474|5.96694959596129|477, 5002
5|Big Bend Seagrasses Aquatic Preserve|2|Total Suspended Solids, TSS|All|Lab|339|0|36|4|4.64896755162242|4.89330757157858|5002
