AreaID|ManagedAreaName|Month|ParameterName|RelativeDepth|ActivityType|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
1|Alligator Harbor Aquatic Preserve|1|Turbidity|Surface|Lab|149|0.3|2.8|1|1.12281879194631|0.602758389739399|5002
1|Alligator Harbor Aquatic Preserve|2|Turbidity|Surface|Lab|291|0.5|16|2|2.68243986254296|2.24929534383211|5002
1|Alligator Harbor Aquatic Preserve|3|Turbidity|Surface|Lab|240|0.4|27|3.4|3.95120833333333|3.05863353797011|5002
1|Alligator Harbor Aquatic Preserve|4|Turbidity|Surface|Lab|370|1.6|35|7|7.78810810810811|4.8021245511839|5002
1|Alligator Harbor Aquatic Preserve|5|Turbidity|Surface|Lab|356|1.4|30|6.3|7.25814606741573|4.35872651527281|5002
1|Alligator Harbor Aquatic Preserve|6|Turbidity|Surface|Lab|432|0.9|22|5.3|6.11018518518519|3.23768958369033|5002
1|Alligator Harbor Aquatic Preserve|7|Turbidity|Surface|Lab|440|1|24|6|6.83340909090909|3.69544412191979|5002
1|Alligator Harbor Aquatic Preserve|8|Turbidity|Surface|Lab|296|2|31|7.8|8.78445945945946|4.60271420054626|5002
1|Alligator Harbor Aquatic Preserve|9|Turbidity|Surface|Lab|375|1.4|39|7|8.74853333333333|5.91215024930947|5002
1|Alligator Harbor Aquatic Preserve|10|Turbidity|Surface|Lab|318|1.1|23|5.55|6.8188679245283|4.08370107711533|5002
1|Alligator Harbor Aquatic Preserve|11|Turbidity|Surface|Lab|129|0.6|12|4.3|4.46798449612403|2.47262208364072|5002
1|Alligator Harbor Aquatic Preserve|12|Turbidity|Surface|Lab|145|0.44|19|3.8|4.22372413793103|2.85935743190173|5002
2|Apalachicola Bay Aquatic Preserve|1|Turbidity|Surface|Lab|1296|0.32|164|5.5|8.71179012345679|9.7637304981682|355, 5002
2|Apalachicola Bay Aquatic Preserve|2|Turbidity|Surface|Lab|1295|0.64|47|7.2|9.73349806949807|8.01065191423227|355, 5002
2|Apalachicola Bay Aquatic Preserve|3|Turbidity|Surface|Lab|1620|0.8|52|9.1|11.6826419753086|9.13776811426937|355, 5002
2|Apalachicola Bay Aquatic Preserve|4|Turbidity|Surface|Lab|1153|0.72|75|8.7|11.3422549869905|9.1049269198701|355, 5002
2|Apalachicola Bay Aquatic Preserve|5|Turbidity|Surface|Lab|1259|0.34|120|5.6|7.88161239078634|7.33516382368028|355, 5002
2|Apalachicola Bay Aquatic Preserve|6|Turbidity|Surface|Lab|1318|0.03|47.7|4.9|6.0698406676783|5.1111230458759|355, 5002
2|Apalachicola Bay Aquatic Preserve|7|Turbidity|Surface|Lab|1661|0.8|37|5.4|6.10432871763998|3.68308973361436|355, 5002
2|Apalachicola Bay Aquatic Preserve|8|Turbidity|Surface|Lab|2132|0.7|30|5.1|5.90614446529081|3.45414212864941|355, 5002
2|Apalachicola Bay Aquatic Preserve|9|Turbidity|Surface|Lab|1291|0.3|64|5.9|7.92638264910922|6.76428772137149|355, 5002
2|Apalachicola Bay Aquatic Preserve|10|Turbidity|Surface|Lab|973|0.1|39|5.3|7.20698869475848|5.94696717643613|355, 5002
2|Apalachicola Bay Aquatic Preserve|11|Turbidity|Surface|Lab|1056|0.78|40|3.5|4.97689393939394|4.41159078809804|355, 5002
2|Apalachicola Bay Aquatic Preserve|12|Turbidity|Surface|Lab|994|0.7|95|5.4|7.22993963782696|6.93313919738312|355, 5002
