AreaID,ManagedAreaName,ParameterName,RelativeDepth,ActivityType,N_Total,N_AnalysisUse,N_H,perc_H,N_I,perc_I,N_Q,perc_Q,N_S,perc_S,N_U,perc_U
2,Apalachicola Bay Aquatic Preserve,Turbidity,Bottom,Sample,9,0,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
3,Apalachicola National Estuarine Research Reserve,Turbidity,Bottom,Sample,17,17,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
4,Banana River Aquatic Preserve,Turbidity,Bottom,Sample,134,133,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
5,Big Bend Seagrasses Aquatic Preserve,Turbidity,Bottom,Sample,265,265,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
6,Biscayne Bay Aquatic Preserve,Turbidity,Bottom,Sample,15,15,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
8,Boca Ciega Bay Aquatic Preserve,Turbidity,Bottom,Sample,138,138,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
9,Cape Haze Aquatic Preserve,Turbidity,Bottom,Sample,50,0,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
10,Cape Romano-Ten Thousand Islands Aquatic Preserve,Turbidity,Bottom,Sample,23,23,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
11,Cockroach Bay Aquatic Preserve,Turbidity,Bottom,Sample,13,0,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
13,Coupon Bight Aquatic Preserve,Turbidity,Bottom,Sample,1,0,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
14,Estero Bay Aquatic Preserve,Turbidity,Bottom,Sample,23,0,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
15,Florida Keys National Marine Sanctuary,Turbidity,Bottom,Sample,17,17,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
17,Fort Pickens State Park Aquatic Preserve,Turbidity,Bottom,Sample,1,0,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
18,Gasparilla Sound-Charlotte Harbor Aquatic Preserve,Turbidity,Bottom,Sample,420,419,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
19,Guana River Marsh Aquatic Preserve,Turbidity,Bottom,Sample,66,66,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
20,Guana Tolomato Matanzas National Estuarine Research Reserve,Turbidity,Bottom,Sample,251,251,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
21,Indian River-Malabar to Vero Beach Aquatic Preserve,Turbidity,Bottom,Sample,231,230,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
22,Indian River-Vero Beach to Ft. Pierce Aquatic Preserve,Turbidity,Bottom,Sample,14,14,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
23,Jensen Beach to Jupiter Inlet Aquatic Preserve,Turbidity,Bottom,Sample,3,0,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
25,Lemon Bay Aquatic Preserve,Turbidity,Bottom,Sample,73,73,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
28,Matlacha Pass Aquatic Preserve,Turbidity,Bottom,Sample,2,0,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
29,Mosquito Lagoon Aquatic Preserve,Turbidity,Bottom,Sample,9,0,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
30,Nassau River-St. Johns River Marshes Aquatic Preserve,Turbidity,Bottom,Sample,4,0,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
48,Nature Coast Aquatic Preserve,Turbidity,Bottom,Sample,49,49,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
31,North Fork St. Lucie Aquatic Preserve,Turbidity,Bottom,Sample,1,0,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
33,Pellicer Creek Aquatic Preserve,Turbidity,Bottom,Sample,9,0,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
34,Pine Island Sound Aquatic Preserve,Turbidity,Bottom,Sample,70,68,0,0,868,14.3187066974596,27,0.445397558561531,0,0,22,0.362916529198284
