AreaID,ManagedAreaName,ParameterName,RelativeDepth,ActivityType,N_Total,N_AnalysisUse,N_H,perc_H,N_I,perc_I,N_Q,perc_Q,N_S,perc_S,N_U,perc_U
1,Alligator Harbor Aquatic Preserve,Turbidity,Surface,Sample,3540,3540,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
2,Apalachicola Bay Aquatic Preserve,Turbidity,Surface,Sample,15504,15504,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
3,Apalachicola National Estuarine Research Reserve,Turbidity,Surface,Sample,22862,22861,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
4,Banana River Aquatic Preserve,Turbidity,Surface,Sample,12853,12853,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
5,Big Bend Seagrasses Aquatic Preserve,Turbidity,Surface,Sample,41232,41216,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
6,Biscayne Bay Aquatic Preserve,Turbidity,Surface,Sample,8619,8583,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
8,Boca Ciega Bay Aquatic Preserve,Turbidity,Surface,Sample,5826,5826,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
9,Cape Haze Aquatic Preserve,Turbidity,Surface,Sample,1602,1597,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
10,Cape Romano-Ten Thousand Islands Aquatic Preserve,Turbidity,Surface,Sample,3390,3390,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
11,Cockroach Bay Aquatic Preserve,Turbidity,Surface,Sample,856,829,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
13,Coupon Bight Aquatic Preserve,Turbidity,Surface,Sample,31,0,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
14,Estero Bay Aquatic Preserve,Turbidity,Surface,Sample,517,490,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
15,Florida Keys National Marine Sanctuary,Turbidity,Surface,Sample,1598,1590,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
16,Fort Clinch State Park Aquatic Preserve,Turbidity,Surface,Sample,34,0,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
17,Fort Pickens State Park Aquatic Preserve,Turbidity,Surface,Sample,309,309,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
18,Gasparilla Sound-Charlotte Harbor Aquatic Preserve,Turbidity,Surface,Sample,8823,8786,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
19,Guana River Marsh Aquatic Preserve,Turbidity,Surface,Sample,4775,4769,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
20,Guana Tolomato Matanzas National Estuarine Research Reserve,Turbidity,Surface,Sample,14235,14227,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
21,Indian River-Malabar to Vero Beach Aquatic Preserve,Turbidity,Surface,Sample,13821,13798,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
22,Indian River-Vero Beach to Ft. Pierce Aquatic Preserve,Turbidity,Surface,Sample,3764,3744,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
23,Jensen Beach to Jupiter Inlet Aquatic Preserve,Turbidity,Surface,Sample,474,474,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
25,Lemon Bay Aquatic Preserve,Turbidity,Surface,Sample,4431,4406,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
26,Lignumvitae Key Aquatic Preserve,Turbidity,Surface,Sample,55,0,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
27,Loxahatchee River-Lake Worth Creek Aquatic Preserve,Turbidity,Surface,Sample,3716,3716,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
28,Matlacha Pass Aquatic Preserve,Turbidity,Surface,Sample,1843,1827,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
29,Mosquito Lagoon Aquatic Preserve,Turbidity,Surface,Sample,3404,3400,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
30,Nassau River-St. Johns River Marshes Aquatic Preserve,Turbidity,Surface,Sample,344,344,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
48,Nature Coast Aquatic Preserve,Turbidity,Surface,Sample,1023,1023,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
31,North Fork St. Lucie Aquatic Preserve,Turbidity,Surface,Sample,254,254,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
33,Pellicer Creek Aquatic Preserve,Turbidity,Surface,Sample,141,0,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
34,Pine Island Sound Aquatic Preserve,Turbidity,Surface,Sample,4303,4252,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
35,Pinellas County Aquatic Preserve,Turbidity,Surface,Sample,15996,15980,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
37,Rocky Bayou State Park Aquatic Preserve,Turbidity,Surface,Sample,119,119,0,0,3549,1.59177247834804,520,0.233226736754291,0,0,238,0.106746083360618
