AreaID|ManagedAreaName|Month|ParameterName|RelativeDepth|ActivityType|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
1|Alligator Harbor Aquatic Preserve|1|Turbidity|Surface|Sample|149|0.3|2.8|1|1.12281879194631|0.602758389739399|5002
1|Alligator Harbor Aquatic Preserve|2|Turbidity|Surface|Sample|291|0.5|16|2|2.68243986254296|2.24929534383211|5002
1|Alligator Harbor Aquatic Preserve|3|Turbidity|Surface|Sample|240|0.4|27|3.4|3.95120833333333|3.05863353797011|5002
1|Alligator Harbor Aquatic Preserve|4|Turbidity|Surface|Sample|370|1.6|35|7|7.78810810810811|4.8021245511839|5002
1|Alligator Harbor Aquatic Preserve|5|Turbidity|Surface|Sample|356|1.4|30|6.3|7.25814606741573|4.35872651527281|5002
1|Alligator Harbor Aquatic Preserve|6|Turbidity|Surface|Sample|431|0.9|22|5.3|6.10742459396752|3.24094310179431|5002
1|Alligator Harbor Aquatic Preserve|7|Turbidity|Surface|Sample|440|1|24|6|6.83340909090909|3.69544412191979|5002
1|Alligator Harbor Aquatic Preserve|8|Turbidity|Surface|Sample|296|2|31|7.8|8.78445945945946|4.60271420054626|5002
1|Alligator Harbor Aquatic Preserve|9|Turbidity|Surface|Sample|375|1.4|39|7|8.74853333333333|5.91215024930947|5002
1|Alligator Harbor Aquatic Preserve|10|Turbidity|Surface|Sample|318|1.1|23|5.55|6.8188679245283|4.08370107711533|5002
1|Alligator Harbor Aquatic Preserve|11|Turbidity|Surface|Sample|129|0.6|12|4.3|4.46798449612403|2.47262208364072|5002
1|Alligator Harbor Aquatic Preserve|12|Turbidity|Surface|Sample|145|0.44|19|3.8|4.22372413793103|2.85935743190173|5002
2|Apalachicola Bay Aquatic Preserve|1|Turbidity|Surface|Sample|1234|0.32|164|5.4|8.6118152350081|9.83532640669622|5002
2|Apalachicola Bay Aquatic Preserve|2|Turbidity|Surface|Sample|1246|0.64|47|7.2|9.75640449438202|8.0678659083408|5002
2|Apalachicola Bay Aquatic Preserve|3|Turbidity|Surface|Sample|1567|0.8|52|9.1|11.6391065730696|9.0013889501952|5002
2|Apalachicola Bay Aquatic Preserve|4|Turbidity|Surface|Sample|1098|0.72|47|8.6|11.1522950819672|8.64379900697142|5002
2|Apalachicola Bay Aquatic Preserve|5|Turbidity|Surface|Sample|1211|0.34|120|5.4|7.62605284888522|7.07009802336676|5002
2|Apalachicola Bay Aquatic Preserve|6|Turbidity|Surface|Sample|1276|0.03|46|4.8|5.87887931034483|4.78622229332371|5002
2|Apalachicola Bay Aquatic Preserve|7|Turbidity|Surface|Sample|1628|0.8|37|5.4|6.04231572481573|3.62899721077586|5002
2|Apalachicola Bay Aquatic Preserve|8|Turbidity|Surface|Sample|2079|0.7|30|5.1|5.82159692159692|3.35410916141805|5002
2|Apalachicola Bay Aquatic Preserve|9|Turbidity|Surface|Sample|1253|0.3|64|5.8|7.89350359138069|6.82468004839541|5002
2|Apalachicola Bay Aquatic Preserve|10|Turbidity|Surface|Sample|935|0.1|39|5.3|7.15732620320856|5.99669196062007|5002
2|Apalachicola Bay Aquatic Preserve|11|Turbidity|Surface|Sample|1000|0.78|40|3.4|4.8043|4.36174629486181|5002
2|Apalachicola Bay Aquatic Preserve|12|Turbidity|Surface|Sample|977|0.7|95|5.2|7.18368474923234|6.98533014455179|5002
3|Apalachicola National Estuarine Research Reserve|1|Turbidity|Surface|Sample|2108|0.32|164|4.9|7.71538425047438|8.68012861872269|5002
3|Apalachicola National Estuarine Research Reserve|2|Turbidity|Surface|Sample|2123|0.56|50|6.4|8.95067357512953|7.7941870403268|5002
3|Apalachicola National Estuarine Research Reserve|3|Turbidity|Surface|Sample|2514|0.8|52|7|9.95144789180589|8.56504739160289|5002
3|Apalachicola National Estuarine Research Reserve|4|Turbidity|Surface|Sample|1912|0.4|49|6.9|9.86963389121339|8.3431161001422|5002
3|Apalachicola National Estuarine Research Reserve|5|Turbidity|Surface|Sample|1767|0.34|120|5.1|7.07594227504245|6.41613424104869|5002
3|Apalachicola National Estuarine Research Reserve|6|Turbidity|Surface|Sample|1624|0.03|46|4.6|5.69715517241379|4.71865985920255|5002
3|Apalachicola National Estuarine Research Reserve|7|Turbidity|Surface|Sample|1891|0.8|37|5.3|5.9286039132734|3.62577478779576|5002
3|Apalachicola National Estuarine Research Reserve|8|Turbidity|Surface|Sample|2526|0.7|30|4.9|5.59931116389549|3.32120736732924|5002
3|Apalachicola National Estuarine Research Reserve|9|Turbidity|Surface|Sample|1748|0.3|64|5.2|7.03715102974828|6.2649730622858|5002
3|Apalachicola National Estuarine Research Reserve|10|Turbidity|Surface|Sample|1597|0.1|39|4.6|6.14745147150908|5.36520950310528|5002
3|Apalachicola National Estuarine Research Reserve|11|Turbidity|Surface|Sample|1511|0.5|40|3|4.16566512243547|3.86457241336139|5002
3|Apalachicola National Estuarine Research Reserve|12|Turbidity|Surface|Sample|1540|0.48|95|4.6|6.55190909090909|6.4522320050879|5002
4|Banana River Aquatic Preserve|1|Turbidity|Surface|Sample|861|0.22|16.03841|3.9|4.21388744483159|2.36326827511674|5002
4|Banana River Aquatic Preserve|2|Turbidity|Surface|Sample|1267|0.19|33|3.8|4.39616298342541|2.93515510292672|5002
4|Banana River Aquatic Preserve|3|Turbidity|Surface|Sample|990|0.5|32|3.4|4.45835477777778|3.82792631180468|540, 5002
4|Banana River Aquatic Preserve|4|Turbidity|Surface|Sample|1157|0.45|16.5|2.9|3.65297844425238|2.42113411990668|5002
4|Banana River Aquatic Preserve|5|Turbidity|Surface|Sample|1417|0.30542|23|2.8|3.45343616090332|2.32967850316582|5002
4|Banana River Aquatic Preserve|6|Turbidity|Surface|Sample|1136|0.2|18|2.56352|2.9631076584507|1.86431994967006|5002
4|Banana River Aquatic Preserve|7|Turbidity|Surface|Sample|1107|0.43406|23|2.8|3.23997142728094|2.29103445388438|5002
4|Banana River Aquatic Preserve|8|Turbidity|Surface|Sample|1350|0.5|13|3.4|3.84564805925926|2.0756644526608|5002
4|Banana River Aquatic Preserve|9|Turbidity|Surface|Sample|775|0.15|14.53331|2.9|3.33402949677419|1.94886529395149|5002
4|Banana River Aquatic Preserve|10|Turbidity|Surface|Sample|1262|0.04|34.76726|3.1|3.39511275752773|1.97355343483502|5002
4|Banana River Aquatic Preserve|11|Turbidity|Surface|Sample|906|0.1|55.12259|3.2|3.72742695364238|3.23620101880431|5002
4|Banana River Aquatic Preserve|12|Turbidity|Surface|Sample|625|0.3|55.45407|4|4.650067168|4.13065855564399|540, 5002
5|Big Bend Seagrasses Aquatic Preserve|1|Turbidity|Surface|Sample|2997|0.1|40|2.6|3.87025025025025|4.18712111301518|5002
5|Big Bend Seagrasses Aquatic Preserve|2|Turbidity|Surface|Sample|3118|0.1|98.8|2.9|4.37055955099423|5.65453303929639|477, 5002
5|Big Bend Seagrasses Aquatic Preserve|3|Turbidity|Surface|Sample|3851|0.03|124|3.7|5.8215432407167|6.80481246733443|477, 5002
5|Big Bend Seagrasses Aquatic Preserve|4|Turbidity|Surface|Sample|3553|0.01|49|4.1|6.40344068111455|6.57255641590071|5002
5|Big Bend Seagrasses Aquatic Preserve|5|Turbidity|Surface|Sample|3475|0.1|131.4|4.2|6.43509090071942|6.89127516375746|477, 5002
5|Big Bend Seagrasses Aquatic Preserve|6|Turbidity|Surface|Sample|2968|0.02|41|3.6|5.1860455828841|5.01305364469201|477, 5002
5|Big Bend Seagrasses Aquatic Preserve|7|Turbidity|Surface|Sample|3642|0.07|38|3.4|5.00722570840198|4.64823906979734|540, 5002
5|Big Bend Seagrasses Aquatic Preserve|8|Turbidity|Surface|Sample|4072|0.1|54.1|3.9|5.747638521611|5.55030761466353|477, 5002
5|Big Bend Seagrasses Aquatic Preserve|9|Turbidity|Surface|Sample|3461|0.1|43.5|4.6|6.89063519503034|6.53236522472959|477, 540, 5002
5|Big Bend Seagrasses Aquatic Preserve|10|Turbidity|Surface|Sample|3876|0|129.1|4|6.00628173374613|6.5042251171032|5002
5|Big Bend Seagrasses Aquatic Preserve|11|Turbidity|Surface|Sample|3194|0.1|46|2.9|4.48739523481528|4.69158076366556|477, 540, 5002
5|Big Bend Seagrasses Aquatic Preserve|12|Turbidity|Surface|Sample|3009|0.03|50|2.5|3.61177473579262|3.65690297196136|477, 540, 5002
6|Biscayne Bay Aquatic Preserve|1|Turbidity|Surface|Sample|720|0.1|25.4|0.9|1.32813888888889|1.54694706120424|5002
6|Biscayne Bay Aquatic Preserve|2|Turbidity|Surface|Sample|607|0.1|23.8|0.7|1.15728171334432|1.65346910780747|5002
6|Biscayne Bay Aquatic Preserve|3|Turbidity|Surface|Sample|746|0.002|32|0.8|1.24227211796247|1.76596474451574|5002
6|Biscayne Bay Aquatic Preserve|4|Turbidity|Surface|Sample|668|0.1|24|0.7|1.11013473053892|1.36956503227213|5002
6|Biscayne Bay Aquatic Preserve|5|Turbidity|Surface|Sample|760|0.1|18.8|0.83|1.30207894736842|1.37639698599671|5002
6|Biscayne Bay Aquatic Preserve|6|Turbidity|Surface|Sample|664|0.1|5.6|0.7|1.02147590361446|0.876931398771603|5002
6|Biscayne Bay Aquatic Preserve|7|Turbidity|Surface|Sample|761|0.1|13.1|0.9|1.16203679369251|1.05814705410833|5002
6|Biscayne Bay Aquatic Preserve|8|Turbidity|Surface|Sample|699|0.01|23.8|0.8|1.19189413447783|1.64943270449452|5002
6|Biscayne Bay Aquatic Preserve|9|Turbidity|Surface|Sample|809|0.01|9.6|0.7|1.03639307787392|1.03888767689272|5002
6|Biscayne Bay Aquatic Preserve|10|Turbidity|Surface|Sample|686|0.1|64.3|0.7|1.13818221574344|3.0175677715339|5002
6|Biscayne Bay Aquatic Preserve|11|Turbidity|Surface|Sample|787|0.08|17.8|0.9|1.26843710292249|1.50950263013264|5002
6|Biscayne Bay Aquatic Preserve|12|Turbidity|Surface|Sample|676|0.1|8.6|0.7|1.14152366863905|1.1391467441134|5002
8|Boca Ciega Bay Aquatic Preserve|1|Turbidity|Surface|Sample|435|0.43|28|2.8|3.85503448275862|3.7581171364462|5002
8|Boca Ciega Bay Aquatic Preserve|2|Turbidity|Surface|Sample|379|0.31|40|3|4.14775725593668|4.12159264231358|5002
8|Boca Ciega Bay Aquatic Preserve|3|Turbidity|Surface|Sample|511|0.34|29|2.9|4.4987084148728|4.79029143727468|5002
8|Boca Ciega Bay Aquatic Preserve|4|Turbidity|Surface|Sample|385|0.23|32|2|2.75374025974026|2.86889606292374|5002
8|Boca Ciega Bay Aquatic Preserve|5|Turbidity|Surface|Sample|588|0.1|29|2.1|3.48251700680272|3.59357951854397|5002
8|Boca Ciega Bay Aquatic Preserve|6|Turbidity|Surface|Sample|489|0.3|27.4|2.4|3.09775051124744|2.63234060497091|5002
8|Boca Ciega Bay Aquatic Preserve|7|Turbidity|Surface|Sample|468|0.03|18|2.7|3.56363247863248|2.65763053359109|5002
8|Boca Ciega Bay Aquatic Preserve|8|Turbidity|Surface|Sample|449|0.2|38|2.3|3.19420935412027|3.1889012831339|5002
8|Boca Ciega Bay Aquatic Preserve|9|Turbidity|Surface|Sample|640|0.12|18|2|2.921828125|2.74791289731435|5002
8|Boca Ciega Bay Aquatic Preserve|10|Turbidity|Surface|Sample|527|0.21|25|2.1|3.07899430740038|2.94898866694367|5002
8|Boca Ciega Bay Aquatic Preserve|11|Turbidity|Surface|Sample|407|0.5|27|1.9|2.63808353808354|2.40332933336857|5002
8|Boca Ciega Bay Aquatic Preserve|12|Turbidity|Surface|Sample|548|0.14|38|2.7|3.8381204379562|4.26894910282455|5002
9|Cape Haze Aquatic Preserve|1|Turbidity|Surface|Sample|104|0.52|34|2.15|3.68894230769231|5.25052413810227|476, 479, 5002
9|Cape Haze Aquatic Preserve|2|Turbidity|Surface|Sample|111|0.5|17.7|2|2.88855855855856|2.85245471539127|479, 5002
9|Cape Haze Aquatic Preserve|3|Turbidity|Surface|Sample|113|0.6|15.6|2.2|3.07353982300885|2.5556551160242|476, 479, 513, 5002
9|Cape Haze Aquatic Preserve|4|Turbidity|Surface|Sample|136|0.5|32|2|3.50963235294118|4.46995938470043|476, 479, 5002
9|Cape Haze Aquatic Preserve|5|Turbidity|Surface|Sample|147|0.64|13|2|2.61761904761905|2.25405459127693|476, 479, 5002
9|Cape Haze Aquatic Preserve|6|Turbidity|Surface|Sample|148|0.1|11.4|2.4|2.90601351351351|2.19089946423864|476, 479, 5002
9|Cape Haze Aquatic Preserve|7|Turbidity|Surface|Sample|209|0.9|15|2.4|2.83133971291866|1.87510541355011|479, 5002
9|Cape Haze Aquatic Preserve|8|Turbidity|Surface|Sample|144|0.8|24|2.4|3.22020833333333|2.86011160933139|479, 5002
9|Cape Haze Aquatic Preserve|9|Turbidity|Surface|Sample|143|0.29|10|2.18|2.70853146853147|1.89706962980824|476, 479, 5002
9|Cape Haze Aquatic Preserve|10|Turbidity|Surface|Sample|127|0.65|13|2.2|2.57267716535433|1.7802650278972|476, 479, 5002
9|Cape Haze Aquatic Preserve|11|Turbidity|Surface|Sample|111|0.63|11|2.24|2.71279279279279|1.74623916469401|476, 479, 513, 5002
9|Cape Haze Aquatic Preserve|12|Turbidity|Surface|Sample|104|0.29|11|1.8|2.40817307692308|2.20678730787104|476, 479, 5002
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|1|Turbidity|Surface|Sample|301|0.15|31|3|4.42893687707641|4.78192841498095|509, 5002
10|Cape Romano-Ten Thousand Islands Aquatic Preserve|2|Turbidity|Surface|Sample|249|0.5|39|3.5|6.04074297188755|6.88242295386794|509, 5002
