AreaID|ManagedAreaName|Year|ParameterName|RelativeDepth|ActivityType|N|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
1|Alligator Harbor Aquatic Preserve|1998|Turbidity|Surface|Sample|144|1.3|19|5|5.32777777777778|2.62256065665304|5002
1|Alligator Harbor Aquatic Preserve|1999|Turbidity|Surface|Sample|753|0.75|20|4.9|5.80310756972112|3.60441712028134|5002
1|Alligator Harbor Aquatic Preserve|2000|Turbidity|Surface|Sample|281|0.56|33|5.6|7.28669039145908|6.41292323082964|5002
1|Alligator Harbor Aquatic Preserve|2001|Turbidity|Surface|Sample|149|0.53|35|6.8|7.81248322147651|5.06698053725483|5002
1|Alligator Harbor Aquatic Preserve|2002|Turbidity|Surface|Sample|266|0.4|23|5.5|6.34372180451128|5.42613883896033|5002
1|Alligator Harbor Aquatic Preserve|2003|Turbidity|Surface|Sample|300|0.5|39|8.3|8.76833333333333|5.69246317618859|5002
1|Alligator Harbor Aquatic Preserve|2004|Turbidity|Surface|Sample|263|1.9|31|7.2|8.28897338403042|4.15611295518246|5002
1|Alligator Harbor Aquatic Preserve|2005|Turbidity|Surface|Sample|148|0.8|27|6.25|7.85337837837838|5.78928655786299|5002
1|Alligator Harbor Aquatic Preserve|2006|Turbidity|Surface|Sample|323|0.6|27|5.4|5.55232198142415|3.44129370377382|5002
1|Alligator Harbor Aquatic Preserve|2007|Turbidity|Surface|Sample|209|0.5|14|5.2|5.37703349282297|2.8271773099935|5002
1|Alligator Harbor Aquatic Preserve|2008|Turbidity|Surface|Sample|189|0.8|30|4.7|5.82751322751323|4.62871296114652|5002
1|Alligator Harbor Aquatic Preserve|2009|Turbidity|Surface|Sample|252|0.3|12|4.2|4.19761904761905|2.20968402081089|5002
1|Alligator Harbor Aquatic Preserve|2010|Turbidity|Surface|Sample|188|0.4|15|4.15|4.32074468085106|2.20348423139194|5002
1|Alligator Harbor Aquatic Preserve|2011|Turbidity|Surface|Sample|59|1.4|9.7|3.9|4.22542372881356|1.66003668637681|5002
1|Alligator Harbor Aquatic Preserve|2019|Turbidity|Surface|Sample|5|0.9|13|7.2|6.38|4.5947796465119|5002
1|Alligator Harbor Aquatic Preserve|2020|Turbidity|Surface|Sample|5|2|13|7.9|7.8|3.98308925333089|5002
1|Alligator Harbor Aquatic Preserve|2021|Turbidity|Surface|Sample|5|0.4|8.4|3.3|3.7|3.16701752442262|5002
1|Alligator Harbor Aquatic Preserve|2022|Turbidity|Surface|Sample|1|2.6|2.6|2.6|2.6||5002
2|Apalachicola Bay Aquatic Preserve|1992|Turbidity|Surface|Sample|2|18|24|21|21|4.24264068711929|5002
2|Apalachicola Bay Aquatic Preserve|1995|Turbidity|Surface|Sample|1236|0.7|40|4.2|6.53974110032362|6.28368090874101|5002
2|Apalachicola Bay Aquatic Preserve|1996|Turbidity|Surface|Sample|1421|0.64|40|4.4|6.57711470795215|6.2602991294629|5002
2|Apalachicola Bay Aquatic Preserve|1997|Turbidity|Surface|Sample|1181|0.34|40|4.2|6.03596951735817|5.72107006813356|5002
2|Apalachicola Bay Aquatic Preserve|1998|Turbidity|Surface|Sample|1677|0.72|40|7.6|10.9255336911151|8.41453449928786|5002
2|Apalachicola Bay Aquatic Preserve|1999|Turbidity|Surface|Sample|767|0.03|38|6.3|7.40718383311604|5.41071952632291|5002
2|Apalachicola Bay Aquatic Preserve|2000|Turbidity|Surface|Sample|703|0.8|40|6.6|8.90384068278805|6.82936090811785|5002
2|Apalachicola Bay Aquatic Preserve|2001|Turbidity|Surface|Sample|832|1.4|40|8.1|9.99182692307692|6.74355817970579|5002
2|Apalachicola Bay Aquatic Preserve|2002|Turbidity|Surface|Sample|609|1.1|40|6.9|9.27717569786535|7.28562851095714|5002
