AreaID,ManagedAreaName,ParameterName,RelativeDepth,ActivityType,N_Total,N_AnalysisUse,N_H,perc_H,N_I,perc_I,N_Q,perc_Q,N_S,perc_S,N_U,perc_U
1,Alligator Harbor Aquatic Preserve,pH,Bottom,Field,96,96,0,0,0,0,8,0.0175073859284386,0,0,0,0
2,Apalachicola Bay Aquatic Preserve,pH,Bottom,Field,685,685,0,0,0,0,8,0.0175073859284386,0,0,0,0
3,Apalachicola National Estuarine Research Reserve,pH,Bottom,Field,1108,1107,0,0,0,0,8,0.0175073859284386,0,0,0,0
4,Banana River Aquatic Preserve,pH,Bottom,Field,1158,1144,0,0,0,0,8,0.0175073859284386,0,0,0,0
5,Big Bend Seagrasses Aquatic Preserve,pH,Bottom,Field,2296,2288,0,0,0,0,8,0.0175073859284386,0,0,0,0
6,Biscayne Bay Aquatic Preserve,pH,Bottom,Field,209,207,0,0,0,0,8,0.0175073859284386,0,0,0,0
8,Boca Ciega Bay Aquatic Preserve,pH,Bottom,Field,4495,4491,0,0,0,0,8,0.0175073859284386,0,0,0,0
9,Cape Haze Aquatic Preserve,pH,Bottom,Field,358,358,0,0,0,0,8,0.0175073859284386,0,0,0,0
10,Cape Romano-Ten Thousand Islands Aquatic Preserve,pH,Bottom,Field,37,37,0,0,0,0,8,0.0175073859284386,0,0,0,0
11,Cockroach Bay Aquatic Preserve,pH,Bottom,Field,3716,3680,0,0,0,0,8,0.0175073859284386,0,0,0,0
13,Coupon Bight Aquatic Preserve,pH,Bottom,Field,2,0,0,0,0,0,8,0.0175073859284386,0,0,0,0
14,Estero Bay Aquatic Preserve,pH,Bottom,Field,199,186,0,0,0,0,8,0.0175073859284386,0,0,0,0
15,Florida Keys National Marine Sanctuary,pH,Bottom,Field,1894,1894,0,0,0,0,8,0.0175073859284386,0,0,0,0
16,Fort Clinch State Park Aquatic Preserve,pH,Bottom,Field,30,30,0,0,0,0,8,0.0175073859284386,0,0,0,0
17,Fort Pickens State Park Aquatic Preserve,pH,Bottom,Field,17,17,0,0,0,0,8,0.0175073859284386,0,0,0,0
18,Gasparilla Sound-Charlotte Harbor Aquatic Preserve,pH,Bottom,Field,3452,3445,0,0,0,0,8,0.0175073859284386,0,0,0,0
19,Guana River Marsh Aquatic Preserve,pH,Bottom,Field,725,718,0,0,0,0,8,0.0175073859284386,0,0,0,0
20,Guana Tolomato Matanzas National Estuarine Research Reserve,pH,Bottom,Field,1494,1474,0,0,0,0,8,0.0175073859284386,0,0,0,0
21,Indian River-Malabar to Vero Beach Aquatic Preserve,pH,Bottom,Field,4187,4108,0,0,0,0,8,0.0175073859284386,0,0,0,0
22,Indian River-Vero Beach to Ft. Pierce Aquatic Preserve,pH,Bottom,Field,340,328,0,0,0,0,8,0.0175073859284386,0,0,0,0
23,Jensen Beach to Jupiter Inlet Aquatic Preserve,pH,Bottom,Field,469,469,0,0,0,0,8,0.0175073859284386,0,0,0,0
25,Lemon Bay Aquatic Preserve,pH,Bottom,Field,388,387,0,0,0,0,8,0.0175073859284386,0,0,0,0
26,Lignumvitae Key Aquatic Preserve,pH,Bottom,Field,64,0,0,0,0,0,8,0.0175073859284386,0,0,0,0
27,Loxahatchee River-Lake Worth Creek Aquatic Preserve,pH,Bottom,Field,312,312,0,0,0,0,8,0.0175073859284386,0,0,0,0
28,Matlacha Pass Aquatic Preserve,pH,Bottom,Field,311,310,0,0,0,0,8,0.0175073859284386,0,0,0,0
29,Mosquito Lagoon Aquatic Preserve,pH,Bottom,Field,281,280,0,0,0,0,8,0.0175073859284386,0,0,0,0
30,Nassau River-St. Johns River Marshes Aquatic Preserve,pH,Bottom,Field,543,538,0,0,0,0,8,0.0175073859284386,0,0,0,0
48,Nature Coast Aquatic Preserve,pH,Bottom,Field,227,227,0,0,0,0,8,0.0175073859284386,0,0,0,0
31,North Fork St. Lucie Aquatic Preserve,pH,Bottom,Field,56,56,0,0,0,0,8,0.0175073859284386,0,0,0,0
33,Pellicer Creek Aquatic Preserve,pH,Bottom,Field,66,65,0,0,0,0,8,0.0175073859284386,0,0,0,0
34,Pine Island Sound Aquatic Preserve,pH,Bottom,Field,414,401,0,0,0,0,8,0.0175073859284386,0,0,0,0
35,Pinellas County Aquatic Preserve,pH,Bottom,Field,13243,13190,0,0,0,0,8,0.0175073859284386,0,0,0,0
37,Rocky Bayou State Park Aquatic Preserve,pH,Bottom,Field,258,258,0,0,0,0,8,0.0175073859284386,0,0,0,0
38,Rookery Bay Aquatic Preserve,pH,Bottom,Field,28,0,0,0,0,0,8,0.0175073859284386,0,0,0,0
39,Rookery Bay National Estuarine Research Reserve,pH,Bottom,Field,46,46,0,0,0,0,8,0.0175073859284386,0,0,0,0
40,St. Andrews State Park Aquatic Preserve,pH,Bottom,Field,108,106,0,0,0,0,8,0.0175073859284386,0,0,0,0
41,St. Joseph Bay Aquatic Preserve,pH,Bottom,Field,123,123,0,0,0,0,8,0.0175073859284386,0,0,0,0
43,St. Martins Marsh Aquatic Preserve,pH,Bottom,Field,103,103,0,0,0,0,8,0.0175073859284386,0,0,0,0
44,Terra Ceia Aquatic Preserve,pH,Bottom,Field,1967,1951,0,0,0,0,8,0.0175073859284386,0,0,0,0
45,Tomoka Marsh Aquatic Preserve,pH,Bottom,Field,183,183,0,0,0,0,8,0.0175073859284386,0,0,0,0
47,Yellow River Marsh Aquatic Preserve,pH,Bottom,Field,7,0,0,0,0,0,8,0.0175073859284386,0,0,0,0
