AreaID|ManagedAreaName|Year|Month|ParameterName|RelativeDepth|ActivityType|N_Data|Min|Max|Median|Mean|StandardDeviation|ProgramIDs
1|Alligator Harbor Aquatic Preserve|1998|8|pH|Surface|Field|3|7.9|8.2|8|8.03333333333333|0.152752523165194|69
1|Alligator Harbor Aquatic Preserve|1998|10|pH|Surface|Field|3|8.1|8.1|8.1|8.1|0|69
1|Alligator Harbor Aquatic Preserve|1998|11|pH|Surface|Field|23|7.8|8.4|8.3|8.27391304347826|0.157299342032803|69, 5002
1|Alligator Harbor Aquatic Preserve|1998|12|pH|Surface|Field|107|7.4|8.6|8.4|8.36915887850467|0.143678897068711|5002
1|Alligator Harbor Aquatic Preserve|1999|1|pH|Surface|Field|20|8.3|8.6|8.6|8.555|0.0944513241388329|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|2|pH|Surface|Field|71|8.3|8.8|8.6|8.5830985915493|0.109526142336571|5002
1|Alligator Harbor Aquatic Preserve|1999|3|pH|Surface|Field|74|7.7|8.8|8.7|8.66756756756757|0.171302910520827|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|4|pH|Surface|Field|109|8|8.8|8.6|8.52935779816514|0.170675538123146|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|5|pH|Surface|Field|58|7.8|8.9|8.5|8.36896551724138|0.348534222212448|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|6|pH|Surface|Field|61|7.8|8.5|8.3|8.20491803278689|0.212466647977353|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|7|pH|Surface|Field|74|8|8.5|8.3|8.35135135135135|0.126321229187157|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|8|pH|Surface|Field|80|7.8|8.5|8.2|8.25625|0.197992296231668|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|9|pH|Surface|Field|93|7.7|8.5|8.2|8.16666666666667|0.167028592536241|69, 5002
1|Alligator Harbor Aquatic Preserve|1999|10|pH|Surface|Field|56|7.6|8.7|8.45|8.32857142857143|0.317211879700897|69, 5002
